Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;09/2016;52.438.245;148.681.412;2.376.564;176.086.581;6.957.893;386.540.695;416.264.719;17.521.397;133.098.401;2.545.913;0;127.234;153.292.945;158.978.523;1.115.076.882;58.373.370;193.695.803;1.367.146.054;380.172;74.597.333;1.442.123.560
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;09/2016;25.844.054;241.110.720;745.031;207.754.516;13.096.727;488.551.048;172.231.414;107.241.105;684.286;31.829.011;13.366.366;728.947;153.849.714;236.932.916;1.051.565.092;904.435;152.410.802;1.204.880.329;0;26.925.658;1.231.805.987
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;09/2016;14.644.704;95.098.026;124.376.264;57.475.864;558.837;292.153.695;450.947.487;18.869.687;13.619.555;19.388.158;19.655.379;5.068.665;76.601.444;95.804.194;915.506.821;31.285.094;105.347.642;1.052.139.556;247.857;76.481.163;1.128.868.577
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;09/2016;21.698.547;88.002.979;40.600.319;54.402.797;229.527;204.934.168;344.251.838;23.763.980;6.592.837;92.112.321;1.623.765;526.390;124.619.293;98.994.535;772.799.835;8.519.761;93.889.580;875.209.175;135.672;98.549.887;973.894.734
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;09/2016;0;0;0;0;13.489.823;13.489.823;12.415.652;0;8.429.319;0;19.863.543;0;28.292.863;545.936.968;600.135.304;1.514.853;302.374.088;904.024.246;0;51.019.464;955.043.710
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;09/2016;14.500.149;34.764.196;73.569.348;81.588.933;222.687;204.645.314;173.208.343;23.191.740;6.496.032;62.206.127;20.774.842;1.109.666;113.778.408;36.392.308;528.024.373;7.976.270;134.297.689;670.298.333;355.631;64.213.449;734.867.414
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;09/2016;0;0;0;0;0;0;0;0;0;0;0;163.834.023;163.834.023;0;163.834.023;0;134.904;163.968.927;0;4.496.258;168.465.185
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;09/2016;8.524.497;5.286.413;10.368.958;37.055.119;297.653;61.532.640;5.008.704;4.442.849;1.578.319;31.424.609;0;0;37.445.776;4.924.121;108.911.241;2.246.628;22.107.792;133.265.661;0;7.776.401;141.042.062
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;09/2016;0;0;0;0;0;0;0;0;0;0;13.149.158;0;13.149.158;0;13.149.158;3.284.134;1.328.480;17.761.772;0;117.779.948;135.541.719
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;09/2016;492.898;1.486.225;9.594.531;2.904.871;148;14.478.672;71.877.332;1.729.038;6.442.130;12.243.344;2.411.622;2.511.242;25.337.377;3.244.392;114.937.773;2.649.573;7.553.146;125.140.491;50.944;9.711.023;134.902.458
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;09/2016;91.356;0;2.796.192;5.991.332;0;8.878.880;28.483.848;436.424;541.612;7.847.130;0;9.210;8.834.376;9.201.219;55.398.322;21.799.415;24.943.796;102.141.533;51.344;21.260.019;123.452.896
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;09/2016;2.272;0;28.942.619;0;0;28.944.890;13.752.314;0;0;0;0;0;0;226.541;42.923.745;258.299;51.993.795;95.175.839;967.599;10.526.901;106.670.338
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;09/2016;0;0;0;0;0;0;0;0;0;0;0;98.751.279;98.751.279;47.608;98.798.887;0;3.053.199;101.852.086;0;3.221.338;105.073.424
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;09/2016;63.243;0;8.501.648;1.750.305;0;10.315.196;49.775.842;325.203;2.640.698;14.551.785;0;0;17.517.687;5.844.585;83.453.310;2.897.105;8.688.846;95.039.261;35.842;8.416.377;103.491.480
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;80185;n1;3;19;SAO PAULO;SP;09/2016;0;0;0;0;0;0;0;0;0;0;0;87.118.877;87.118.877;0;87.118.877;0;2.005.680;89.124.557;0;5.841.598;94.966.155
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;09/2016;3.997.963;878.167;4.167.025;15.060.795;126.311;24.230.260;10.860.571;494.486;1.660;2.479.640;0;417.517;3.393.302;12.086.349;50.570.482;4.727.044;19.327.275;74.624.800;29.169;5.494.084;80.148.053
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;09/2016;2.482.039;7.521.850;479.387;30.544.481;5.412;41.033.168;5.533.382;925.942;0;936.254;0;0;1.862.197;3.796.962;52.225.709;497.647;7.759.696;60.483.052;20.449;6.469.210;66.972.711
BB-LEASING S/A ARRENDAMENTO MERCANTIL;31546476;BB;49906;80329;n1;1;19;BRASILIA;DF;09/2016;0;0;0;0;0;0;0;0;0;0;0;56.647.762;56.647.762;767;56.648.529;1;825.898;57.474.428;0;4.331.534;61.805.962
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;09/2016;35;0;35.627.522;0;0;35.627.557;0;0;0;0;0;0;0;0;35.627.557;0;2.730.197;38.357.754;348.580;10.077.966;48.784.300
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;09/2016;263.267;2.067.252;1.086.591;6.180.547;779.729;10.377.387;898.280;0;287.954;0;1.030.880;0;1.318.834;3.045.749;15.640.250;0;24.901.481;40.541.731;0;3.025.878;43.567.609
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;80116;b1;3;8;SAO PAULO;SP;09/2016;98.392;0;1.833.246;2.679.894;0;4.611.531;6.012.161;0;0;0;0;13.307;13.307;13.912.177;24.549.177;4.627.529;8.625.454;37.802.160;1.422;4.113.310;41.916.892
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;09/2016;58.053;6.508.180;4.325.602;17.203;0;10.909.037;19.993.325;0;219.187;238.782;0;0;457.968;6.434.192;37.794.522;32;1.391.644;39.186.198;0;1.284.641;40.470.839
BANCO BRADESCO CARTÕES S.A.;59438325;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;09/2016;2;0;23.252.345;0;0;23.252.348;0;0;0;0;0;0;0;0;23.252.348;5.846;14.451.965;37.710.158;0;2.611.852;40.322.010
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;80484;n1;2;14;SAO PAULO;SP;09/2016;0;0;20.134.163;0;0;20.134.163;1.472.106;0;0;0;0;0;0;0;21.606.269;0;15.850.482;37.456.751;0;1.674.805;39.131.557
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;09/2016;235.208;0;284.330;5.493.452;123.356;6.136.347;3.771.455;0;1.017.069;3.092.476;0;45.833;4.155.379;4.972.301;19.035.481;3.914.182;14.498.096;37.447.759;4.705;1.532.118;38.984.582
BANCO ITAÚ BMG CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;09/2016;0;0;36.154.869;0;0;36.154.869;0;0;0;0;0;0;0;0;36.154.869;0;236.772;36.391.641;0;2.428.079;38.819.721
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;09/2016;331;0;53.975;2.976.575;0;3.030.881;17.206.069;0;0;216.164;0;31.349;247.513;4.590.474;25.074.936;1.000.943;7.833.112;33.908.991;18.979;3.767.028;37.694.997
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;09/2016;24.085;3.017.369;21.102.217;228.070;0;24.371.741;1.425.720;0;142.952;0;0;0;142.952;2.305.662;28.246.075;0;3.554.568;31.800.642;17;1.141.247;32.941.906
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;09/2016;10.261;0;26.405.152;0;0;26.415.413;0;0;0;0;0;0;0;0;26.415.413;0;2.166.481;28.581.894;0;1.527.026;30.108.920
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;09/2016;44.581;0;11.741.512;2.321.548;0;14.107.641;2.569.640;952.085;218.639;1.363.400;0;0;2.534.124;0;19.211.404;187.833;3.929.560;23.328.798;571;3.411.561;26.740.930
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;;;81713;b1;3;8;SAO PAULO;SP;09/2016;75.403;0;21.000;1.985.731;0;2.082.134;0;0;0;36.861;0;0;36.861;3.540.022;5.659.018;1.321.796;15.463.906;22.444.720;749;1.370.645;23.816.113
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;80147;b1;1;8;VITORIA;ES;09/2016;1.195.956;2.469.187;125.975;5.724.809;9.367;9.525.295;11.032.288;309.974;159.401;219.546;0;0;688.921;395.584;21.642.088;0;819.122;22.461.210;4.903;1.232.830;23.698.943
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE;31859;80264;b1;3;8;SAO PAULO;SP;09/2016;870;0;398.083;360.866;0;759.819;955.410;0;0;0;0;0;0;7.937.534;9.652.763;448.938;11.971.611;22.073.312;1.905;1.349.931;23.425.148
