Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;09/2010;12.221.509;11.065;5.609.480;-826.028;364.372;1.064.331;18.444.728;-9.431.331;-643.428;-9.527;0;-2.478.627;-12.562.913;5.881.815;2.047.917;979.618;-3.190.575;-2.622.834;-716.997;616.131;2.487.050;-1.687.755;-2.087.445;3.794.369;15.310;3.809.679;-849.846;-335.071;2.624.763;-673.935
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2010;8.107.685;216.076;7.954.630;594.949;0;1.272.926;18.146.266;-12.581.919;-237.611;-169.093;-254.201;-2.469.286;-15.712.111;2.434.156;860.455;649.624;-1.443.139;-2.938.203;-402.086;1.421.180;1.707.250;-1.116.066;-1.260.986;1.173.170;11.834;1.185.004;245.741;-431.830;998.916;0
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2010;7.544.608;945.123;6.281.168;1.237.422;48.423;947.907;17.004.651;-10.332.007;-411.047;-790.011;0;-1.954.124;-13.487.189;3.517.462;1.123.667;631.175;-1.833.506;-2.169.898;-443.868;1.678.489;1.404.564;-1.153.571;-762.948;2.754.514;-10.877;2.743.636;-216.732;0;2.526.904;-717.988
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;09/2010;6.550.630;51.336;4.328.508;70.996;1.522.417;555.460;13.079.347;-5.632.919;-170.090;-70.777;0;-1.721.922;-7.595.708;5.483.638;1.340.491;453.567;-1.159.624;-2.509.898;-563.517;140.521;808.547;-2.621.135;-4.111.048;1.372.590;138.923;1.511.513;-213.944;-282.716;1.014.852;-530.000
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;09/2010;5.223.800;0;3.658.611;-98.153;0;1.368.484;10.152.742;-5.279.867;-1.047.562;0;-616;-940.656;-7.268.700;2.884.041;2.432.758;256.782;-2.472.928;-1.328.810;-345.408;169.424;1.067.747;-2.032.817;-2.253.251;630.790;-32.461;598.329;240.700;-90.326;748.703;-189.118
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;09/2010;4.212.552;0;1.899.063;-588.513;10.136;0;5.533.238;-359.822;-2.616.635;0;0;-130.289;-3.106.746;2.426.492;26.727;0;-133.347;-64.088;-86.642;901.603;1.129.878;-2.020.599;-246.468;2.180.024;-2.771;2.177.253;-270.557;0;1.906.697;0
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2010;942.890;404.123;2.098.639;816.986;0;27.863;4.290.501;-2.667.613;-132.261;-314.284;-79.660;51.014;-3.142.804;1.147.696;174.522;2.017;-74.018;-200.749;-101.448;-108.781;351.874;-162.941;-119.524;1.028.173;23.911;1.052.084;-447.931;-141.235;462.918;0
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;09/2010;2.038.387;623.011;984.398;69.359;53.445;360.030;4.128.629;-1.961.582;-45.401;-473.866;0;-407.956;-2.888.805;1.239.824;381.285;157.348;-513.973;-870.920;-128.361;154.076;249.315;-294.255;-865.484;374.340;-11.756;362.584;-63.623;-72.721;226.240;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2010;2.392.778;1.208.466;79.400;4.957;0;0;3.685.601;-796.885;-98.438;-854.586;-73;-876.548;-2.626.531;1.059.069;982.854;136.568;-24.674;-1.310.783;-132.261;358.573;192.258;-695.937;-493.403;565.667;-32.518;533.149;-55.896;-2.458;474.794;0
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;09/2010;26.925;1.490.350;1.817.796;0;0;0;3.335.071;-1.380.537;0;-1.170.712;0;-140.207;-2.691.456;643.616;7.851;0;-12;-38.476;-9.715;248.966;15.377;-24.446;199.545;843.161;71.316;914.477;-260.180;0;654.297;0
