Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2014;493;0;42.185.445;0;0;42.185.938;0;0;0;0;0;0;0;0;42.185.938;0;5.027.629;47.213.567;180.850;28.146.045;75.540.462
BANCO BRADESCO BERJ S.A.;33147315;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2014;0;0;852.889;0;0;852.889;19.280.080;0;0;0;0;0;0;1.256;20.134.225;0;997.744;21.131.970;0;50.082.791;71.214.761
BANCO BRADESCO CARTÕES S.A.;59438325;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2014;0;0;19.454.624;0;0;19.454.624;0;0;0;0;0;0;0;0;19.454.624;13.030;9.337.008;28.804.663;122.733;41.099.724;70.027.120
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;03/2014;2.760.709;7.211.775;386.061;20.495.220;4.836;30.858.601;7.337.342;918.886;0;1.814.004;0;0;2.732.890;3.592.099;44.520.933;31.209;7.583.440;52.135.582;12.844;5.159.416;57.307.842
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;03/2014;5.590.557;1.301.050;2.070.971;7.838.716;163.823;16.965.118;9.050.011;0;895.236;448.811;0;63.163;1.407.211;4.208.326;31.630.666;3.099.341;17.104.483;51.834.491;27.120;4.878.066;56.739.676
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;80484;n1;2;14;SAO PAULO;SP;03/2014;0;0;23.908.639;0;0;23.908.639;7.600.110;0;0;0;0;0;0;0;31.508.749;0;18.438.881;49.947.630;0;1.275.417;51.223.047
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;80185;n1;3;19;SAO PAULO;SP;03/2014;0;0;0;0;0;0;0;0;0;0;0;40.703.597;40.703.597;0;40.703.597;359;3.512.476;44.216.432;0;5.057.925;49.274.357
BANCO ITAULEASING S.A.;49925225;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;192.469;192.469;0;534.605;727.074;0;38.544.655;39.271.729
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;03/2014;239.224;1.717.876;1.098.313;6.499.552;1.021.190;10.576.155;1.152.727;0;5.820;0;1.447.790;0;1.453.610;3.269.417;16.451.908;1.009;15.465.918;31.918.835;0;3.033.885;34.952.721
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;DEUTSCHE;51183;80532;b1;3;8;SAO PAULO;SP;03/2014;277.932;0;129.151;1.856.165;0;2.263.248;2.176.809;0;0;0;0;0;0;2.201.670;6.641.728;1.489.622;24.421.895;32.553.245;1.669;1.640.056;34.194.970
