Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;06/2017;10.672.762;402.498.123;134.697.314;546.165.830;-35.765.089;510.400.740;0;0;0;0;0;176.622.765;78.624.627;49.413.129;1.362.929.460;0;1.362.929.460
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;06/2017;9.214.815;161.670.778;179.377.355;700.722.145;-35.317.578;665.404.566;0;0;0;0;0;82.529.949;159.584.606;13.178.344;1.270.960.413;0;1.270.960.413
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2017;16.915.115;239.920.831;285.644.728;251.692.278;-26.282.245;225.410.033;7;9.464;8.857;-602;17.726;101.054.961;75.294.534;159.689.800;1.103.947.728;8.857;1.103.938.872
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2017;8.853.032;331.407.224;249.717.508;212.761.901;-21.289.790;191.472.111;1.187;16.988;14.482;-1.315;31.342;83.887.943;100.037.969;127.684.534;1.093.091.664;14.482;1.093.077.182
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2017;3.778;98.354.206;97.473.461;316.577.838;-12.185.476;304.392.361;0;0;0;0;0;20.909.764;247.708.124;91.976.606;860.818.301;0;860.818.301
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;06/2017;4.461.500;88.780.414;188.755.998;152.405.828;-14.469.699;137.936.129;1;26.258;26.257;-1;52.515;133.262.607;69.612.181;65.282.090;688.143.434;26.257;688.117.176
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2017;23.825;50.170.034;15.305.749;0;0;0;0;0;0;0;0;3.460.368;4.273;85.915.067;154.879.316;0;154.879.316
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2017;214.356;43.922.922;34.922.942;29.939.393;-2.167.491;27.771.903;0;0;0;0;0;8.603.790;3.281.638;7.878.246;126.595.797;0;126.595.797
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2017;263.554;28.957.620;40.079.037;7.884.369;-911.914;6.972.455;0;0;0;0;0;25.153.987;1.549.623;17.561.053;120.537.328;0;120.537.328
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;06/2017;375.143;2.799.999;11.681.849;21.594.268;-4.088.473;17.505.795;10.197;3.285.606;2.245.135;-59.253;5.481.685;46.996.728;527.188;10.137.579;95.505.966;2.245.135;93.260.831
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;06/2017;100;90.079.502;16.940;0;0;0;0;0;0;0;0;154.587;46;2.510.795;92.761.970;0;92.761.970
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;06/2017;52.319;40.146.706;31.042.771;9.000.590;-778.392;8.222.198;0;0;0;0;0;5.840.052;459.953;5.809.481;91.573.481;0;91.573.481
