Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO MERCANTIL-FINASA S.A. - SAO PAULO;61065421;MERCANTIL SP;20145;;b1;2;8;SAO PAULO;SP;12/2001;6.978.866;2.835.864;5.958.489;5.667.888;1.020.377;-23.042;221;72
BANCO SANTANDER S.A.;33517640;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2001;6.669.428;694.735;3.313.313;3.005.478;3.356.115;887.858;1;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;;b1;3;8;SAO PAULO;SP;12/2001;6.507.722;82.976;5.759.151;3.846.879;748.572;-70.214;3;1
DEUTSCHE BANK S.A.BANCO ALEMAO;62331228;DEUTSCHE;51183;;b1;3;8;SAO PAULO;SP;12/2001;6.072.431;457.400;5.628.305;1.712.429;444.127;66.750;3;0
BANCO SANTOS S.A.;58257619;SANTOS;50177;;b1;2;8;SAO PAULO;SP;12/2001;5.806.469;1.492.789;5.489.221;5.414.387;317.248;43.719;4;1
BANK OF AMERICA - BRASIL S.A. (BANCO MULTIPLO);92791813;BANK OF AMERICA;50146;;b1;3;8;SAO PAULO;SP;12/2001;5.708.747;120.388;5.252.571;2.251.296;456.176;70.205;1;0
BANCO BOAVISTA INTERATLANTICO S.A.;33485541;BRADESCO;10045;;b1;2;8;SAO GONCALO;RJ;12/2001;4.734.758;129.135;410.610;8.179;4.324.149;202.735;1;0
BANCO FIAT S.A.;62237425;FIAT;30692;;b2;3;8;SAO PAULO;SP;12/2001;4.682.419;3.526.159;3.894.993;3.491.556;787.426;88.140;17;0
BANCO FIBRA S.A.;58616418;FIBRA;49951;;b1;2;8;SAO PAULO;SP;12/2001;4.526.966;481.425;4.183.701;4.049.563;343.265;-9.379;1;0
BANCO PACTUAL S.A.;30306294;PACTUAL;49944;;b1;2;8;RIO DE JANEIRO;RJ;12/2001;4.345.558;20.013;3.842.835;3.532.770;502.723;29.239;2;0
BANCO DA AMAZONIA S.A.;4902979;;;;b1;1;2;BELEM;PA;12/2001;3.503.033;714.528;2.516.944;1.525.790;986.089;9.224;82;7
BANCO RURAL S.A.;33124959;RURAL;31244;;b1;2;8;RIO DE JANEIRO;RJ;12/2001;3.457.278;2.090.899;2.996.030;2.623.537;461.248;62.736;51;20
BANCO BANERJ S.A.;33885724;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2001;3.442.634;507.570;2.688.220;2.401.453;754.414;75.911;153;41
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;;b1;2;8;BELO HORIZONTE;MG;12/2001;3.406.376;1.613.887;3.022.509;2.850.111;383.867;13.065;201;6
BANCO BANESTADO S.A.;76492172;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2001;3.383.570;1.426.651;2.790.978;1.765.276;592.592;108.781;127;5
BANCO SANTANDER MERIDIONAL S.A.;90400888;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2001;3.362.568;786.885;2.547.386;2.080.395;815.182;97.001;199;35
BANCO BNL DO BRASIL S.A.;86413;BNL;30513;;b1;3;8;SAO PAULO;SP;12/2001;3.355.916;1.578.213;3.163.777;2.782.970;192.139;21.807;4;0
BANCO DE PERNAMBUCO S.A. - BANDEPE;10866788;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;12/2001;3.302.189;203.277;2.881.612;1.391.444;420.578;73.231;54;45
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;;b2;2;13;SAO PAULO;SP;12/2001;3.271.389;2.020.756;2.778.981;2.612.417;492.408;24.654;9;0
BANCO PROSPER S.A.;33876475;PROSPER;50414;;b1;2;8;RIO DE JANEIRO;RJ;12/2001;3.074.328;46.767;3.026.266;2.960.488;48.062;-1.058;1;0
BANCO BANQUE NATIONALE DE PARIS BRASIL S.A.;1522368;;;;b1;3;8;SAO PAULO;SP;12/2001;3.042.631;490.529;2.817.514;1.472.150;225.117;49.459;3;0
BANCO ABC-BRASIL S.A.;28195667;ABC-BRASIL;41856;;b1;3;8;SAO PAULO;SP;12/2001;2.983.964;1.663.247;2.619.528;2.272.305;364.436;41.903;4;0
BANCO BEMGE S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2001;2.793.983;41.209;982.832;711.929;1.811.151;137.662;244;4
BANCO EUROPEU PARA A AMERICA LATINA (BEAL) S.A.;61088183;EUROPEU;32078;;b1;3;28;SAO PAULO;SP;12/2001;2.763.729;266.381;2.563.731;1.240.399;199.998;735;3;0
BANCO GENERAL MOTORS S.A.;17352667;GM;30795;;b2;3;8;SAO PAULO;SP;12/2001;2.746.070;2.330.031;2.504.585;2.216.688;241.485;27.483;2;0
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN;30764;;b2;3;8;SAO PAULO;SP;12/2001;2.737.816;2.395.004;2.430.871;2.286.866;306.945;17.938;10;0
SAFRA LEASING S/A ARRENDAMENTO MERCANTIL;62063177;SAFRA;10083;;n1;2;19;SAO PAULO;SP;12/2001;2.647.706;1.277.608;1.802.865;385.798;844.841;93.410;2;0
CONTINENTAL BANCO S.A.;57561615;BRADESCO;10045;;b1;2;8;SAO GONCALO;RJ;12/2001;2.382.819;1.870.476;2.231.543;1.675.763;151.277;21.069;2;0
DRESDNER BANK LATEINAMERIKA AKTIENGESELLSCHAFT;60044112;DRESDNER;51059;;b1;3;28;SAO PAULO;SP;12/2001;2.326.054;715.637;2.171.113;1.292.962;154.941;9.219;3;0
BANCO AMERICA DO SUL S.A.;61230165;SUDAMERIS;31330;;b1;3;8;SAO PAULO;SP;12/2001;2.305.614;239.489;1.346.404;1.124.501;959.209;135.935;1;1
BANCO BMC S.A.;7207996;BMC;30276;;b1;2;8;SAO PAULO;SP;12/2001;2.282.843;758.847;2.079.143;2.007.500;203.700;8.521;9;0
BANCO DIBENS S.A.;61199881;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;12/2001;2.258.061;876.908;2.115.667;2.044.264;142.394;14.474;2;0
BANCO DE CREDITO REAL DE MINAS GERAIS S.A.;21562962;BRADESCO;10045;;b1;2;8;SAO GONCALO;RJ;12/2001;2.153.660;0;176.125;1.170;1.977.535;100.750;1;0
BANCO INDUSTRIAL E COMERCIAL S.A.;7450604;BIC;32119;;b1;2;8;SAO PAULO;SP;12/2001;2.129.415;1.244.070;1.851.868;1.747.654;277.546;14.941;35;5
BANCO FININVEST S.A.;33098518;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;12/2001;2.098.887;1.458.583;1.900.462;1.321.097;198.425;-12.461;1;0
BANCO BRASCAN S.A.;33923111;BRASCAN;50885;;b1;3;8;RIO DE JANEIRO;RJ;12/2001;1.994.564;468.983;1.817.944;1.177.450;176.621;17.402;2;0
ABN AMRO ARRENDAMENTO MERCANTIL S.A.;34033779;ABN AMRO;10076;;n1;3;19;SAO PAULO;SP;12/2001;1.976.648;811.876;1.725.372;943.532;251.276;-23.592;1;0
ING BANK N.V.;49336860;ING;51073;;b1;3;28;SAO PAULO;SP;12/2001;1.944.488;149.488;1.812.521;554.927;131.968;8.906;1;0
BANCO DE TOKYO-MITSUBISHI BRASIL S.A.;60498557;TOKYO-MITSUBISHI;51028;;b1;3;8;SAO PAULO;SP;12/2001;1.907.063;843.836;1.591.512;960.129;315.551;16.930;3;0
BANCO CIDADE S.A.;61377677;BANCOCIDADE;30104;;b2;2;8;SAO PAULO;SP;12/2001;1.880.061;710.995;1.638.025;1.578.980;242.036;18.967;24;3
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;;;;b4;1;5;PORTO ALEGRE;RS;12/2001;1.771.658;1.394.529;1.400.423;1.308.372;371.234;16.636;3;0
BANCO BANEB S.A.;15142490;BRADESCO;10045;;b1;2;8;SAO GONCALO;RJ;12/2001;1.764.487;0;286.148;163.793;1.478.339;106.791;1;0
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;;b1;1;8;VITORIA;ES;12/2001;1.743.217;533.759;1.649.736;1.555.751;93.481;6.246;93;57
BANCO LLOYDS TSB S.A.;33852567;LLOYDS;20121;;b2;3;8;SAO PAULO;SP;12/2001;1.719.398;1.472.215;1.417.520;1.013.582;301.877;13.039;6;0
BANCO DO ESTADO DE SANTA CATARINA S.A.;83876003;BESC;30245;;b1;1;2;FLORIANOPOLIS;SC;12/2001;1.669.537;202.567;1.005.737;881.448;663.800;9.089;256;236
BB-BANCO DE INVESTIMENTO S/A;24933830;BB;49906;;b2;1;13;BRASILIA;DF;12/2001;1.668.423;8.880;136.325;613;1.532.098;134.377;1;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;;b1;3;2;SAO PAULO;SP;12/2001;1.641.512;500.912;1.541.184;855.598;100.328;24.265;1;0
BCN LEASING - ARRENDAMENTO MERCANTIL S/A;62868302;BRADESCO;10045;;n1;2;19;SAO GONCALO;RJ;12/2001;1.618.543;995.191;1.219.230;437.733;399.313;25.398;1;0
IBM BRASIL LEASING ARRENDAMENTO MERCANTIL S/A;34270520;;;;n1;3;19;BARUERI;SP;12/2001;1.584.894;860.399;1.248.893;1.019.470;336.002;11.911;1;0
BRADESCO LEASING S.A. ARRENDAMENTO MERCANTIL;43833821;BRADESCO;10045;;n1;2;19;SAO GONCALO;RJ;12/2001;1.553.534;520.937;1.246.721;78.786;306.813;21.558;1;0
BANCO FORD S.A.;90731688;FORD;51176;;b2;3;8;SAO PAULO;SP;12/2001;1.523.840;1.389.629;1.354.833;1.266.330;169.007;2.364;8;0
BANDEIRANTES S/A ARRENDAMENTO MERCANTIL;44071785;UNIBANCO;10100;;n1;2;19;SAO PAULO;SP;12/2001;1.523.758;570.690;1.422.428;499.154;101.330;11.122;1;0
CITIBANK LEASING S/A ARRENDAMENTO MERCANTIL;34112128;CITIBANK;30403;;n1;3;19;SAO PAULO;SP;12/2001;1.513.208;281.081;726.752;345.766;786.456;20.664;3;0
