Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;06/2019;31.235;15.139.187;13.733.779;4.782.367;-71.024;4.711.342;0;0;0;0;0;3.779.839;13.874.857;223.637;51.493.877;0;51.493.877
BANCO BRADESCO CARTÕES S.A.;59438325;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2019;128.016;3.716.336;21.719;5.839.590;-2.504.647;3.334.943;0;0;0;0;0;25.571.626;60.518;15.174.491;48.007.649;0;48.007.649
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2019;164;5.527.449;106.626;33.763.208;-813.498;32.949.710;485;176.684;83.049;-1.272;258.947;6.391.439;165.982;2.334.053;47.734.369;83.049;47.651.320
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;06/2019;93.276;10.453.615;7.445.230;10.571.628;-2.069;10.569.559;0;0;0;0;0;2.331.057;15.311.060;202.719;46.406.517;0;46.406.517
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;06/2019;44.628;1.701.554;151.004;38.656.035;-1.341.201;37.314.834;0;0;0;0;0;5.083.926;45.779;1.329.020;45.670.746;0;45.670.746
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;80484;n1;2;14;SAO PAULO;SP;06/2019;5.168;0;1.027.499;39.548.347;-2.483.070;37.065.277;0;0;0;0;0;5.251.150;94.987;121.178;43.565.260;0;43.565.260
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;06/2019;157.439;12.218.377;9.082.164;3.580.966;-16.684;3.564.282;0;0;0;0;0;16.544.277;28.540;64.322;41.659.401;0;41.659.401
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;06/2019;3.358;1.258;30.981.848;0;0;0;34.259;3.688.036;1.378.007;-147.332;4.952.970;1.052.745;26.635;66.963;37.085.777;1.378.007;35.707.771
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;06/2019;5.201;4.639.011;812.028;766.701;0;766.701;0;0;0;0;0;28.086.020;1.561;23.600;34.334.122;0;34.334.122
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2019;104;7.202.116;288.731;546.330;-330.267;216.063;0;0;0;0;0;5.277.237;9.676;21.151.468;34.145.395;0;34.145.395
ING BANK N.V.;49336860;ING;51073;80501;b1;3;28;SAO PAULO;SP;06/2019;5.456;4.200.685;1.376.782;1.169.728;-1.782;1.167.946;0;0;0;0;0;25.976.877;1.489;8.785;32.738.020;0;32.738.020
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;80312;b1;3;8;SAO PAULO;SP;06/2019;34.734;6.687.309;8.137.077;10.129.573;-215.505;9.914.068;0;0;0;0;0;5.548.144;369.403;1.909.244;32.599.980;0;32.599.980
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;81555;b1;3;8;SAO PAULO;SP;06/2019;118.692;3.572.687;2.741.076;18.288.043;-665.832;17.622.211;0;0;0;0;0;7.983.705;49.078;23.748;32.111.198;0;32.111.198
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;;;82475;n2;3;15;RIO DE JANEIRO;RJ;06/2019;3.418;21.390.068;7.722.786;0;0;0;0;0;0;0;0;1.757.057;78.912;499.204;31.451.444;0;31.451.444
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;06/2019;1.670;317.024;1.609.498;21.481.965;-1.260.918;20.221.047;0;0;0;0;0;6.449.971;814.697;1.214.351;30.628.258;0;30.628.258
BANCO DAYCOVAL S.A.;62232889;DAYCOVAL;51987;81744;b1;2;8;SAO PAULO;SP;06/2019;185.776;5.960.842;1.745.226;13.785.964;-1.106.369;12.679.595;0;0;0;0;0;7.763.794;182.021;1.427.251;29.944.505;0;29.944.505
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2019;4;1.154.488;1.124;28.351.424;-954.475;27.396.949;0;0;0;0;0;635.371;48.122;16.713;29.252.770;0;29.252.770
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;06/2019;1.630.238;13.758.387;6.218.350;1.751.854;-147.297;1.604.556;0;0;0;0;0;3.406.501;3.276;1.959.726;28.581.034;0;28.581.034
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;80147;b1;1;8;VITORIA;ES;06/2019;201.940;12.568.895;9.378.436;3.815.360;-278.401;3.536.959;13;11.465;5.338;-36;16.781;826.112;1.016.189;264.649;27.809.960;5.338;27.804.622
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2019;0;6.061.243;5.510.741;13.115.642;-461.173;12.654.469;287;51.242;42.085;-713;92.901;261.011;1.141.522;19.214;25.741.101;42.085;25.699.016
