Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2017;6.912.531;874.901;2.221.310;1.648.880;1.076.725;845.288;37.745;46.877;13.288;147.518;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2017;5.904.288;435.417;3.245.812;460.031;274.586;433.013;336.648;227.584;65.166;426.031;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;09/2017;5.872.781;2.054.535;478.021;1.310.421;977.557;391.631;194.376;250.300;65.519;150.422;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;09/2017;5.613.833;0;4.375.742;133.738;95.000;129.197;173.675;109.445;101.620;495.415;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;09/2017;5.424.174;22.058;5.000.904;252.406;123.920;9.113;3.647;1.321;1.643;9.162;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;09/2017;5.322.622;30.200;4.699.061;131.055;85.009;59.763;58.021;44.897;33.641;180.975;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;09/2017;4.719.378;0;3.022.522;1.052.781;464.430;27.862;35.402;16.194;10.749;89.438;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;09/2017;4.693.381;0;2.713.053;0;315.518;16.545;67.873;33.455;0;188.517;1.358.420
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;09/2017;4.325.618;304.827;2.843.066;617.293;469.137;50.866;15.707;5.176;3.420;16.124;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;09/2017;4.105.137;481.398;531.513;803.679;1.122.327;149.675;240.192;0;211.128;265.303;299.920
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;09/2017;3.916.107;0;3.659.122;17.638;88.125;17.396;12.886;23.700;9.449;87.791;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;09/2017;3.859.307;1.890.874;804.816;453.850;185.410;197.239;66.206;51.265;24.118;185.530;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;09/2017;3.741.478;700.977;604.091;1.117.017;194.780;145.694;98.330;106.369;32.776;76.139;665.305
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;09/2017;3.718.283;713.228;1.945.896;422.548;377.011;96.329;58.984;29.937;12.266;62.083;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;09/2017;3.696.728;0;3.188.351;114.575;67.674;135.354;30.626;27.804;57.721;74.622;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;09/2017;3.437.635;0;1.508.518;527.360;906.056;231.793;62.833;36.169;48.873;116.034;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;09/2017;3.217.161;518.984;1.162.652;1.009.952;110.656;53.590;145.234;12.620;69.121;134.353;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;09/2017;3.194.753;1.019.902;366.409;1.362.103;168.644;231.084;12.839;10.900;2.770;20.101;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;09/2017;3.092.414;416.100;1.021.913;884.892;415.677;118.074;44.951;34.340;14.042;142.425;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;09/2017;2.939.672;0;1.924.932;123.445;118.905;85.715;83.837;78.952;86.631;437.255;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;09/2017;2.898.134;576.034;1.092.901;507.328;218.904;22.472;20.824;41.504;31.961;14.737;371.468
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;09/2017;2.758.822;576.565;943.278;577.698;247.103;149.666;82.798;35.298;32.278;114.139;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;09/2017;2.619.470;137.340;1.717.472;392.956;212.534;63.682;17.218;7.629;6.527;64.113;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;09/2017;2.527.805;1.013.466;482.013;528.465;193.829;132.151;56.022;2.272;19.641;99.947;0
INTERMEDIUM;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;09/2017;2.478.684;338.630;1.784.738;137.568;77.069;39.010;21.589;14.545;19.627;45.907;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;09/2017;2.455.281;0;1.505.171;585.166;280.950;41.746;23.840;1.219;737;16.454;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;09/2017;2.319.761;984.659;904.105;9.823;3.185;122.398;118.609;87.763;72.754;16.465;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;09/2017;2.281.853;0;1.325.763;104.059;115.456;104.805;93.895;85.496;95.535;356.843;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;09/2017;2.206.601;1.145.890;629.393;106.560;0;0;324.758;0;0;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;09/2017;2.206.097;0;1.513.533;295.220;117.416;86.184;52.377;37.659;29.277;74.431;0
