Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2018;7.789.031;7.334.104;0;451.133;0;0;0;0;3.793;0;0;0;0;0;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2018;7.738.979;5.687.703;0;564.202;2.364;0;4.639;1.296.124;183.543;0;0;0;0;0;0;403;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2018;7.452.749;2.646.201;15.787;0;0;0;0;765.397;0;872.996;13.593;0;0;0;0;388;3.138.386
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;03/2018;7.197.296;6.723.427;0;161.863;0;282.274;0;0;29.731;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2018;6.432.852;6.402.988;0;0;0;0;0;0;0;0;0;0;0;0;0;29.864;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2018;6.058.299;6.048.403;0;0;0;0;0;0;0;0;0;0;0;0;0;9.896;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2018;6.008.624;5.559.647;0;228.372;0;0;0;194.276;15.247;0;0;2.911;0;0;0;8.171;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2018;5.968.704;4.866.364;107.037;0;0;0;282.607;697.777;0;0;5.436;0;0;1.780;0;7.702;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;03/2018;5.826.717;1.946.951;133.999;1.565.064;0;0;113;25.407;600.604;11.733;195.814;409.220;0;12.421;925.390;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;03/2018;5.017.369;4.900.102;0;51.005;417;0;0;54.504;11.341;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;03/2018;4.960.568;4.940.088;0;0;0;0;0;20.480;0;0;0;0;0;0;0;1;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;03/2018;4.579.195;199.623;0;0;0;380.691;0;1.571.084;0;0;0;1.255.716;0;0;0;0;1.172.081
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;03/2018;4.510.365;2.647.081;0;0;0;0;0;1.099.240;0;0;2.932;0;0;0;722.969;1.520;36.624
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;03/2018;4.318.184;1.986.948;0;0;0;0;0;0;0;0;0;0;0;0;0;2.331.236;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;03/2018;4.272.416;4.272.353;0;0;0;0;62;0;0;0;0;0;0;0;0;1;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;03/2018;4.024.149;2.384.439;474.859;43.643;0;0;2.488;944.731;0;0;12.159;0;0;0;160.176;1.654;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;03/2018;3.901.499;3.896.625;0;0;0;0;565;0;0;0;4.089;0;0;0;0;219;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;03/2018;3.587.609;3.494.521;0;0;0;0;2.801;55.177;1.195;0;31.817;0;0;0;0;2.098;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;03/2018;3.573.392;1.410.797;13.415;32.248;0;0;15.304;1.438.291;0;0;0;23.118;0;0;385.332;0;254.886
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;03/2018;3.519.902;1.392.524;0;0;0;0;313.963;1.104.901;0;0;0;0;0;0;0;41;708.473
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;03/2018;3.429.226;3.429.172;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2018;3.279.343;3.138.222;0;0;0;0;0;0;0;0;0;0;0;0;0;141.122;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2018;3.143.334;1.027.789;470.716;349.015;0;0;462.674;750.525;13.651;440;34.013;0;0;0;34.468;42;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;03/2018;3.076.218;426.716;0;0;0;0;0;1.713.337;0;0;131;3.503;0;0;552.479;11;380.041
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;03/2018;2.972.334;1.706.839;0;1.265.495;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;03/2018;2.809.962;2.025.938;4.065;2;0;0;0;779.929;0;0;0;0;0;0;0;28;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;03/2018;2.786.124;598.644;0;802;0;0;0;2.030.776;0;0;0;6.349;0;0;149.542;12;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;03/2018;2.670.910;1.118.430;106.451;1.794;0;0;1.441.254;1.244;0;0;0;0;0;0;0;1.736;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;03/2018;2.467.788;1.655.019;35.087;465.292;3.013;0;0;0;276.262;0;9.403;1.308;0;0;22.404;0;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;03/2018;2.406.671;29.523;0;0;0;0;0;95.077;0;2.282.062;0;0;0;0;9;0;0
