Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;03/2019;3.000.931;2.947.456;46.288;223;2.693;4.151;119;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;03/2019;2.858.269;2.288.677;123.907;52.698;280.489;112.498;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;03/2019;2.796.994;18.003;3.463;13.569;5.842;2.754.758;1.360;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;03/2019;2.793.902;2.445.455;249.812;78.720;0;19.914;0;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;03/2019;2.743.312;1.896.160;189.965;72.883;10.425;498.177;75.701;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;03/2019;2.678.808;1.004.738;233.370;203.067;132.610;1.105.022;0;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;03/2019;2.568.551;1.325.842;185.298;261.349;81.280;701.365;13.416;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;03/2019;2.398.827;2.338.263;42.842;36;13.296;4.361;27;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;03/2019;2.360.948;5.313;1.160;2.350.799;367;656;2.654;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;03/2019;2.290.182;1.150.973;160.128;516.612;172.865;288.221;1.383;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;03/2019;2.240.049;1.944.311;62.242;59.704;5.349;168.444;0;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;03/2019;2.218.885;1.285.281;248.245;160.900;242.624;204.317;144;77.374
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;03/2019;2.197.477;457.929;12.892;1.064;12.637;1.712.082;874;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;03/2019;2.164.846;62.556;7.906;84;281;2.094.020;0;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;03/2019;2.078.464;1.910.294;3.736;15.709;4.426;144.298;0;0
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;03/2019;2.052.742;1.558.368;386.172;11.595;2.039;94.567;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;03/2019;1.927.990;8.064;1.876.853;8.267;6.779;27.832;196;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;03/2019;1.847.215;328.938;8.240;1.863;1.646;1.505.066;1.461;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;03/2019;1.817.375;641.754;199.689;457.673;259.816;232.289;26.155;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;03/2019;1.805.679;1.588.301;89.220;74.431;0;53.727;0;0
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;03/2019;1.767.794;917.386;140.650;249.472;95.768;358.924;5.594;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;03/2019;1.736.673;190.149;601.238;563.647;93.845;287.794;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;03/2019;1.657.687;1.374.476;99.552;49.271;0;134.388;0;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;03/2019;1.636.568;333.601;639.787;268.894;155.457;237.463;1.366;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;03/2019;1.626.367;575.835;318.257;429.122;103.861;198.494;797;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;03/2019;1.543.414;773.850;112.607;104.636;94.400;457.921;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;03/2019;1.517.771;249.099;6.450;4.526;4.061;1.252.403;1.232;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;03/2019;1.508.935;736.152;106.082;254.860;67.277;319.971;24.592;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;03/2019;1.483.584;770.965;154.818;159.201;58.403;339.981;216;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;03/2019;1.458.940;246.361;1.038.541;5.590;167.408;936;104;0
MIZUHO;51.554;b1;I;3;S4;199;SAO PAULO;SP;03/2019;1.425.101;670.992;94.253;848;103.395;34.041;0;521.572
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;03/2019;1.355.808;2.256;2.414;2.798;277;1.347.605;459;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;03/2019;1.346.149;9.985;2.931;1.829;950;1.330.295;159;0
BANCO CBSS S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;03/2019;1.344.740;696.834;98.796;362.908;67.119;104.316;14.766;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;03/2019;1.287.458;1.286.550;405;157;183;162;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;03/2019;1.235.215;1.022.627;25.320;44.283;3.387;139.599;0;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;S4;9;CAMPO MOURAO;PR;03/2019;1.197.000;10.623;209.218;78;739;975.726;617;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;03/2019;1.184.336;37.082;1.067.829;216;6.608;71.029;1.572;0
