Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2019;11.491.249;27.307;556.650;1.241.344;1.133.497;136.712;5.865;0;3.101.375;1.556;113.736;276.053;402.549;72.183;515;5.182;871.775;19.265;792.959;821.559;16.640;0;0;0;1.650.423;45.019;2.961.703;355.619;9.599;2.720;0;0;3.374.661;65.640;664.449;527.355;199.022;2.844;0;0;1.459.310;9.065;41.288;42.383;2.084;672;0;0;95.492;1.418;60.263;129.272;139.275;12.820;747;0;343.795;0;14.079;42.858;1.309;0;0;0;58.246;0;0;0;0;0;0;0;0;536.172
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2019;11.335.334;9.458;1.746.517;625.202;501.784;330.284;0;0;3.213.246;0;5.372;15.676;33.056;8.030;23;0;62.156;0;201.351;148.604;0;0;0;0;349.956;22;3.690.862;660.231;16.681;1.793;0;0;4.369.589;0;746.740;1.080.707;512.082;52.708;0;0;2.392.237;19.261;276.980;226;0;0;0;0;296.466;0;333;982;1.369;0;0;0;2.685;0;143.994;491.990;13.015;0;0;0;648.999;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2019;10.033.171;0;0;0;0;0;0;0;0;0;514;366;401;366;0;0;1.648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.199;313.597;807.499;1.738.800;956.716;1.288.301;51.188;5.177.301;2.142;174.923;683.687;1.652.826;1.130.102;1.210.253;289;4.854.222;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2019;9.817.906;9.160;47.131;107.500;155.056;35.042;0;0;353.889;5.027;275.940;728.571;1.641.610;739.244;39.121;0;3.429.514;0;0;0;0;0;0;0;0;172;1.199.354;1.052.861;0;0;0;0;2.252.387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.835;484.503;1.136.716;1.643.055;457.171;46.835;0;3.782.116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2019;9.239.948;63.371;586.263;1.230.231;1.485.996;364.151;204.231;31.131;3.965.374;526;9.845;22.831;39.703;20.457;29.283;0;122.645;30.892;382.400;256.523;266;111;0;0;670.191;5.215;121.375;13.998;0;0;0;0;140.588;5.082;406.526;542.110;4.991;0;0;0;958.710;60.673;278.234;267.384;293.730;215.781;306.574;127.175;1.549.552;4.948;65.938;159.970;312.208;148.485;106.228;0;797.778;2.985;88.759;206.107;34.126;21.012;22.546;0;375.535;715;27.650;71.390;268.191;159.103;8.915;0;535.964;123.611
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2019;8.691.966;0;86.539;488.877;891.949;338.698;25.384;0;1.831.447;0;0;0;0;0;0;0;0;0;1.010;15.884;5.032;0;0;0;21.927;440;176.663;68.063;0;0;0;0;245.166;54.409;1.657.085;1.943.864;1.416.308;517.261;59.798;0;5.648.725;35.436;52.598;84.405;66.232;15.382;15.198;0;269.250;0;3.742;5.987;8.196;1.192;0;0;19.117;271;59.756;162.724;208.297;137.880;87.407;0;656.335;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2019;8.398.245;3.939;40.103;102.344;135.402;26.056;3.254;0;311.097;17.050;381.279;938.906;1.244.271;323.755;2.133;0;2.907.394;0;0;0;0;0;0;0;0;5.427;261.708;1.882.615;17.443;7.341;0;0;2.174.534;0;0;0;0;0;0;0;0;0;38.393;0;0;0;0;0;38.393;34.186;419.063;938.477;1.227.366;343.519;4.215;0;2.966.827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2019;6.830.096;0;342.506;281.540;357.000;8.000;0;0;989.047;0;0;0;0;0;0;0;0;0;172.538;49.494;25.420;0;0;0;247.452;0;660.629;76.285;5.462;3.361;0;0;745.737;0;879.521;2.087.077;403.835;0;0;0;3.370.433;0;6.381;84.468;1.308.071;0;0;0;1.398.920;0;397;913;738;0;0;0;2.048;0;13.399;46.806;16.253;0;0;0;76.459;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2019;5.866.183;31.702;61.766;141.459;211.725;47.737;43.194;23.344;560.928;17.525;108.993;251.741;187.300;48.146;56.272;0;669.977;1.080;2.475;6.567;61;0;0;0;10.183;1.075;7.019;339;3;0;0;0;8.437;490;49.341;779.089;0;0;0;0;828.921;5.215;13.584;35.982;77.737;28.693;65.153;77.308;303.671;113;95.182;197.588;418.674;378.111;1.432.347;541.885;3.063.899;10.413;2.566;26.029;114.731;266.429;0;0;420.168;0;0;0;0;0;0;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2019;5.756.366;7.350;20.097;47.182;101.479;12.098;0;0;188.207;231;6.117;13.277;25.492;0;0;0;45.117;0;0;0;0;0;0;0;0;1.806;1.821;3.728;7.746;3.638;792;0;19.531;9.741;335.785;831.400;421.353;46.033;0;0;1.644.312;34.446;23.060;241.403;121.009;39.353;1.994;34.874;496.139;0;0;0;0;0;0;0;0;0;3.289;53.852;2.474;0;0;0;59.615;0;0;0;0;0;0;0;0;3.303.445
