Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;09/2001;157.224.547;52.792.935;148.586.443;123.611.477;8.638.104;445.548;8.638.104;8,55%;41,82%;3.073;1.549
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2001;114.993.102;34.889.191;102.867.478;40.755.158;12.125.623;336.685;18.188.435;18,79%;65,18%;5;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2001;99.371.362;20.089.368;95.120.911;84.359.241;4.250.450;66.333;4.250.450;14,79%;58,57%;1.693;319
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;09/2001;97.114.075;45.212.993;87.625.026;71.990.792;9.489.049;518.805;9.489.049;13,16%;53,83%;2.777;595
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2001;78.038.608;27.195.460;68.932.837;51.519.601;9.105.771;886.540;10.040.436;13,60%;74,89%;2.096;882
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;09/2001;63.706.038;16.873.037;58.833.778;39.395.900;4.872.260;311.692;4.872.260;12,28%;41,61%;1.013;880
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;09/2001;54.639.436;22.924.361;48.416.260;40.873.950;6.223.175;305.452;6.223.175;13,30%;65,11%;993;615
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;09/2001;33.246.095;13.888.414;28.156.123;15.142.457;5.089.972;122.092;5.089.972;17,56%;42,52%;782;630
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;09/2001;32.146.794;9.643.324;30.169.767;19.647.109;1.977.027;358.687;1.977.027;11,27%;21,26%;92;10
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2001;28.670.793;9.749.350;26.830.267;22.279.280;1.840.526;64.881;1.840.526;11,42%;25,97%;84;8
