Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;09/2015;5.690.721;5.525.008;64.858;72.002;1.457;27.383;13;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;09/2015;4.862.524;3.023.816;153.072;62.832;3.882;139.007;0;1.479.914
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;09/2015;4.680.103;2.836.888;255.938;349.362;57.019;605.382;130;575.384
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;09/2015;4.654.504;2.684.691;347.015;441.121;132.220;367.222;682.235;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;09/2015;4.609.176;1.364.632;948.286;422.982;139.772;1.731.227;2.277;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;09/2015;4.582.842;2.092.718;550.562;819.807;240.732;878.801;223;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;09/2015;4.218.403;3.249.632;194.757;305.789;49.703;251.430;167.091;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;;8;SAO PAULO;SP;09/2015;4.139.898;1.629.234;566.805;865.794;364.217;711.953;1.894;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;09/2015;4.085.929;3.938.531;8.881;39.600;62.427;7.212;29.278;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;09/2015;3.950.168;1.383.393;450.907;510.547;277.656;1.327.505;161;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;09/2015;3.906.454;1.013.530;141.430;122.041;26.275;2.505.584;97.593;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;09/2015;3.827.433;1.318.153;859.380;503.775;1.073.984;68.906;3.235;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;09/2015;3.757.888;2.077.913;947.660;377.690;104.752;243.566;6.307;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;09/2015;3.692.735;1.661.495;399.349;568.630;42.979;431.101;9.422;579.759
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;09/2015;3.611.085;139.648;10.452;394;919;3.459.665;6;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;09/2015;3.559.910;3.066.494;43.779;161.926;71.407;216.302;3;0
