Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2016;694.071.917;343.775.871;83.061.490;108.383.109;28.386.259;128.862.192;1.602.997;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2016;635.309.034;297.569.452;80.310.362;74.504.102;28.807.545;114.536.767;1.802.076;37.778.730
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2016;538.200.760;202.415.555;19.472.601;38.856.090;9.859.721;43.489.497;6.026.876;218.080.420
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2016;439.331.540;193.739.702;27.897.491;46.534.443;15.307.737;53.453.902;7.387.947;95.010.318
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2016;342.672.044;201.133.916;35.738.956;43.554.107;6.462.225;27.646.542;28.136.298;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2016;255.590.636;149.267.235;14.052.798;22.465.198;5.703.484;35.292.078;1.923.766;26.886.076
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2016;51.965.714;28.898.599;2.472.121;3.258.671;963.906;6.491.590;41.922;9.838.907
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2016;47.203.907;23.846.623;3.863.826;7.275.360;1.575.481;8.902.403;254.290;1.485.922
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2016;29.164.206;2.999.322;489.315;908.860;350.865;23.993.711;267.993;154.139
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2016;19.746.972;13.639.933;863.794;1.250.107;592.631;3.218.504;182.003;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2016;18.917.157;8.736.790;2.172.351;3.761.993;1.293.705;2.721.532;230.787;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2016;16.161.093;64.708;4.151.175;3.990;65.155;11.868.738;7.328;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2016;15.904.150;5.882.645;6.823.245;1.312.196;63.525;1.822.538;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2016;14.687.682;6.677.308;1.333.736;2.667.565;932.561;3.066.464;10.047;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;12/2016;13.837.340;7.289.098;1.292.231;2.474.116;619.975;1.847.302;67.516;247.102
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2016;13.476.065;430.159;324.764;17.166;4.319;12.697.918;1.738;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2016;12.993.935;2.173.727;662.474;9.883.273;124.511;100.092;49.858;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2016;12.673.859;7.036.930;803.892;1.766.627;449.414;2.156.956;460.040;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2016;12.155.104;6.272.163;745.979;705.236;123.271;2.060.920;252;2.247.284
