Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;03/2006;4.834.832;11.500;3.294.827;-195.182;460.460;426.588;8.833.025;-3.700.385;-445.740;-7.215;0;-2.054.398;-6.207.737;2.625.288;1.919.756;0;-1.823.858;-1.276.887;-391.942;8.988;1.369.001;-1.532.376;-1.727.319;897.969;24.634;922.603;1.609.050;-188.983;2.342.669;0
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2006;3.586.700;0;2.522.848;1.136.904;173.588;342.153;7.762.194;-3.828.404;-358.696;0;0;-728.555;-4.915.655;2.846.539;1.348.403;0;-1.166.158;-1.039.087;-304.244;483.428;244.524;-393.307;-826.441;2.020.098;-5.327;2.014.771;-484.512;0;1.530.259;-539.000
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;03/2006;2.083.626;0;4.228.962;-120.213;5.108;925.608;7.123.091;-3.647.940;-353.135;0;0;14.221;-3.986.853;3.136.238;1.398.018;0;-1.519.959;-933.889;-207.661;-7.893;470.237;-1.509.268;-2.310.414;825.823;-44.168;781.656;-39.960;-42.116;699.579;-168.465
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2006;2.675.137;147.623;2.074.463;675.125;0;235.321;5.807.669;-3.462.560;-29.051;-95.412;-59.492;-1.026.242;-4.672.757;1.134.913;989.146;0;-638.149;-875.256;-194.347;318.752;490.832;-489.291;-398.314;736.599;-4.711;731.888;-49.015;-126.414;556.458;-183.794
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;03/2006;1.642.250;0;1.220.076;295.635;0;133.510;3.291.471;-1.809.060;-148.537;0;-59.297;-252.067;-2.268.961;1.022.510;428.746;0;-406.328;-465.453;-113.579;315.193;513.369;-576.355;-304.408;718.102;-5.627;712.474;-74.986;-117.042;520.445;-202.922
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;03/2006;2.053.483;0;678.277;388.146;3.074;144.899;3.267.879;-1.635.848;-59.811;0;0;-474.093;-2.169.751;1.098.128;530.704;0;-426.995;-664.627;-138.401;40.396;295.614;-276.774;-640.083;458.045;-25.215;432.830;-133.064;-67.696;232.070;-20.000
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;03/2006;2.497.853;0;502.877;28.933;0;0;3.029.663;-449.813;-1.922.293;0;-745;-157.976;-2.530.828;498.836;9.093;0;-93.432;-28.990;-52.137;802.395;2.802.061;-2.169.308;1.269.682;1.768.518;-9.810;1.758.708;-362.326;0;1.396.382;0
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;03/2006;1.651.680;97.210;690.265;14.443;101.223;96.330;2.651.151;-1.257.923;-29.192;-69.271;0;-461.660;-1.818.046;833.105;555.425;0;-361.663;-631.826;-105.837;70.737;103.105;-195.371;-565.429;267.675;-8.638;259.037;-55.619;-38.601;164.817;0
BANCO SANTANDER BRASIL S.A.;61472676;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;03/2006;657.948;0;1.361.891;143.978;0;45.537;2.209.354;-1.733.643;-60.261;0;-38.897;-94.208;-1.927.008;282.346;184.793;0;-131.497;-185.573;-40.880;56.972;318.874;-378.382;-175.693;106.653;-69.313;37.340;22.983;-42.820;17.503;0
CIA ITAULEASING DE ARRENDAMENTO MERCANTIL;49925225;ITAU;10069;;n1;2;19;SAO PAULO;SP;03/2006;5.520;1.293.202;1.024.955;-185.190;0;0;2.138.488;-486.054;0;-1.125.613;0;-59.525;-1.671.192;467.297;58.939;0;-940;-64.274;-45.036;-5.986;68.763;-62.085;-50.620;416.677;178.137;594.814;-202.546;0;392.268;0
