Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;670.228.054;381.366.008;50.827.141;21.895.620;1.451.151;278.725;113.055.733;0;33.712.254;1.875.141;189.075;0;864;3.217.157;1.976.957;60.382.228
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;642.012.132;149.650.686;409.035.694;25.790.634;0;303;37.085.947;0;0;598.410;1.754.900;0;34;16.653.318;1.442.206;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2015;526.086.863;246.109.841;39.720.734;10.882.638;1.539.469;7.340.386;28.013.174;55.527;321.667;484.739;182.551;0;11.418;15.133;7.071.123;184.338.463
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2015;405.537.565;178.321.014;38.869.172;32.187.125;4.346;10.695.105;32.761.821;0;490.852;3.289.738;0;0;16.729;0;6.590.745;102.310.918
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2015;356.973.376;96.035.118;10.749;225.893.609;8.218.395;16.242.153;0;7.371.461;0;2.202;3.199.689;0;0;0;0;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2015;253.734.657;147.988.423;44.339.312;3.339.410;51.194;314.116;21.600.195;106.259;0;173.317;778.181;0;13.052;14.136;1.791.263;33.225.798
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2015;68.522.506;31.539.508;7.202.273;493.793;69.803;6.888.671;8.735.734;0;0;96.470;88.365;0;0;3.139.877;1.180.847;9.087.164
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2015;54.724.712;23.665.909;336.593;1.397.060;0;1.551.957;15.705.308;92.352;0;187.927;5.085;0;5.080;0;29.347;11.748.094
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2015;52.681.205;41.284.463;9.093;1.094.560;47.362;2.700.384;4.433.309;9.812;0;0;75.102;0;0;0;385.021;2.642.099
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2015;30.019.808;16.914.316;4.995.675;366.820;0;1.648.311;5.534.306;0;0;39.992;0;0;0;101.596;222.724;196.069
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2015;20.313.832;16.883.920;0;968.557;0;0;2.449.801;0;0;0;0;0;0;0;11.553;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2015;18.719.461;2.408.087;106.052;1.886.798;0;0;6.268.369;0;0;138.023;864.023;0;6.054;48.573;8;6.993.474
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2015;18.171.447;13.678.121;788.562;0;0;0;2.601.559;0;0;488.054;0;0;0;375.827;239.323;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2015;17.449.790;13.030.859;980.864;196.342;0;19.614;3.126.705;0;0;0;0;0;0;0;95.405;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2015;13.854.279;7.457.611;37.492;1.302.478;0;1.871.484;989.673;0;18;2.013.733;0;0;138.068;0;43.723;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;06/2015;13.557.562;12.093.087;307;131.186;0;0;1.317.351;0;0;0;12.931;0;0;2.699;0;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;06/2015;12.935.240;3.557.270;696;259.307;0;19.865;4.501.141;18.465;0;7.244;25.806;0;0;348.097;39;4.197.310
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;06/2015;12.820.941;11.301.223;0;77.684;0;1.192.923;242.513;0;0;0;0;0;0;0;6.599;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;06/2015;11.920.776;8.568.695;4.145;2.437.465;0;0;0;0;0;458.385;1.531;0;487;449.789;278;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;06/2015;11.764.347;7.250.847;0;12.572;0;16.922;2.376.315;1.179.460;85.262;0;0;0;1.216;666.415;91.371;83.967
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;06/2015;10.721.894;9.798.048;0;923.823;0;0;0;0;0;0;0;0;0;0;23;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;06/2015;10.715.424;10.710.101;0;0;0;0;0;0;0;0;0;0;0;0;5.323;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;06/2015;10.596.351;7.195.982;0;17.168;0;2.410.456;559.263;0;0;0;0;0;0;6.130;407.352;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;06/2015;9.912.735;9.253.366;30.516;360.568;0;0;169.972;0;0;0;0;0;0;0;98.313;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;06/2015;9.386.922;7.856.086;837.514;101.454;0;570.520;0;0;0;10.096;0;0;0;0;11.253;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;06/2015;8.591.845;1.919.880;23.650;0;0;0;4.424.185;0;1.372.817;19.996;0;0;0;0;27.906;803.411
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;8.575.498;6.476.248;80.494;0;0;246.754;1.549.558;0;0;0;0;0;0;0;222.444;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;06/2015;7.815.525;5.579.187;0;0;0;40.212;1.983.198;0;0;0;0;0;0;37.300;175.628;0
