Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2019;17.562.769;515.782.494;147.278.252;572.275.918;-33.250.658;539.025.260;78.924;221.644;87.391;-6.579;381.380;184.618.124;76.775.165;35.376.817;1.516.800.261;87.391;1.516.712.869
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2019;30.235.943;279.745.805;271.025.209;465.546.892;-30.786.671;434.760.221;7.248.968;1.438.990;972.184;-292.379;9.367.764;248.612.823;113.062.869;104.863.399;1.491.674.032;972.184;1.490.701.848
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;03/2019;7.758.144;206.981.680;202.036.473;676.048.515;-35.354.081;640.694.434;0;0;0;0;0;80.868.719;141.208.807;13.344.503;1.292.892.761;0;1.292.892.761
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2019;17.721.416;110.630.023;319.293.957;354.404.426;-34.651.728;319.752.698;29.530;3.562.969;1.469.825;-133.384;4.928.939;190.361.000;95.916.312;84.863.855;1.143.468.201;1.469.825;1.141.998.376
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2019;604;111.903.278;111.270.097;292.389.815;-19.614.298;272.775.517;0;0;0;0;0;25.793.706;207.685.655;120.116.018;849.544.874;0;849.544.874
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2019;9.506.761;33.631.666;183.719.607;253.521.682;-17.188.174;236.333.508;18.387;4.760.777;2.131.478;-70.201;6.840.442;217.586.659;85.304.938;18.156.055;791.079.636;2.131.478;788.948.157
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2019;875.833;50.089.447;52.802.228;20.745.754;-671.583;20.074.170;0;0;0;0;0;53.261.013;1.438.175;11.113.073;189.653.938;0;189.653.938
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2019;1.380.065;42.885.295;33.750.588;58.191.205;-2.431.647;55.759.558;9.751;1.391.641;563.157;-18.507;1.946.041;11.081.314;11.847.661;5.204.347;163.854.870;563.157;163.291.714
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2019;156.794;9.923.564;23.960.733;46.282.075;-3.007.178;43.274.897;1.460;160.922;381;-1.875;160.888;12.706.723;883.613;2.350.262;93.417.473;381;93.417.091
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;03/2019;25.581;0;7.801.213;0;0;0;0;0;0;0;0;3.015.628;63.502.834;9.923.751;84.269.008;0;84.269.008
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2019;700.611;15.016.844;28.507.355;6.590.962;-57.648;6.533.314;4.703;75.796;18.342;-906;97.935;24.305.704;2.827.396;283.165;78.272.324;18.342;78.253.982
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2019;777.780;5.979.151;18.647.382;31.278.409;-2.464.832;28.813.577;167;77.766;46.835;-2.127;122.641;6.514.046;13.911.894;2.685.367;77.451.838;46.835;77.405.003
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;03/2019;6.289;0;10.711.159;0;0;0;0;0;0;0;0;675.260;54.862.140;1.156.634;67.411.482;0;67.411.482
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2019;128.780;24.660.231;17.280.356;1.280.807;-1.269;1.279.538;0;0;0;0;0;17.261.339;6.952;102.084;60.719.281;0;60.719.281
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2019;99.128;8.212.642;37.745.061;9.388.577;-585.180;8.803.397;0;0;0;0;0;4.099.853;620.490;190.944;59.771.516;0;59.771.516
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2019;25.809;17.288.310;11.739.626;4.590.290;-51.816;4.538.474;0;0;0;0;0;3.621.447;13.312.116;213.092;50.738.875;0;50.738.875
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2019;55.623;15.499.769;4.026.813;10.616.598;-1.494;10.615.105;0;0;0;0;0;2.190.511;16.833.975;201.133;49.422.929;0;49.422.929
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;03/2019;18.768;4.719.984;10.124.598;11.683.072;-506.697;11.176.376;0;0;0;0;0;17.623.788;179.064;586.079;44.428.657;0;44.428.657
