Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2019;673.934.748;331.575.974;97.520.351;95.892.690;83.199.075;28.704.043;9.932.223;9.879.789;2.948.325;14.282.279;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2019;653.319.683;136.615.951;153.771.993;24.299.510;18.299.813;7.854.733;4.722.388;3.524.780;4.563.428;12.084.504;287.582.583
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2019;618.136.004;271.428.539;60.464.964;139.976.949;57.623.649;10.552.787;8.331.468;7.445.660;4.525.502;19.728.018;38.058.468
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2019;514.484.875;132.322.002;150.449.288;41.401.581;42.289.628;6.570.126;5.349.935;4.619.604;5.258.136;15.670.456;110.554.118
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2019;330.124.214;107.805.689;108.125.418;28.469.743;23.839.658;10.577.468;4.747.697;3.604.415;2.853.915;8.477.606;31.622.606
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2019;274.507.222;40.099.095;93.305.426;88.136.850;34.046.640;2.613.234;8.053.581;1.478.780;0;6.773.614;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2019;72.818.247;33.322.871;21.416.721;4.916.976;1.787.637;419.149;915.092;128.871;112.195;1.008.320;8.790.415
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2019;53.092.690;2.678.948;23.570.514;10.743.486;9.302.905;1.360.307;720.521;508.338;1.418.056;1.732.885;1.056.729
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2019;34.204.021;3.676.142;17.502.745;6.771.694;1.933.197;1.137.712;392.013;404.585;655.127;1.611.207;119.599
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2019;26.033.766;1.540.930;5.421.786;3.904.419;860.647;499.853;441.054;971.643;142.027;169.864;12.081.543
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;09/2019;23.239.934;0;19.927.043;730.750;618.855;322.047;203.397;203.625;204.512;1.029.704;0
