Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2016;686.515.696;324.473.104;128.406.546;109.567.121;24.100.635;6.259.917;12.312.998;5.158.544;3.763.312;18.981.181;53.492.338
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2016;678.744.050;328.142.663;98.799.669;109.651.349;74.440.403;32.232.378;8.018.169;4.925.904;3.538.593;18.994.924;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2016;497.074.666;137.726.855;121.091.665;20.629.728;15.704.469;9.321.431;5.239.368;4.723.387;3.371.161;13.594.657;165.671.946
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2016;409.647.334;65.692.272;107.115.647;56.635.554;41.344.179;7.503.848;4.655.896;3.066.596;2.353.725;13.658.202;107.621.414
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2016;378.373.565;85.356.519;105.522.909;166.863.253;13.333.748;3.830.607;2.372.119;208.767;411.798;473.845;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2016;247.454.430;75.782.766;88.709.646;17.261.530;13.111.046;7.195.540;3.388.849;2.185.211;1.734.208;8.092.088;29.993.545
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2016;67.258.551;28.795.522;14.755.479;6.244.076;1.398.338;1.561.483;1.081.365;500.354;544.837;3.623.648;8.753.450
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2016;58.999.956;1.061.981;2.608.740;1.894.072;424.570;1.164.864;585.173;86.292;432;683.640;50.490.190
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2016;48.811.678;3.154.949;23.622.755;7.351.703;7.988.996;1.447.097;522.246;423.822;330.150;1.613.637;2.356.323
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2016;45.268.717;24.462.838;7.797.312;1.479.733;442.291;215.202;355.701;159.624;79.813;1.305.652;8.970.552
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2016;30.571.569;5.651.165;12.931.609;5.600.314;2.696.352;1.194.865;332.782;295.419;184.561;1.460.613;223.890
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2016;21.219.073;7.533.851;8.962.926;2.311.835;247.988;1.078.917;178.135;126.722;205.893;572.806;0
