Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;6.389.436;6.389.436;43.866;64.540.549;70.973.851;0;9.466.835;80.440.686
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;09/2018;2.847.416;9.019.984;124.966;37.237.660;7.431;49.237.458;3.524.120;876.423;0;1.973.884;0;0;2.850.307;2.783.661;58.395.546;31.293;9.599.226;68.026.065;16.250;7.248.907;75.291.223
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.182.958;47.182.958;58;16.371.954;63.554.971
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;09/2018;561.478;0;127.140;4.608.661;164.812;5.462.092;4.411.540;0;483.855;3.800.030;0;1.861.202;6.145.086;7.287.487;23.306.205;4.938.073;27.606.202;55.850.480;14.900;3.395.221;59.260.600
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;09/2018;289.814;2.307.026;1.451.821;5.972.442;1.913.743;11.934.847;1.340.811;0;160.923;0;1.236.112;0;1.397.035;2.771.629;17.444.322;0;37.469.046;54.913.369;0;3.875.169;58.788.537
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;09/2018;44.996;4.832.272;31.997.055;525.379;0;37.399.702;2.933.586;0;202.745;0;0;0;202.745;2.658.008;43.194.042;0;6.887.104;50.081.146;133;1.751.871;51.833.150
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;09/2018;177.618;0;20.041;6.003.955;0;6.201.614;7.768.935;0;0;0;0;204.293;204.293;10.331.759;24.506.600;7.082.575;14.079.149;45.668.325;1.417;4.784.562;50.454.304
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;09/2018;89.994;12.943.310;4.765.244;67.112;0;17.865.659;16.075.163;0;518.248;0;0;0;518.248;9.102.135;43.561.206;534;2.503.350;46.065.090;0;1.277.276;47.342.365
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;09/2018;182.425;0;0;3.312.524;0;3.494.949;5.004.809;0;0;448.213;0;713.396;1.161.609;7.472.621;17.133.989;4.710.195;19.778.445;41.622.629;27.956;3.903.482;45.554.067
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;09/2018;7.905;0;0;277.580;0;285.485;65.168;0;48.985;298.926;0;0;347.911;5.019.703;5.718.266;604.974;23.822.212;30.145.453;541;1.614.736;31.760.730
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;09/2018;43.703;0;696.513;4.608.414;0;5.348.631;400.065;1.010.951;2.552.007;5.228.105;0;50.933;8.841.996;7.078.584;21.669.275;775.713;5.233.954;27.678.943;31.074;3.618.851;31.328.867
BANESTES;30159;b1;S3;C;1;VITORIA;ES;09/2018;909.203;2.821.852;187.553;7.027.271;8.541;10.954.420;14.453.036;414.810;236.591;0;0;0;651.401;321.423;26.380.281;0;820.417;27.200.698;4.872;1.440.684;28.646.254
