Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2019;1.542.627.258;626.286.782;1.450.589.247;1.218.880.571;92.038.011;8.251.224;4.726;1.068
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2019;1.511.292.243;552.902.251;1.373.004.191;1.036.070.993;138.288.053;13.733.288;3.294;910
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;06/2019;1.314.227.472;682.444.756;1.266.386.765;1.076.448.070;47.840.707;7.533.504;3.375;772
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2019;1.162.042.853;427.351.614;1.027.403.787;819.115.110;134.639.066;11.934.807;4.629;1.415
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2019;820.611.383;316.967.594;747.329.946;525.585.375;73.281.437;7.075.493;2.723;1.368
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;06/2019;810.468.793;276.741.323;710.850.465;356.300.261;99.618.328;13.807.584;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2019;196.797.640;23.778.027;176.417.392;96.329.557;20.380.248;1.671.329;14;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2019;172.036.403;70.262.935;159.593.818;139.686.254;12.442.585;1.040.402;118;5
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2019;93.579.797;52.155.049;83.834.762;63.891.390;9.745.035;688.006;93;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;06/2019;89.530.083;0;80.398.051;9.151.005;9.132.032;979.684;0;0
