Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2017;699.937.601;134.335.793;480.559.123;29.852.411;0;21;40.194.097;0;0;532.972;4.364.862;0;0;10.035.576;62.746;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2017;615.254.117;360.723.421;61.308.729;18.744.496;116.655;21.579;99.560.132;0;34.551.940;1.981.982;252.251;0;0;4.254.116;100.041;33.638.774
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2017;502.780.994;211.316.003;45.610.795;10.366.820;798.118;6.265.326;26.422.646;88.819;767.585;436.077;91.963;0;0;5.603;398.380;200.212.860
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2017;405.042.015;193.438.557;55.119.883;24.073.392;14.590;12.439.241;38.471.135;186.539;292.242;3.461.448;0;0;25.072;0;478.860;77.041.056
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2017;316.591.664;56.430.752;29.968;218.720.885;6.248.444;10.692.838;2.618.564;11.993.012;0;17.203;9.839.992;0;0;5;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2017;262.143.391;167.808.435;40.313.136;8.643.576;2.646;177.124;21.976.493;1.291.158;0;218.795;514.369;0;3.482;9.891;119.760;21.064.526
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2017;53.943.687;25.928.445;334.744;3.114.051;0;1.187.076;13.815.027;370.966;0;67.161;355;0;7.846;0;659;9.117.357
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2017;47.052.749;38.391.674;27.788;1.066.071;57.417;1.523.360;4.175.241;140.881;0;0;92.124;0;0;0;11.516;1.566.679
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2017;29.625.570;19.581.219;5.350.390;285.390;0;946.369;3.284.820;0;0;43.769;0;0;0;0;19.227;114.385
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;09/2017;18.527.509;15.994.836;467.081;0;0;0;1.469.093;0;0;355.719;101.053;0;0;133.978;5.750;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2017;17.249.334;12.061.587;1.155.526;446.317;0;0;3.527.364;52.268;0;0;0;0;0;0;6.272;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2017;15.692.946;13.264.615;149.398;239.855;0;0;2.036.429;0;0;0;0;0;0;2.649;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;09/2017;13.948.573;9.318.015;50.854;2.821.962;0;0;0;0;0;522.608;0;0;342;1.234.787;5;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2017;13.311.604;10.058.175;2.947;165.995;0;201.403;1.536.965;411.544;135.552;188;12.794;0;4.130;648.517;2.011;131.383
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2017;13.117.720;786.731;80.473;2.494.799;35.595;0;4.575.366;0;0;93.736;237.849;0;0;226.119;0;4.587.051
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2017;13.091.473;9.958.533;0;56.714;0;2.094.344;959.203;0;0;0;0;0;0;2.709;19.969;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2017;12.857.115;9.762.108;0;1.452.774;0;0;1.626.069;0;0;0;0;0;0;16.100;64;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2017;12.620.595;2.549.830;0;661.766;0;4.042;6.427.583;73.641;0;0;22.079;0;0;432.080;1;2.449.571
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2017;10.729.596;6.095.132;26.129;1.087.168;0;1.023.708;956.533;0;20;1.516.673;0;0;23.756;0;478;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2017;8.768.317;7.533.827;1.018.381;62.499;0;142.637;0;0;0;10.782;0;0;0;0;191;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;09/2017;8.660.933;8.660.932;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2017;8.256.177;7.472.526;0;3.796;0;28.488;709.687;0;0;0;0;0;0;37.630;4.049;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;09/2017;8.083.620;7.151.235;0;260.125;0;347.061;324.972;0;0;0;0;0;0;0;227;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;09/2017;7.868.198;5.656.610;0;1.752.074;0;0;0;459.514;0;0;0;0;0;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;09/2017;7.152.585;5.067.780;0;669.524;0;3.969;1.235.626;174.864;0;0;0;0;0;0;821;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;09/2017;7.115.645;3.376.468;16.857;0;0;0;1.375.724;0;840.654;14.064;0;0;0;0;452;1.491.425
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;09/2017;6.999.094;6.434.967;0;193.417;337.853;0;0;32.858;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2017;6.912.531;6.541.120;0;367.195;0;0;0;4.217;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2017;5.904.288;4.666.726;133.044;0;0;274.111;820.159;0;0;1.458;0;0;0;0;8.791;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;09/2017;5.872.781;2.003.691;9.516;1.548.757;0;16;31.296;489.712;14.221;189.715;476.594;0;13.778;1.095.485;0;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;09/2017;5.613.833;5.588.651;0;0;0;0;0;0;0;0;0;0;0;0;25.181;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;09/2017;5.424.174;5.041.190;0;215.767;0;0;159.773;0;0;0;0;0;0;0;7.444;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;09/2017;5.322.622;5.314.339;0;0;0;0;0;0;0;0;0;0;0;0;8.283;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;09/2017;4.719.378;4.612.395;0;44.615;0;0;49.598;12.769;0;0;0;0;0;0;0;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;09/2017;4.693.381;418.189;0;0;0;0;1.639.998;0;0;0;1.276.773;0;0;0;0;1.358.420
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;09/2017;4.325.618;4.300.088;0;0;0;0;25.529;0;0;0;0;0;0;0;1;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;09/2017;4.105.137;1.234.100;13.304;36.235;0;26.421;1.743.420;0;0;0;290.398;0;0;461.339;0;299.920
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;09/2017;3.916.107;3.911.631;0;0;0;192;0;0;0;4.085;0;0;0;0;199;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;09/2017;3.859.307;2.298.098;438.295;31.255;0;2.683;886.851;0;0;12.244;0;0;0;188.249;1.631;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;09/2017;3.741.478;1.314.641;0;0;0;417.473;1.343.976;0;0;0;0;0;0;0;83;665.305
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;09/2017;3.718.283;2.202.146;0;0;0;0;931.474;0;0;3.089;0;0;0;580.612;962;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;09/2017;3.696.728;3.554.683;0;0;0;2.821;85.114;8.648;0;37.543;0;0;0;2.984;4.934;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;09/2017;3.437.635;3.437.542;0;0;0;0;0;0;0;0;0;0;0;0;93;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;09/2017;3.217.161;1.028.405;460.365;358.768;0;490.805;775.078;14.105;470;33.342;0;0;0;55.778;44;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;09/2017;3.194.753;3.194.625;0;0;0;127;0;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;09/2017;3.092.414;1.961.554;0;1.130.859;0;0;0;0;0;0;0;0;0;0;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;09/2017;2.939.672;2.799.243;0;0;0;0;0;0;0;0;0;0;0;0;140.429;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;09/2017;2.898.134;360.923;0;0;0;777;1.638.736;0;0;211;3.744;0;0;522.272;2;371.468
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;09/2017;2.758.822;1.847.146;34.937;498.074;0;0;0;337.903;0;10.666;1.230;0;0;28.867;0;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;09/2017;2.619.470;1.749.124;3.954;4;0;0;866.362;0;0;0;0;0;0;0;25;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;09/2017;2.527.805;575.059;0;0;0;0;1.942.622;0;0;0;0;0;0;10.124;0;0
