Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2018;41.762.085;136.745.546
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2018;33.999.289;109.448.649
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2018;17.691.493;40.655.963
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2018;15.725.617;39.986.844
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2018;14.342.322;39.326.571
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2018;7.124.744;25.904.495
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;03/2018;4.746.108;10.067.546
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2018;4.042.893;5.870.669
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2018;4.012.635;7.125.540
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2018;3.699.911;8.087.631
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;03/2018;3.655.556;5.100.953
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2018;2.990.196;6.094.156
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2018;2.923.292;8.552.774
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2018;2.551.204;11.456.508
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;03/2018;1.622.779;53.999.614
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;03/2018;1.442.399;1.719.135
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2018;1.427.422;2.272.968
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;03/2018;1.397.594;2.939.715
DACASA FINANCEIRA;51.891;n1;C;2;S4;197;VITORIA;ES;03/2018;1.248.422;2.439.120
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2018;1.138.064;1.795.517
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2018;1.083.118;2.398.785
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2018;989.647;1.558.549
BANCO CBSS S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;03/2018;873.864;1.859.306
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2018;854.913;1.721.301
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2018;845.355;1.056.243
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;03/2018;767.100;2.053.300
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4.379.829;n1;I;2;S4;14;CURITIBA;PR;03/2018;528.671;733.986
