Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2018;1.492.812.201;532.474.088;1.348.593.262;1.051.538.628;144.218.938;12.152.850;3.383;934
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2018;1.418.172.877;640.224.704;1.325.809.129;1.108.779.158;92.363.748;6.907.615;4.732;1.100
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;12/2018;1.264.649.576;694.519.193;1.223.650.499;1.050.840.660;40.999.077;2.928.299;3.375;795
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2018;1.132.855.126;407.284.628;1.010.805.459;844.407.699;122.049.666;10.158.131;4.651;1.403
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2018;806.562.705;296.606.864;727.006.433;384.248.761;79.556.272;1.950.284;5;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2018;787.552.212;304.756.078;719.876.524;518.374.679;67.675.689;6.588.263;2.703;1.303
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2018;167.443.313;69.260.673;155.651.655;140.029.380;11.791.658;1.087.865;115;5
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2018;165.487.880;20.590.260;146.696.450;81.715.429;18.791.430;1.054.146;15;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2018;101.819.911;50.217.346;92.446.316;71.110.573;9.373.596;550.132;93;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;12/2018;81.757.466;0;72.393.196;6.298.568;9.364.270;1.498.464;0;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2018;77.042.940;34.063.719;69.767.011;60.745.208;7.275.929;542.708;536;147
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2018;74.713.446;12.351.255;65.923.946;40.086.347;8.789.500;711.307;133;22
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;12/2018;68.623.850;0;52.221.104;0;16.402.746;106.865;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;12/2018;58.628.963;10.543.330;54.446.941;18.210.258;4.182.021;493.685;304;2
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2018;50.021.018;7.464.041;48.236.772;42.022.682;1.784.247;96.445;6;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2018;49.999.248;1.879.612;45.137.563;28.142.493;4.861.685;71.108;11;1
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;12/2018;46.980.187;10.470.072;45.765.004;42.854.360;1.215.184;38.498;6;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;12/2018;46.811.729;17.109.748;43.317.459;23.591.943;3.494.270;264.382;7;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2018;32.727.129;12.978.938;29.061.620;23.059.075;3.665.509;197.885;9;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;12/2018;31.556.583;3.460.095;27.887.157;17.232.014;3.669.426;15.167;10;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;12/2018;31.268.956;2.248.068;29.916.905;11.611.853;1.352.050;-45.767;4;0
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;12/2018;30.148.221;1.535.028;28.520.294;4.262.165;1.627.927;53.039;5;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2018;29.632.113;18.212.937;26.395.075;22.243.179;3.237.038;354.102;45;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2018;28.910.556;21.145.832;25.725.152;21.039.917;3.185.404;201.071;18;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2018;27.750.298;4.108.865;26.258.285;25.439.822;1.492.013;99.851;125;35
