Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO FIBRA S.A.;58616418;FIBRA;49951;;b1;2;8;SAO PAULO;SP;09/2005;10.439.695;1.317.055;10.064.761;9.743.600;374.934;-2.448;1;0
BANCO BBM S/A;15114366;BBM;30207;;b1;2;8;SALVADOR;BA;09/2005;9.147.892;987.640;8.721.903;7.861.860;425.988;10.522;6;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;;b1;3;8;SAO PAULO;SP;09/2005;8.460.422;137.843;7.176.301;2.031.142;1.284.121;51.462;2;1
BANCO BANESTADO S.A.;76492172;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2005;8.173.275;28.298;374.779;125.695;7.798.496;246.985;1;0
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;;b2;2;13;SAO PAULO;SP;09/2005;7.812.658;2.492.134;7.135.243;6.217.688;677.414;16.440;9;0
BANCO SANTANDER S.A.;33517640;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;09/2005;7.747.406;752.170;2.037.295;1.556.632;5.710.110;377.535;1;0
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;;n1;2;14;SAO PAULO;SP;09/2005;7.607.611;6.607.307;6.806.672;6.499.318;800.938;96.375;45;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;;b1;3;8;SAO PAULO;SP;09/2005;7.232.492;814.450;6.645.277;2.964.008;587.215;5.084;4;0
SAFRA LEASING S/A ARRENDAMENTO MERCANTIL;62063177;SAFRA;10083;;n1;2;19;SAO PAULO;SP;09/2005;6.090.302;3.655.411;4.937.296;1.748.452;1.153.006;-3.858;1;0
CREDICARD BANCO S.A.;34098442;;;;b2;3;8;SAO PAULO;SP;09/2005;6.027.661;5.557.594;5.592.716;1.254.959;434.945;52.492;1;0
BANCO INDUSTRIAL E COMERCIAL S.A.;7450604;BIC;32119;;b1;2;8;SAO PAULO;SP;09/2005;5.505.655;2.408.502;5.019.921;4.783.623;485.734;15.068;35;0
