Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2015;663.815.559;306.178.294;75.214.905;72.303.092;28.252.279;115.769.090;2.168.194;63.929.706
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2015;621.151.936;308.592.312;73.291.022;97.966.014;25.803.909;113.904.845;1.593.833;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2015;574.664.447;213.713.715;21.576.030;42.201.186;11.728.584;49.842.045;7.160.976;228.441.911
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2015;405.978.349;165.584.536;25.086.329;42.229.465;14.329.831;47.323.165;6.724.534;104.700.489
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2015;353.057.765;213.615.673;31.098.845;43.169.382;6.085.652;27.122.326;31.965.886;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2015;257.968.170;141.605.077;14.165.202;22.000.378;4.986.520;32.855.157;1.844.428;40.511.408
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2015;67.511.223;30.370.028;5.469.837;3.926.500;1.728.175;14.008.491;1.236.271;10.771.922
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2015;55.983.379;24.645.718;3.529.476;4.344.135;1.346.915;7.437.754;1.920.132;12.759.249
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2015;55.585.696;27.005.196;4.112.163;8.183.159;1.872.242;10.277.809;408.637;3.726.489
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2015;29.820.160;4.137.858;379.148;1.364.169;357.366;23.114.508;233.205;233.906
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2015;21.243.745;9.387.735;2.038.907;4.023.119;1.259.853;4.516.697;17.434;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2015;18.452.767;7.840.108;2.410.931;788.735;760;500.565;9;6.911.659
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2015;17.889.473;8.823.868;2.424.514;2.931.852;1.102.712;2.366.114;240.412;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2015;17.457.986;12.090.360;1.348.057;1.060.496;273.144;2.581.929;104.000;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;03/2015;13.765.315;47.363;3.721.648;4.171;48.788;9.932.801;10.543;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2015;13.743.280;2.675.362;538.537;10.263.647;135.902;83.510;46.323;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;03/2015;13.253.473;5.124.936;5.609.207;1.284.051;25.706;1.209.573;1;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2015;12.804.609;5.529.484;704.894;491.449;145.801;1.531.687;61;4.401.233
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;03/2015;11.566.643;479.361;269.954;13.061;2.887;10.799.177;2.204;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;03/2015;11.554.411;4.659.227;1.313.138;2.450.746;848.375;2.271.928;10.997;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;03/2015;11.397.208;5.517.672;1.457.102;2.123.044;578.361;1.613.546;93.954;13.529
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;03/2015;10.755.031;5.971.053;773.052;1.508.824;356.518;2.145.353;231;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;03/2015;9.430.148;5.728.060;730.252;1.013.254;306.561;1.258.427;393.592;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;03/2015;9.350.369;5.744.527;762.871;131.606;511.785;2.105.990;93.590;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;03/2015;9.256.382;437.504;8.670.859;70.628;38.996;27.520;10.876;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;03/2015;9.032.218;3.674.068;1.162.171;1.623.239;190.747;1.651.911;28.845;701.237
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;03/2015;8.779.662;6.018.586;409.469;1.432.539;146.720;530.206;242.142;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;03/2015;7.835.063;4.243.567;1.059.830;859.972;616.826;856.306;198.561;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;03/2015;7.654.246;4.222.188;940.687;776.119;216.041;1.458.865;40.345;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;03/2015;6.824.157;2.362.534;248.897;139.033;5.957;176.784;0;3.890.953
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;03/2015;6.704.466;1.599.505;1.707.365;526.802;252.192;2.617.529;1.074;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;03/2015;6.248.433;3.708.985;317.765;296.401;26.220;622.996;287;1.275.778
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;03/2015;5.912.400;734.071;2.866.357;623.817;244.120;1.440.961;3.073;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;03/2015;5.275.499;5.151.505;40.240;58.384;1.237;24.116;17;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;03/2015;4.912.566;1.483.473;972.978;466.305;148.190;1.838.851;2.770;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;03/2015;4.377.011;2.092.997;472.039;587.586;61.670;568.004;20.797;573.918
