Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2014;626.586.512;369.000.077;40.504.512;25.524.336;1.454.190;346.464;105.173.472;0;25.910.516;1.796.418;169.753;0;1.312;2.564.633;2.117.776;52.023.054
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2014;570.362.316;137.425.706;356.072.475;23.461.776;0;317;39.184.356;0;0;674.007;1.407.473;0;79;10.764.510;1.371.617;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2014;513.689.151;240.748.187;34.494.794;12.366.128;1.877.981;6.557.043;28.533.931;6.178;134.701;474.871;235.017;0;10.849;14.381;6.995.960;181.239.129
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2014;376.780.750;176.155.193;35.664.117;34.101.286;5.249;8.370.643;28.661.654;0;615.734;3.108.459;0;0;20.942;0;6.814.753;83.262.720
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2014;309.884.695;76.455.997;16.071;208.332.520;6.380.186;12.134.994;0;4.677.109;0;2.903;1.884.915;0;0;0;0;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2014;234.211.809;144.765.050;40.082.714;3.406.000;52.345;307.315;15.314.622;23.923;0;213.337;212.776;0;24.372;13.580;1.787.545;28.008.230
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2014;65.527.647;29.450.111;6.784.016;562.939;72.738;7.402.367;8.977.738;0;0;141.009;80.569;0;0;2.598.080;1.304.487;8.153.593
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2014;54.433.742;41.868.869;164.865;1.377.453;36.999;2.321.695;5.035.225;12.828;0;0;222.431;0;0;0;399.755;2.993.624
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2014;53.687.855;26.996.378;349.009;1.785.993;0;1.417.276;14.756.551;1.469;0;274.706;3.633;0;6.812;0;10.670;8.085.358
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2014;28.521.196;16.181.335;4.501.986;390.358;0;1.404.432;5.531.081;0;0;37.356;0;0;0;83.792;229.826;161.031
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2014;21.220.174;17.143.499;0;1.460.141;0;0;2.605.629;0;0;0;0;0;0;0;10.904;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2014;16.999.549;2.110.637;0;1.390.242;0;0;6.615.280;0;0;552.314;1.394.226;0;0;0;1;4.936.849
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2014;16.508.042;13.194.217;992.675;0;0;0;1.323.200;0;0;329.974;0;0;0;472.866;195.110;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2014;16.230.515;12.026.599;813.705;170.977;0;35.639;3.081.960;0;0;0;0;0;0;0;101.636;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2014;12.475.260;10.850.090;0;83.790;0;1.251.408;282.006;0;0;0;0;0;0;0;7.967;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2014;12.357.876;10.525.299;0;0;0;22.096;1.311.794;0;197;0;0;0;0;66.058;432.432;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2014;12.339.936;6.708.231;43.997;1.368.334;0;1.567.966;572.978;0;17;1.903.829;0;0;128.066;0;46.518;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2014;11.228.047;3.458.698;1.399;236.734;0;18.686;4.305.731;7.805;0;16.909;27.448;0;0;541.021;19;2.613.597
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2014;10.925.011;10.921.999;0;0;0;0;0;0;0;0;0;0;0;0;3.012;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2014;10.877.303;7.733.279;5.607;2.338.328;0;0;0;0;0;430.741;3.881;0;960;363.960;547;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2014;10.642.586;9.265.478;0;1.377.097;0;0;0;0;0;0;0;0;0;0;11;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2014;9.981.417;8.651.461;0;48.650;0;0;1.090.769;0;0;0;19.002;0;0;2.281;1;169.254
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;09/2014;9.901.431;5.931.064;0;27.464;0;10.271;1.976.154;1.164.062;175.203;0;0;0;1.146;541.079;62.585;12.404
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;09/2014;9.779.580;1.889.635;23.962;0;0;0;6.148.303;0;1.281.558;27.116;0;0;0;0;29.772;379.234
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2014;8.743.728;7.264.857;699.828;102.929;0;655.751;0;0;0;9.016;0;0;0;0;11.347;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2014;8.691.583;7.986.670;33.930;429.267;0;0;162.970;0;0;0;0;0;0;0;78.747;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2014;8.401.127;6.074.058;74.108;0;0;232.215;1.749.171;0;0;0;0;0;0;0;271.575;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2014;8.330.882;5.811.904;0;20.379;0;1.713.948;424.966;0;0;0;0;0;0;5.692;353.994;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;09/2014;7.962.624;5.704.403;0;303.703;0;7.704;1.846.628;0;0;0;0;0;0;62.871;37.315;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;09/2014;6.241.311;536.787;11.614;0;2.678;0;1.483.654;0;0;0;713.891;0;0;0;0;3.492.688
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;09/2014;6.156.653;1.581.542;0;224.186;0;9.869;2.540.306;40.671;0;19.134;314.690;0;0;607.712;723;817.819
