Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2017;1.397.970.583;629.359.375;1.315.061.418;1.096.652.300;82.909.165;2.872.091;4.888;1.301
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2017;1.363.806.932;479.027.592;1.226.823.348;940.233.693;136.983.584;5.813.207;3.370;924
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;09/2017;1.270.960.413;712.065.394;1.240.651.371;1.070.419.337;30.309.042;2.168.451;3.415;814
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2017;1.087.387.783;369.110.465;976.150.174;801.500.171;111.237.610;2.904.352;5.018;1.457
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2017;860.818.301;316.591.795;801.243.415;483.200.285;59.574.886;1.857.470;4;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2017;678.449.536;262.706.773;613.698.081;480.431.700;64.751.455;1.919.239;2.667;1.173
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2017;145.680.173;53.943.699;135.691.385;120.724.553;9.988.787;488.596;111;5
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2017;140.105.094;14.107.236;121.544.412;51.508.100;18.560.681;709.196;11;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2017;99.425.255;46.999.202;90.648.159;65.541.352;8.777.097;153.311;90;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2017;75.171.463;17.253.005;66.434.819;43.470.721;8.736.645;4.443;134;21
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;09/2017;70.836.985;30.491.997;64.108.377;55.692.870;6.728.608;220.456;535;155
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;09/2017;52.067.559;10.729.596;48.580.372;16.286.003;3.487.187;168.258;318;2
