Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;06/2011;772.140.977;326.371.428;717.864.876;603.202.739;54.276.101;6.262.367;5.093;1.586
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2011;753.859.241;135.368.554;710.097.867;623.281.973;43.761.374;2.981.868;3.751;943
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2011;678.526.387;174.555.306;625.683.619;562.813.681;52.842.768;5.487.428;3.727;1.311
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;06/2011;561.570.099;180.857.973;496.204.067;328.600.513;65.366.032;5.279.194;4;0
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;06/2011;460.159.686;208.560.035;441.958.153;387.101.738;18.201.533;2.274.308;2.236;559
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;06/2011;424.418.606;128.099.021;359.718.855;286.804.146;64.699.752;1.817.537;2.425;1.461
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;06/2011;138.939.898;47.307.200;130.712.145;99.925.759;8.227.753;610.720;867;400
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2011;131.888.004;44.359.201;126.006.361;110.513.861;5.881.643;771.303;9;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;06/2011;128.555.630;19.363.572;119.850.084;87.223.232;8.705.546;540.585;32;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;06/2011;104.341.924;60.895.836;87.053.070;55.828.008;17.288.854;933.128;2;0
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;06/2011;100.221.864;6.187.908;69.804.397;58.014.521;30.417.466;1.338.645;1;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;06/2011;86.640.397;30.811.736;80.713.766;68.476.798;5.926.631;584.933;101;8
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;;n1;2;19;SAO PAULO;SP;06/2011;85.113.094;2.978.368;58.507.560;51.770.981;26.605.534;551.384;1;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2011;80.748.878;0;6.262.720;4.012.223;74.486.158;5.769.625;1;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;;n1;2;19;OSASCO;SP;06/2011;74.013.359;6.980.634;64.920.634;60.037.991;9.092.725;392.606;1;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2011;69.265.274;32.469.556;43.941.899;34.533.220;25.323.375;892.996;19;0
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;;n1;3;19;SAO PAULO;SP;06/2011;52.624.974;7.910.189;42.619.748;31.194.470;10.005.226;436.757;1;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;;b1;2;8;RIO DE JANEIRO;RJ;06/2011;48.901.990;5.039.471;43.075.153;36.092.553;5.826.836;434.244;5;0
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;;b1;3;8;SAO PAULO;SP;06/2011;47.980.381;12.557.646;43.752.036;30.517.118;4.228.345;1.033.712;126;9
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;;n1;2;14;SAO PAULO;SP;06/2011;41.328.166;37.010.224;39.895.117;37.203.995;1.433.048;98.185;82;0
BANCO ITAULEASING S.A.;49925225;ITAU;10069;;b2;2;8;SAO PAULO;SP;06/2011;38.210.258;13.309.024;22.382.275;9.017.844;15.827.984;893.594;1;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;;b1;1;8;PORTO ALEGRE;RS;06/2011;35.076.405;18.749.811;30.958.276;23.775.447;4.118.129;438.498;436;241
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS S.A.;33700394;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2011;32.452.974;0;458.867;0;31.994.107;1.094.119;6;0
BV LEASING - ARRENDAMENTO MERCANTIL S.A.;1858774;VOTORANTIM;51011;;n1;2;19;SAO PAULO;SP;06/2011;28.475.136;3.905.813;27.162.113;22.225.362;1.313.023;2.027;1;0
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;;b2;3;13;SAO PAULO;SP;06/2011;27.167.795;211.660;23.892.687;17.805.413;3.275.108;312.693;4;0
BANCO ALVORADA S.A.;33870163;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2011;26.671.305;1.292.655;3.821.880;1.154;22.849.426;1.135.123;2;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;;n1;3;14;SAO PAULO;SP;06/2011;24.828.605;18.980.997;23.786.190;23.160.252;1.042.414;99.704;111;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;;b1;1;8;FORTALEZA;CE;06/2011;24.803.163;11.026.191;22.497.469;12.479.104;2.305.693;300.693;185;4
