Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;06/2014;1.267.430.066;628.565.221;1.197.386.420;1.003.843.661;70.043.646;5.706.040;118.042.870;14,19%;22,55%;5.492;1.547
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2014;1.029.025.053;414.857.698;935.620.102;728.554.707;93.404.950;8.317.679;120.033.872;16,02%;48,41%;3.978;891
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2014;963.315.687;552.108.104;935.071.167;826.323.004;28.244.519;3.389.467;68.203.567;13,26%;14,41%;3.343;771
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2014;803.213.959;293.238.497;759.621.967;513.413.424;43.591.992;5.471.485;110.893.113;18,67%;36,31%;4;0
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2014;793.507.842;328.261.376;716.543.442;605.738.519;76.964.400;7.234.300;94.090.130;15,77%;46,75%;4.698;1.279
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;06/2014;502.784.192;226.174.592;443.822.723;330.361.107;58.961.469;1.092.942;64.379.369;17,90%;26,67%;2.736;1.214
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2014;163.277.372;64.002.665;153.261.413;106.779.487;10.015.959;-16.296;13.753.011;13,04%;24,46%;856;429
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2014;133.137.729;54.141.772;125.027.992;105.567.295;8.109.737;716.952;10.063.256;12,55%;22,50%;106;8
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2014;117.004.288;14.838.322;103.579.171;75.157.665;13.425.118;1.806.774;17.287.190;15,97%;49,49%;13;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2014;97.325.670;52.956.622;89.739.094;60.829.670;7.586.576;292.437;11.052.446;15,12%;3,44%;114;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2014;56.926.803;28.062.429;51.654.369;43.904.387;5.272.433;227.884;6.663.220;16,54%;10,08%;523;210
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2014;53.366.415;16.434.887;46.277.391;25.294.015;7.089.024;107.412;6.984.735;15,23%;10,43%;134;19
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2014;36.407.176;11.704.512;33.192.954;16.612.484;3.214.222;326.012;5.617.099;16,39%;3,76%;272;5
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2014;28.039.962;1.389.678;24.325.738;12.008.179;3.714.224;141.531;3.537.917;20,30%;3,03%;8;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2014;27.550.782;2.302.716;25.918.111;6.365.530;1.632.671;9.926;1.632.671;16,26%;2,18%;3;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2014;26.917.656;4.260.941;23.553.708;16.827.721;3.363.948;50.072;4.000.167;15,02%;26,71%;10;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;06/2014;26.308.516;10.899.153;25.277.899;24.783.245;1.030.617;35.954;966.424;15,90%;12,04%;5;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;06/2014;26.002.704;22.304.560;23.657.546;18.230.222;2.345.158;134.464;3.231.328;13,94%;4,81%;1;0
PAN;31323;b1;;C;2;SAO PAULO;SP;06/2014;22.829.623;15.836.656;20.469.538;17.290.978;2.360.084;-172.444;2.203.552;11,50%;49,72%;4;0
BMG;30290;b1;;C;2;SAO PAULO;SP;06/2014;22.140.430;14.650.840;18.677.141;10.813.109;3.463.289;147.276;3.319.075;15,59%;37,65%;23;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;06/2014;21.720.124;7.991.489;21.056.456;19.190.970;663.669;43.086;663.408;13,02%;10,80%;4;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;06/2014;21.676.699;8.438.299;18.897.431;10.953.729;2.779.268;58.482;2.805.650;14,61%;3,00%;13;1
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;06/2014;18.234.797;10.325.334;16.203.397;13.314.924;2.031.400;150.474;2.693.222;13,98%;3,65%;6;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;06/2014;16.085.653;9.460.350;13.583.065;12.022.107;2.502.588;132.629;2.502.588;15,95%;8,59%;39;0
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2014;15.102.347;10.510.757;13.280.959;11.210.522;1.821.388;-143.191;2.521.718;16,51%;7,76%;37;0
BANESTES;30159;b1;;C;1;VITORIA;ES;06/2014;14.809.735;4.315.366;13.793.692;13.022.176;1.016.043;67.780;1.013.201;15,24%;20,01%;134;28
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;06/2014;14.310.383;9.397.680;13.061.522;11.004.608;1.248.861;71.175;1.898.906;14,76%;1,79%;17;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;06/2014;13.717.676;10.971.892;12.269.742;4.865.309;1.447.934;3.695;1.357.289;11,86%;8,97%;1;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2014;13.397.938;7.754.283;11.340.596;10.751.151;2.057.341;56.896;2.028.905;19,48%;11,43%;51;1
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2014;13.176.590;8.545.612;12.376.789;9.559.106;799.800;-92.622;1.235.279;12,26%;20,83%;192;3
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;06/2014;12.382.026;10.516.793;10.584.397;10.098.088;1.797.629;124.373;1.455.911;13,43%;1,60%;3;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;06/2014;12.163.343;0;10.217.011;7.540.767;1.946.333;102.393;1.906.623;26,21%;0,99%;2;0
BRB;31976;b1;;C;1;BRASILIA;DF;06/2014;11.944.785;8.533.103;10.818.182;9.353.059;1.126.603;82.644;1.324.976;13,24%;18,74%;115;7
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;06/2014;11.847.033;2.717.947;10.170.790;4.330.492;1.676.243;60.112;1.609.259;12,73%;14,51%;123;4
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;06/2014;11.007.939;10.548.560;9.645.462;8.759.725;1.362.478;72.569;1.513.923;13,59%;0,31%;2;0
PINE;50304;b1;;C;2;SAO PAULO;SP;06/2014;10.655.904;6.545.967;9.385.975;8.132.182;1.269.928;70.468;1.407.620;13,66%;2,23%;12;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;06/2014;10.038.034;3.114.435;9.008.692;3.750.402;1.029.341;18.632;1.018.786;18,02%;4,37%;5;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;06/2014;8.358.390;298;7.788.127;1.925.833;570.263;32.468;565.913;28,73%;7,00%;1;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;06/2014;8.049.003;328.668;6.719.001;1.904.303;1.330.002;51.668;1.364.894;34,70%;2,51%;2;0
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;06/2014;7.639.439;4.451.426;6.572.370;5.876.301;1.067.069;-151.811;845.839;13,68%;11,95%;10;0
BES;51482;b2;;C;3;SAO PAULO;SP;06/2014;7.406.381;1.710.763;6.727.082;6.017.151;679.300;25.102;660.593;14,43%;8,68%;6;0
