Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2015;663.815.559;354.858.595;82.087.760;103.920.239;21.733.707;4.915.439;10.813.228;4.194.118;2.773.139;14.589.628;63.929.706
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2015;621.151.936;250.007.625;164.754.354;77.378.171;74.390.155;25.098.593;7.267.218;3.323.761;2.608.210;16.323.849;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2015;574.664.447;152.781.674;126.144.687;24.840.348;13.845.997;7.614.629;3.175.981;2.990.030;3.330.225;11.498.965;228.441.911
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2015;405.978.349;40.804.431;127.123.126;63.367.168;44.565.970;6.283.152;3.734.911;2.427.168;2.031.218;10.940.718;104.700.489
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2015;353.057.765;84.742.453;162.791.999;93.357.995;10.504.249;849.021;463.918;46.492;1.132;300.506;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2015;257.968.170;84.536.853;83.274.878;17.739.691;10.786.632;7.428.307;3.325.365;1.967.190;1.809.536;6.588.310;40.511.408
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2015;67.511.223;27.133.595;17.851.634;6.095.802;968.547;591.314;425.457;676.378;502.924;2.493.650;10.771.922
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2015;55.983.379;29.648.217;7.719.195;3.233.384;1.218.454;244.130;197.586;146.311;74.470;742.383;12.759.249
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2015;55.585.696;2.714.517;26.092.051;9.350.982;8.309.210;1.113.963;768.874;385.438;1.391.061;1.733.110;3.726.489
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2015;29.820.160;5.431.765;13.409.514;6.016.482;1.968.381;1.045.145;283.731;170.278;163.726;1.097.232;233.906
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2015;21.243.745;434.668;15.133.237;2.604.865;1.490.963;619.878;365.671;126.900;65.917;401.647;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2015;18.452.767;2.213.016;4.282.673;2.381.366;930.334;353.603;1.192.785;0;38.465;148.867;6.911.659
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2015;17.889.473;0;12.286.995;2.716.630;1.251.940;561.050;239.918;179.655;133.595;519.690;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2015;17.457.986;5.319.802;7.256.122;1.890.663;682.775;951.239;123.906;274.547;109.161;849.772;0
