Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2018;1.448.975.163;633.371.568;1.356.754.916;1.139.026.799;92.220.247;5.961.520;4.769;1.248
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2018;1.387.554.281;530.611.640;1.251.685.528;965.282.128;135.868.753;10.128.205;3.391;993
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;06/2018;1.272.432.907;695.321.521;1.232.307.610;1.054.728.089;40.125.297;5.832.657;3.389;798
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2018;1.071.374.455;390.580.503;957.477.913;786.597.813;113.896.542;9.035.428;4.744;1.479
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;06/2018;836.205.929;298.905.251;764.718.718;442.032.025;71.487.211;4.760.493;5;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2018;728.556.661;290.116.913;662.859.704;522.624.522;65.696.957;5.951.379;2.685;1.236
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2018;172.156.201;18.666.840;152.990.876;82.301.730;19.165.324;224.804;15;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2018;161.010.964;64.283.151;150.535.923;132.639.978;10.475.041;1.057.892;115;5
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2018;98.155.022;49.016.418;88.806.448;64.928.480;9.348.574;511.039;92;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;06/2018;79.355.688;0;69.229.677;6.599.348;10.126.011;1.641.639;0;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;06/2018;74.737.818;32.007.012;67.705.640;58.364.503;7.032.178;505.921;540;146
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;06/2018;73.892.295;10.249.989;65.370.686;35.791.418;8.521.608;590.026;133;22
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;06/2018;60.883.653;0;44.580.362;0;16.303.291;275.346;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;06/2018;57.826.144;10.446.096;54.053.759;17.206.600;3.772.385;231.818;309;2
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;06/2018;50.488.561;16.138.462;47.113.673;21.445.472;3.374.888;94.179;7;0
