Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;12/2005;31.691.712;32.844.214;895.536;42.904.633;15.482.206;123.818.301;30.237.091;0;0;0;0;0;0;25.335.791;179.391.182;575.384;43.644.539;223.611.104;118.408;16.849.764;240.579.276
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;12/2005;6.926.048;53.280.825;26.073;38.736.306;7.930.337;106.899.588;32.312.027;0;0;0;0;9.994.491;9.994.491;12.428.902;161.635.008;157.427;18.933.284;180.725.719;0;7.951.942;188.677.661
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;12/2005;15.794.875;26.201.464;22.855.184;30.435.546;266.321;95.553.390;24.477.786;0;0;0;1.904.615;827.321;2.731.937;15.317.826;138.080.939;180.438;15.047.659;153.309.037;3.183;19.409.274;172.721.494
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;12/2005;463.381;0;0;0;20.773.801;21.237.183;0;0;0;0;0;0;0;39.864.608;61.101.791;126.985;94.487.744;155.716.520;0;15.710.880;171.427.399
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2005;11.459.257;19.515.934;41.462.122;11.766.933;437.171;84.641.418;23.168.991;0;0;0;1.363.798;0;1.363.798;2.261.312;111.435.518;1.066.362;15.048.380;127.550.261;5.969;7.830.130;135.386.359
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;12/2005;3.332.632;5.172.306;5.103.262;25.940.762;1.731;39.550.693;9.283.504;0;0;0;2.458.925;515.043;2.973.969;7.923.349;59.731.515;626.581;5.767.969;66.126.065;11.866;9.323.633;75.461.564
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;12/2005;4.579.503;5.846.293;5.559.997;26.742.842;43.639;42.772.274;3.393.813;0;0;0;4.176.323;363.669;4.539.993;3.432.933;54.139.013;1.025.553;6.660.460;61.825.026;7.359;8.666.092;70.498.476
BANCO SANTANDER BRASIL S.A.;61472676;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2005;788.405;359.842;7.967.798;13.638.283;22.937;22.777.265;18.898.418;0;0;0;286.016;0;286.016;3.301.213;45.262.913;1.125.885;4.534.633;50.923.430;23.639;1.357.319;52.304.389
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;12/2005;3.992.192;1.641.167;1.781.540;22.851.970;22.970;30.289.839;5.415.049;0;0;0;0;0;0;2.755.858;38.460.747;908.249;4.575.287;43.944.283;10.147;3.371.203;47.325.633
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;12/2005;1.194.205;462.923;4.604.180;7.839.776;13.213;14.114.298;11.140.563;0;0;0;735.370;26.703;762.073;2.761.726;28.778.659;4.554.884;3.260.878;36.594.421;11.322;3.665.165;40.270.908
CIA ITAULEASING DE ARRENDAMENTO MERCANTIL;49925225;ITAU;10069;;n1;2;19;SAO PAULO;SP;12/2005;0;0;0;0;0;0;0;0;0;0;0;15.351.948;15.351.948;0;15.351.948;533.496;7.994.400;23.879.844;7.675;15.875.828;39.763.347
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;12/2005;18.130;0;1.167.378;15.304.179;259;16.489.945;10.127.700;0;0;0;261.623;0;261.623;2.653.670;29.532.938;4.370.079;1.680.387;35.583.404;18.324;4.034.887;39.636.615
BANCO DO ESTADO DE SÃO PAULO S.A. - BANESPA;61411633;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2005;2.976.240;3.823.427;336.554;4.861.305;79.078;12.076.603;8.287.116;0;0;0;1.404.080;0;1.404.080;1.301.028;23.068.827;108.274;9.975.139;33.152.240;13.625;4.794.632;37.960.497
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2005;28.733;0;13.496.096;690.941;1.471;14.217.240;2.910.036;0;0;0;2.916.637;0;2.916.637;5.555.275;25.599.188;1.365.890;3.256.508;30.221.586;9.458;4.540.149;34.771.193
BANCO NOSSA CAIXA S.A.;43073394;;;;b1;1;8;SAO PAULO;SP;12/2005;1.886.762;7.830.211;0;14.946.411;26.914;24.690.298;2.645.921;0;0;0;238.633;23.270;261.903;365.891;27.964.013;0;3.156.060;31.120.074;37;2.298.707;33.418.818
BANKBOSTON BANCO MULTIPLO S.A.;60394079;BANKBOSTON;30300;;b1;3;8;SAO PAULO;SP;12/2005;1.537.667;912.138;1.954.444;1.390.536;96.365;5.891.150;5.303.067;0;0;0;0;0;0;2.979.199;14.173.416;467.179;5.126.406;19.767.001;4.598;1.742.948;21.514.548
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;;b1;3;8;SAO PAULO;SP;12/2005;1.387.371;125.247;1.720.468;4.161.107;24.612;7.418.805;1.052.908;0;0;0;0;0;0;1.543.152;10.014.864;1.392.294;7.028.191;18.435.349;34.643;1.737.148;20.207.140
BANCO PACTUAL S.A.;30306294;PACTUAL;49944;;b1;2;8;RIO DE JANEIRO;RJ;12/2005;97.844;0;60.306;1.224.911;1.323;1.384.383;15.925.714;0;0;0;0;0;0;224.983;17.535.081;355.885;1.313.585;19.204.551;674;625.223;19.830.448
ITAUCARD FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;17192451;ITAU;10069;;n1;2;14;SAO PAULO;SP;12/2005;0;0;8.723.500;0;0;8.723.500;0;0;0;0;0;0;0;0;8.723.500;0;3.163.600;11.887.099;0;7.686.022;19.573.121
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;;n1;2;19;OSASCO;SP;12/2005;0;0;0;0;0;0;0;0;0;0;0;14.797.665;14.797.665;184.869;14.982.534;1.132;1.973.865;16.957.532;0;2.180.990;19.138.522
BANCO FINASA S.A.;57561615;BRADESCO;10045;;b1;2;8;OSASCO;SP;12/2005;11;0;16.406.301;233;0;16.406.544;0;0;0;0;0;0;0;7.079;16.413.623;31.201;522.394;16.967.218;43.142;924.210;17.934.570
BANCO ITAÚ HOLDING FINANCEIRA S.A.;60872504;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.778;1.421.026;1.437.804;0;16.420.562;17.858.366
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;;b1;1;8;PORTO ALEGRE;RS;12/2005;1.053.913;3.553.486;95.168;4.174.656;20.091;8.897.314;1.852.815;0;0;0;0;0;0;778.151;11.528.280;5.209;1.638.864;13.172.354;558;1.143.179;14.316.091
BANCO SUDAMERIS BRASIL S.A.;60942638;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;12/2005;746.092;1.083.873;3.091.094;4.588.096;87.869;9.597.025;424.638;0;0;0;0;0;0;1.036.965;11.058.629;55.797;1.318.603;12.433.028;713;1.635.825;14.069.567
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;;b1;1;8;FORTALEZA;CE;12/2005;56.148;447.289;91.560;721.794;1.196.460;2.513.251;366.504;0;0;0;0;0;0;2.532.676;5.412.431;0;5.795.962;11.208.392;1.895;1.380.795;12.591.082
BANCO BBM S/A;15114366;BBM;30207;;b1;2;8;SALVADOR;BA;12/2005;66.898;0;288.260;1.178.384;257;1.533.800;6.406.954;0;0;0;0;0;0;861.456;8.802.211;14.189;1.501.375;10.317.775;154;500.305;10.818.234
SAFRA LEASING S/A ARRENDAMENTO MERCANTIL;62063177;SAFRA;10083;;n1;2;19;SAO PAULO;SP;12/2005;0;0;0;0;0;0;0;0;0;0;0;5.459.893;5.459.893;425.407;5.885.300;0;3.595.567;9.480.868;0;1.190.135;10.671.003
BANCO DE INVESTIMENTOS CREDIT SUISSE FIRST BOSTON S.A.;33987793;CREDIT SUISSE;30771;;b2;3;13;SAO PAULO;SP;12/2005;0;0;290.562;1.144.407;0;1.434.969;6.167.985;0;0;0;136.859;0;136.859;126.201;7.866.013;135.260;836.970;8.838.243;62;860.457;9.698.762
BANCO FIBRA S.A.;58616418;FIBRA;49951;;b1;2;8;SAO PAULO;SP;12/2005;47.800;0;419.851;908.378;356;1.376.386;6.864.500;0;0;0;0;0;0;576.424;8.817.311;46.987;164.278;9.028.576;2.317;397.324;9.428.217
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;;b1;3;8;SAO PAULO;SP;12/2005;253.115;0;292.079;560.138;3;1.105.335;1.653.426;0;0;0;0;0;0;1.399.608;4.158.368;2.388.102;1.347.495;7.893.965;818;1.169.152;9.063.935
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;;n1;2;14;SAO PAULO;SP;12/2005;0;0;7.393.526;0;0;7.393.526;0;0;0;0;0;0;0;0;7.393.526;994;386.261;7.780.781;0;892.392;8.673.173
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;;b2;2;13;SAO PAULO;SP;12/2005;29;0;408.620;3.028.196;0;3.436.845;2.142.480;0;0;0;187.710;0;187.710;926.565;6.693.600;418.499;482.559;7.594.657;711;691.709;8.287.077
BANCO BANESTADO S.A.;76492172;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.277;230.634;255.911;0;8.019.290;8.275.201
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;;b1;2;8;SAO PAULO;SP;12/2005;95.544;0;166.263;1.057.432;87;1.319.326;4.477.136;0;0;0;450.411;0;450.411;0;6.246.873;601.817;65.327;6.914.016;1.896;286.826;7.202.738
CREDICARD BANCO S.A.;34098442;;;;b2;3;8;SAO PAULO;SP;12/2005;0;0;1.176.763;0;0;1.176.763;0;0;0;0;0;0;0;30.894;1.207.657;0;5.455.942;6.663.600;0;534.094;7.197.694
DEUTSCHE BANK S.A.BANCO ALEMAO;62331228;DEUTSCHE;51183;;b1;3;8;SAO PAULO;SP;12/2005;17.779;0;0;509.212;0;526.991;143.068;0;0;0;0;0;0;1.269.918;1.939.977;552.396;4.082.390;6.574.762;933;575.766;7.151.461
BANCO SANTANDER S.A.;33517640;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2005;0;0;602.363;0;0;602.363;0;0;0;0;749.394;0;749.394;4.009;1.355.766;625;1.237.439;2.593.830;5;4.517.644;7.111.479
BANCO INDUSTRIAL E COMERCIAL S.A.;7450604;BIC;32119;;b1;2;8;SAO PAULO;SP;12/2005;36.310;74.459;50.658;1.748.333;86;1.909.845;3.042.138;0;0;0;166.985;0;166.985;949.824;6.068.792;36.263;206.325;6.311.381;41.286;505.476;6.858.143
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;UNIBANCO;10100;;n1;2;19;SAO PAULO;SP;12/2005;0;0;154.482;0;0;154.482;0;0;0;0;62.098;5.313.152;5.375.250;113.216;5.642.947;14.901;589.467;6.247.315;0;236.836;6.484.150
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;;b1;3;8;SAO PAULO;SP;12/2005;10.681;0;19.300;1.376.799;2.011;1.408.791;690.876;0;0;0;138.365;0;138.365;703.626;2.941.657;346.690;1.878.782;5.167.129;1.969;591.414;5.760.512
CITIBANK N.A.;33042953;CITIBANK;30403;;b1;3;28;SAO PAULO;SP;12/2005;0;0;281.421;9.012;0;290.432;0;0;0;0;0;0;0;1.648.667;1.939.099;127.043;3.428.680;5.494.822;4.369;178.772;5.677.963
BANCO ALVORADA S.A.;33870163;BRADESCO;10045;;b1;2;8;OSASCO;SP;12/2005;0;0;0;0;0;0;398.436;0;0;0;0;0;0;10.694;409.130;0;941.292;1.350.422;0;4.221.504;5.571.926
BANCO SANTANDER MERIDIONAL S.A.;90400888;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2005;218.949;619.265;451.772;689.543;11.652;1.991.181;693.131;0;0;0;0;0;0;303.721;2.988.032;26.731;506.181;3.520.944;256;1.729.627;5.250.826
BANCO VOLKSWAGEN S.A.;59109165;VOLKSWAGEN;30764;;b2;3;8;SAO PAULO;SP;12/2005;0;0;2.352.025;524.701;0;2.876.725;0;0;0;0;0;0;0;1.441.948;4.318.673;0;307.559;4.626.232;30.837;569.866;5.226.935
BANCO DA AMAZONIA S.A.;4902979;;;;b1;1;2;BELEM;PA;12/2005;245.158;149.329;0;388.882;42.949;826.317;57.711;0;0;0;0;0;0;397.442;1.281.470;0;1.527.260;2.808.730;0;1.630.875;4.439.604
BANCO DE PERNAMBUCO S.A. - BANDEPE;10866788;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;12/2005;195.001;344.025;92.276;418.734;4.591;1.054.626;41.142;0;0;0;0;0;0;2.301;1.098.070;12.726;303.030;1.413.826;0;2.918.764;4.332.590
UNICARD BANCO MÚLTIPLO S.A.;61071387;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;12/2005;0;0;857.693;0;0;857.693;0;0;0;0;241.196;0;241.196;17.992;1.116.881;0;2.071.158;3.188.038;0;1.075.586;4.263.624
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;;b1;2;8;BELO HORIZONTE;MG;12/2005;360.748;185.335;4.387;1.857.590;1.555;2.409.614;714.706;0;0;0;249.875;0;249.875;153.859;3.528.054;25.816;214.461;3.768.331;1.637;472.759;4.242.727
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;;b1;1;8;VITORIA;ES;12/2005;480.485;830.493;13.598;1.117.211;279;2.442.066;918.891;0;0;0;0;100.122;100.122;100.882;3.561.961;67;216.662;3.778.690;1.421;203.983;3.984.094
BANCO BMG S.A.;61186680;BMG;30290;;b1;2;8;BELO HORIZONTE;MG;12/2005;4.376;0;79.119;655.240;0;738.735;145.007;0;0;0;1.459.310;0;1.459.310;103.176;2.446.227;91.566;625.793;3.163.586;0;803.703;3.967.289
BANCO CNH CAPITAL S.A.;2992446;;;;b2;3;8;CURITIBA;PR;12/2005;0;0;4.378;184.378;0;188.757;0;0;0;0;0;0;0;2.881.992;3.070.748;0;66.609;3.137.357;88.726;545.384;3.771.467
BANCO MERCANTIL DE SÃO PAULO S.A.;61065421;BRADESCO;10045;;b1;2;8;OSASCO;SP;12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173.698;173.698;0;3.554.585;3.728.283
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;;;;b4;1;5;PORTO ALEGRE;RS;12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0;2.671.245;2.671.245;0;213.801;2.885.046;0;719.475;3.604.520
BANCO FININVEST S.A.;33098518;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;12/2005;213;0;1.805.175;0;0;1.805.388;0;0;0;0;0;0;0;540;1.805.928;223;1.048.518;2.854.669;0;716.776;3.571.445
