Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2017;693.870.303;127.893.594;482.476.910;29.892.774;0;22;38.427.996;0;0;508.016;4.388.331;0;0;10.214.455;68.205;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2017;620.655.660;363.395.590;60.817.034;17.903.919;110.097;16.173;98.638.820;0;35.999.641;2.022.091;254.809;0;0;4.541.018;91.327;36.865.139
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2017;534.235.134;225.445.305;46.550.153;10.307.359;814.076;6.675.178;26.796.204;1.189;689.687;444.601;90.288;0;0;5.131;378.943;216.037.022
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2017;407.151.562;198.866.042;54.321.201;23.137.868;14.940;11.821.847;36.930.343;170.657;325.944;3.578.002;0;0;24.565;0;494.206;77.465.948
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2017;306.014.660;55.133.329;29.933;210.823.152;6.917.452;9.492.868;2.408.734;11.388.207;0;17.837;9.803.150;0;0;0;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2017;271.536.486;176.743.715;40.950.903;8.833.297;1.866;176.122;21.098.477;1.254.664;0;386.073;449.831;0;3.501;59.604;118.275;21.460.158
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2017;59.808.565;30.158.346;331.365;2.853.319;0;1.586.797;14.482.366;332.335;0;61.440;310;0;6.413;0;565;9.995.308
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2017;48.277.609;39.712.030;701.962;978.039;56.306;881.127;4.010.296;143.028;0;965;97.186;0;0;0;8.727;1.687.942
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2017;30.598.966;20.525.947;5.390.388;273.005;0;919.979;3.316.300;0;0;44.352;0;0;0;0;17.405;111.591
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2017;18.366.872;16.237.585;386.731;0;0;0;1.224.152;0;0;340.792;96.714;0;0;74.841;6.057;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2017;16.913.285;14.149.302;150.977;218.047;0;0;2.392.268;0;0;0;0;0;0;2.690;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2017;15.815.812;11.107.357;0;55.611;0;2.803.571;1.828.417;0;0;0;0;0;0;2.425;18.432;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2017;15.161.971;11.596.525;2.948;177.922;0;234.229;1.711.839;472.634;219.295;175;7.316;0;3.643;614.765;2.047;118.635
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2017;13.976.680;9.305.761;34.634;3.344.146;0;0;0;491.981;0;507.208;0;0;338;292.606;6;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2017;13.879.572;1.299.248;59.573;2.499.394;28.602;0;4.200.931;0;0;79.158;244.092;0;0;83.787;0;5.384.788
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2017;13.068.585;9.351.690;0;1.608.137;0;0;2.020.797;0;0;0;0;0;0;87.892;70;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2017;12.968.703;2.875.428;0;594.500;0;2.818;6.354.441;63.605;0;0;22.819;0;0;426.898;2;2.628.191
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2017;10.958.079;6.020.621;33.799;1.065.604;0;1.517.966;909.176;0;20;1.386.206;0;0;24.221;0;464;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2017;10.875.422;6.903.862;0;442.388;0;0;3.479.936;49.234;0;0;0;0;0;0;1;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2017;9.111.407;9.111.406;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2017;8.709.674;7.603.420;0;321.685;0;390.886;393.504;0;0;0;0;0;0;0;180;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2017;8.626.053;7.454.270;987.741;58.779;0;113.921;0;0;0;11.085;0;0;0;0;230;27
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2017;8.483.361;7.838.430;0;2.925;0;25.794;608.257;0;0;0;0;0;0;4.024;3.931;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2017;7.964.631;5.502.929;0;1.970.966;0;0;0;490.736;0;0;0;0;0;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2017;7.718.190;5.630.189;0;622.038;0;3.870;1.294.404;166.971;0;0;0;0;0;0;719;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2017;7.692.439;7.257.407;0;431.055;0;0;0;3.976;0;0;0;0;0;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2017;7.116.123;2.867.523;16.297;0;0;0;671.123;0;807.374;14.177;0;0;0;0;395;2.739.234
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;12/2017;7.002.638;6.527.774;0;156.308;285.627;0;0;32.928;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2017;6.287.808;6.261.179;0;0;0;0;0;0;0;0;0;0;0;0;26.629;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2017;6.059.712;6.050.759;0;0;0;0;0;0;0;0;0;0;0;0;8.953;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2017;6.054.126;2.085.661;133.586;1.582.336;0;64;28.335;528.001;12.933;192.374;448.132;0;12.183;1.030.521;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2017;6.011.006;4.810.779;140.145;0;0;278.529;769.555;0;0;3.880;0;0;0;0;8.120;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2017;5.772.820;5.359.875;0;219.385;0;0;186.221;0;0;0;0;0;0;0;7.339;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2017;4.994.797;3.191.311;0;0;0;0;1.107.927;0;0;3.051;0;0;0;654.939;1.385;36.184
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2017;4.942.134;4.826.791;0;48.436;0;0;54.775;12.131;0;0;0;0;0;0;0;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;12/2017;4.800.301;488.483;0;0;63.313;0;1.605.216;0;0;0;1.214.392;0;0;0;0;1.428.897
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;12/2017;4.787.413;4.764.324;0;0;0;0;23.089;0;0;0;0;0;0;0;0;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2017;4.064.858;1.379.868;13.360;32.447;0;25.722;1.625.394;0;0;0;299.437;0;0;407.195;0;281.434
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2017;3.933.221;2.320.972;453.200;34.463;0;2.631;940.036;0;0;12.633;0;0;0;167.668;1.616;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2017;3.929.767;1.651.737;0;0;0;334.773;1.262.244;0;0;0;0;0;0;0;63;680.952
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;12/2017;3.837.011;3.832.094;0;0;0;561;0;0;0;4.137;0;0;0;0;220;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;12/2017;3.681.058;3.568.088;0;0;0;2.821;64.753;5.184;0;33.754;0;0;0;2.306;4.153;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2017;3.450.456;3.450.351;0;0;0;105;0;0;0;0;0;0;0;0;0;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;12/2017;3.389.105;3.389.029;0;0;0;0;0;0;0;0;0;0;0;0;76;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2017;3.337.829;3.203.520;0;0;0;0;0;0;0;0;0;0;0;0;134.310;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2017;3.031.645;381.590;0;0;0;798;1.766.497;0;0;167;3.630;0;0;544.091;3;334.870
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2017;2.739.098;543.011;0;802;0;0;2.023.735;0;0;20.382;4.266;0;0;146.893;9;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;12/2017;2.707.772;1.905.228;4.037;2;0;0;798.482;0;0;0;0;0;0;0;24;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;12/2017;2.595.829;643.169;0;0;0;0;1.944.453;0;0;0;0;0;0;8.206;0;0
INTERMEDIUM;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;12/2017;2.593.124;1.091.761;122.846;2.001;0;1.375.198;0;0;0;0;0;0;0;0;1.318;0
