Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2009;11.967.411;743.544;14.217.915;4.710.414;0;243.554;31.882.838;-19.474.973;-362.720;-568.916;-173.765;-4.177.128;-24.757.502;7.125.337;1.440.792;1.159.077;-2.268.052;-3.951.643;-809.838;-142.059;3.807.301;-3.570.149;-4.334.570;2.790.767;549.820;3.340.587;-908.493;-769.258;1.662.835;0
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2009;12.651.906;1.693.508;11.805.581;2.197.079;716.699;284.150;29.348.922;-16.841.783;-872.369;-1.334.389;0;-5.574.297;-24.622.838;4.726.084;1.868.526;1.092.319;-2.886.856;-3.527.440;-826.589;3.582.411;3.331.402;-3.276.207;-642.434;4.083.650;-22.444;4.061.206;-40.853;0;4.020.352;-1.120.287
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;06/2009;16.851.025;25.521;10.229.575;-562.101;113.773;324.186;26.981.979;-13.710.242;-1.078.094;-22.327;0;-6.148.139;-20.958.803;6.023.177;3.452.780;1.403.898;-5.008.541;-4.209.778;-1.165.511;992.325;6.082.640;-3.767.390;-2.219.577;3.803.600;27.843;3.831.443;694.792;-512.673;4.013.563;-903.854
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;06/2009;6.723.597;0;9.813.652;-387.391;0;1.554.265;17.704.123;-8.885.480;-1.354.959;0;-2.449;-1.547.633;-11.790.520;5.913.602;3.653.609;352.813;-4.343.368;-2.307.872;-571.252;171.156;1.625.067;-3.277.560;-4.697.406;1.216.196;-75.143;1.141.053;111.548;-95.079;1.157.522;-380.314
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;06/2009;7.817.867;235.537;7.279.281;1.050.374;0;105.367;16.488.426;-8.034.628;-436.834;-170.349;-157.537;-3.218.055;-12.017.403;4.471.022;1.720.846;616.429;-1.551.291;-3.007.904;-715.497;513.279;2.678.549;-4.551.257;-4.296.847;174.176;1.021.952;1.196.128;119.065;-312.657;1.002.536;-625.000
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;06/2009;4.244.959;1.262.002;2.114.362;386.851;181.112;17.736;8.207.022;-3.380.770;-166.097;-951.784;0;-1.615.886;-6.114.536;2.092.486;633.372;337.669;-898.658;-1.712.749;-272.853;168.622;492.474;-426.996;-1.679.118;413.368;23.157;436.525;-26.552;-160.211;249.761;0
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2009;1.639.604;603.179;3.750.785;1.814.158;0;0;7.807.726;-4.491.840;-265.489;-426.697;-700.793;163.765;-5.721.053;2.086.673;175.120;12.175;-163.365;-317.388;-172.809;-648.163;2.451.575;-1.174.706;162.439;2.249.112;6.331;2.255.444;-973.375;-200.036;1.082.033;-168.370
BANCO FINASA BMC S.A.;7207996;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2009;2.379.373;3.000.984;1.570.807;16.782;0;0;6.967.946;-2.157.643;0;-2.246.391;0;-1.208.732;-5.612.766;1.355.180;27.457;3.442;-34.055;-147.715;-23.589;19.562;84.580;-608.937;-679.256;675.925;-175.978;499.947;-167.907;0;332.040;0
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;06/2009;43;3.991.034;1.800.499;0;0;0;5.791.576;-2.028.509;0;-2.925.440;0;-160.777;-5.114.726;676.850;27.251;67.767;-65;-130.310;-4.438;364.228;60.423;-7.611;377.243;1.054.092;57.571;1.111.663;-298.977;0;812.686;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;06/2009;2.725.887;2.471.363;447.007;8.666;65;0;5.652.987;-1.150.551;-21.431;-2.044.284;0;-1.540.594;-4.756.861;896.127;1.328.707;64.265;-8.103;-1.686.765;-194.599;665.039;184.668;-773.318;-420.106;476.020;219.065;695.085;36.143;-1.196;730.032;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;06/2009;3.931.198;0;1.446.712;-36.710;0;0;5.341.201;-1.270.701;-4.717.326;0;-100.906;-1.167.907;-7.256.840;-1.915.640;43.311;0;-289.602;-113.782;-124.228;777.598;6.063.002;-3.095.808;3.260.491;1.344.851;-4.057;1.340.794;-619.510;-19.168;702.116;0
BANCO ITAULEASING S.A.;49925225;ITAU;10069;;b2;2;8;SAO PAULO;SP;06/2009;89.659;4.280.229;900.598;0;0;0;5.270.487;-560.553;-3.089;-3.409.123;0;-601.685;-4.574.449;696.038;11.289;1.787;-2.280;-133.967;-31.282;53.237;50.473;-73.985;-124.729;571.309;178.392;749.701;-341.135;-253;408.313;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;;n1;2;19;OSASCO;SP;06/2009;5.418;2.017.335;2.171.077;0;0;0;4.193.829;-2.276.700;-26.195;-1.503.441;0;-161.912;-3.968.249;225.580;6.327;0;-122;-9.053;-21.965;1.100;33.162;-29.216;-19.767;205.814;-6.436;199.378;-80.841;0;118.537;0
