Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2018;40.788.539;130.087.694
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2018;33.929.047;107.990.545
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2018;17.467.437;39.363.473
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2018;16.935.249;43.260.870
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2018;13.829.820;39.124.449
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;09/2018;7.475.203;27.968.243
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;09/2018;4.902.159;10.694.906
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;09/2018;4.293.867;7.568.380
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2018;4.015.725;5.753.793
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2018;3.792.789;8.104.018
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;09/2018;3.707.961;5.279.070
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;09/2018;3.009.258;6.153.372
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2018;3.000.507;8.833.974
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2018;2.586.757;11.590.510
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;09/2018;2.219.466;72.018.493
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;09/2018;1.514.046;3.188.679
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;09/2018;1.489.111;1.809.378
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;09/2018;1.450.033;2.314.318
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2018;1.323.073;2.126.347
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;09/2018;1.087.998;1.698.353
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2018;1.077.219;2.468.128
DACASA FINANCEIRA;51.891;n1;C;2;S4;197;VITORIA;ES;09/2018;1.011.786;1.848.153
BANCO CBSS S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;09/2018;944.588;1.830.799
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;09/2018;891.076;2.453.728
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2018;875.108;1.094.780
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2018;852.106;1.772.394
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;09/2018;684.321;1.666.279
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4.379.829;n1;I;2;S4;14;CURITIBA;PR;09/2018;535.024;741.367
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;09/2018;470.341;473.662
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23.862.762;n1;I;2;S4;14;VITORIA;ES;09/2018;425.592;766.545
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;09/2018;394.487;460.391
BANCO SEMEAR S.A.;795.423;b1;I;2;S4;8;BELO HORIZONTE;MG;09/2018;391.906;555.738
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;09/2018;376.840;582.730
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2018;364.863;462.886
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5.192.316;n1;I;2;S4;14;SANTO CRISTO;RS;09/2018;364.136;1.415.731
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;09/2018;358.189;794.129
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7.747.410;n1;I;2;S4;14;BARUERI;SP;09/2018;347.366;1.595.869
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;09/2018;328.269;721.068
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4.814.563;n1;I;2;S4;14;SOROCABA;SP;09/2018;321.835;611.554
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;09/2018;316.048;668.174
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2018;308.505;979.034
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;09/2018;277.402;365.415
ESTRELA MINEIRA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;5.351.887;n1;I;2;S4;14;ARAXA;MG;09/2018;272.600;384.883
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36.321.990;n1;I;2;S5;14;VITORIA;ES;09/2018;239.813;366.753
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7.512.441;n1;I;2;S4;14;DOIS IRMAOS;RS;09/2018;234.860;605.230
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;09/2018;232.338;762.250
