Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2017;1.400.104.983;638.333.502;1.320.764.075;1.098.747.716;79.340.907;2.455.631;4.954;1.349
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2017;1.318.016.843;486.453.519;1.189.242.353;903.562.645;128.774.490;5.736.906;3.453;969
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;03/2017;1.282.061.411;715.042.745;1.253.978.380;1.094.066.284;28.083.031;1.486.997;3.414;829
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2017;1.081.222.641;382.176.040;975.768.804;802.423.833;105.453.837;4.074.894;5.330;1.486
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2017;866.060.606;333.189.240;810.465.926;501.853.995;55.594.680;372.550;4;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2017;715.190.290;256.939.644;652.225.547;460.226.720;62.964.743;1.872.233;2.763;1.192
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2017;147.702.401;12.548.803;129.413.421;56.170.608;18.288.979;878.857;11;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2017;147.219.554;52.346.096;137.781.527;120.404.207;9.438.027;487.179;112;5
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2017;104.172.817;46.359.116;95.814.436;68.450.736;8.358.381;127.422;90;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2017;79.581.704;20.271.969;70.809.892;41.202.499;8.771.812;295.833;134;14
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2017;68.419.267;30.540.012;61.936.537;53.745.142;6.482.731;128.530;537;200
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2017;48.351.787;12.356.113;44.920.995;15.967.029;3.430.792;-17.760;318;2
CREDIT SUISSE;30771;b1;S2;C;3;SAO PAULO;SP;03/2017;44.023.209;4.745.030;40.324.408;29.475.748;3.698.801;-38.684;6;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;03/2017;38.292.451;12.359.893;34.909.962;16.697.728;3.382.489;-14.475;5;0
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2017;37.913.666;11.773.346;36.522.222;32.510.394;1.391.444;50.730;4;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2017;36.971.778;16.853.119;35.740.802;34.158.697;1.230.976;25.465;5;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2017;34.380.611;1.121.421;29.771.151;19.752.775;4.609.460;56.891;8;1
PAN;31323;b1;S3;C;2;SAO PAULO;SP;03/2017;27.695.610;19.840.600;24.277.715;19.933.862;3.417.895;3.669;4;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;03/2017;26.195.526;11.482.882;23.163.600;19.861.710;3.031.925;96.855;6;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;03/2017;22.548.560;12.887.969;19.806.763;16.648.096;2.741.797;122.319;39;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;03/2017;21.924.417;15.893.599;19.709.624;15.660.007;2.214.793;132.076;17;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;03/2017;21.717.742;7.161.242;20.483.323;16.229.484;1.234.419;-128.447;15;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;03/2017;21.389.096;878.457;19.991.354;6.236.940;1.397.742;12.278;2;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;03/2017;20.892.565;3.754.322;19.605.448;18.825.548;1.287.117;38.453;131;27
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;03/2017;20.356.982;974.510;18.255.955;9.559.856;2.101.026;59.524;2;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;03/2017;16.518.296;14.185.618;13.778.205;10.193.239;2.740.090;110.217;1;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;03/2017;16.463.339;13.500.448;13.999.093;13.296.680;2.464.246;41.868;3;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;03/2017;15.601.673;1.538.685;14.280.948;5.609.679;1.320.725;-34.811;5;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;03/2017;15.330.829;7.914.226;12.732.764;8.728.143;2.598.065;5.179;31;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;03/2017;14.937.059;3.707.535;13.044.305;4.656.059;1.892.754;-55.558;124;3
BRB;31976;b1;S3;C;1;BRASILIA;DF;03/2017;13.578.099;9.303.583;12.387.408;10.554.245;1.190.691;16.200;124;6
