Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2014;626.586.512;338.956.367;82.164.396;102.087.040;20.454.800;3.498.796;8.330.628;2.940.909;2.593.213;13.537.310;52.023.054
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2014;570.362.316;241.309.211;160.624.916;61.576.831;59.007.815;20.477.333;6.030.323;2.527.814;2.360.927;16.447.146;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2014;513.689.151;148.991.159;117.026.558;25.486.959;13.662.739;6.068.652;3.624.536;2.859.367;3.019.026;11.711.025;181.239.129
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2014;376.780.750;37.046.637;127.563.559;63.262.104;41.885.707;5.350.967;3.440.253;2.203.274;1.854.488;10.911.042;83.262.720
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2014;309.884.695;120.950.004;101.848.200;75.675.903;10.397.066;55.322;570.877;0;20.114;367.209;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2014;234.211.809;70.822.599;82.717.891;17.848.142;11.354.239;8.254.694;3.486.963;2.283.150;1.848.128;7.587.773;28.008.230
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2014;65.527.647;27.679.613;18.835.792;5.047.649;1.063.880;819.107;374.894;328.733;520.010;2.704.376;8.153.593
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2014;54.433.742;3.270.960;27.767.339;8.749.747;6.040.114;1.283.522;656.926;438.081;1.475.472;1.757.957;2.993.624
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2014;53.687.855;31.655.077;8.727.422;2.641.501;1.121.889;350.191;199.342;97.793;80.841;728.440;8.085.358
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2014;28.521.196;5.248.160;12.393.541;6.329.761;1.755.818;958.596;334.364;325.363;113.744;900.817;161.031
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2014;21.220.174;435.418;14.963.785;2.914.746;1.441.712;545.202;276.659;117.562;101.588;423.502;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2014;16.999.549;2.419.834;4.335.945;2.727.396;880.078;1.493.162;163.844;0;38.225;4.216;4.936.849
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2014;16.508.042;0;11.457.212;2.358.124;1.144.942;469.323;216.228;174.250;138.122;549.841;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2014;16.230.515;5.876.423;5.762.007;1.875.282;728.077;859.315;148.788;256.247;96.368;628.008;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2014;12.475.260;12.010.199;416.667;7.539;11.526;2.861;11.363;1.347;0;13.758;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2014;12.357.876;0;9.963.780;1.028.006;320.509;185.840;181.235;98.019;102.314;478.173;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2014;12.339.936;4.617.216;4.130.347;2.072.849;133.133;379.335;204.582;106.449;151.623;544.403;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2014;11.228.047;343.035;2.664.052;4.335.604;1.103.317;85.030;26.891;17.697;3.838;34.986;2.613.597
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2014;10.925.011;8.658;9.571.401;502.683;609.006;60.651;35.377;25.554;20.930;90.751;0
