Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2018;684.564.499;349.051.122;80.708.495;104.837.863;81.937.351;29.405.340;9.684.227;8.592.981;2.803.946;17.543.174;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2018;630.208.603;295.890.355;60.498.305;133.484.514;53.386.036;13.040.168;8.965.283;4.389.634;3.893.311;18.789.635;37.871.362
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2018;554.859.269;129.057.088;141.899.482;19.830.096;15.137.420;7.402.710;4.279.359;3.786.011;3.513.745;12.598.463;217.354.895
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2018;463.031.453;117.420.196;140.197.454;32.658.755;37.723.155;6.826.829;5.329.033;4.596.801;3.370.164;16.272.393;98.636.671
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2018;304.159.608;99.649.851;102.132.197;24.197.500;23.464.428;11.577.586;4.397.689;2.873.991;1.869.038;9.839.121;24.158.206
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2018;296.606.737;41.132.147;100.601.952;102.256.477;25.299.527;3.421.450;7.868.240;225.182;0;15.801.762;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2018;69.260.629;34.169.164;18.542.953;4.471.206;1.443.010;953.054;81.483;69.612;53.317;963.467;8.513.365
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2018;50.271.837;4.276.665;21.601.518;8.996.493;8.884.271;1.130.538;526.912;587.293;1.219.375;1.509.305;1.539.466
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2018;33.342.998;3.204.736;20.053.096;3.397.469;2.164.192;1.420.243;626.168;342.389;333.390;1.673.262;128.053
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2018;21.145.832;2.782.796;4.215.644;11.550.023;1.013.147;741.531;454.952;6.563;14.216;366.959;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2018;20.277.331;0;17.099.687;703.209;515.163;375.725;277.899;279.011;211.542;815.095;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2018;19.586.427;1.524.058;3.906.605;1.749.616;1.496.275;1.098.883;379.365;261.305;99.826;158.938;8.911.556
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2018;18.216.597;1.063.037;7.516.125;6.723.487;1.251.985;374.560;84.672;138.128;43.685;612.698;408.219
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2018;17.109.347;4.478.801;10.385.292;1.398.601;188.606;75.666;54.307;173.793;43.157;311.123;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2018;14.323.553;968.811;8.555.971;2.172.413;1.505.655;402.011;184.582;195.078;34.392;304.641;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2018;13.578.611;6.387.817;5.273.202;898.081;416.765;193.514;74.600;18.098;53.087;263.448;0
