Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2016;682.450.985;330.634.928;95.391.179;112.436.193;74.113.114;33.470.406;7.661.725;4.652.865;3.778.635;20.311.939;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2016;674.641.980;308.921.428;121.542.466;116.243.952;30.967.129;8.296.272;14.282.531;5.137.372;4.524.798;19.088.148;45.637.885
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2016;548.819.286;128.651.514;119.615.435;17.272.520;16.359.355;8.856.537;7.031.078;4.055.474;3.836.036;15.020.133;228.121.205
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2016;390.116.711;58.345.895;109.710.192;57.174.655;39.944.071;8.458.482;5.091.023;3.316.621;2.609.901;14.179.222;91.286.649
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2016;368.819.835;50.770.267;97.265.716;183.088.401;22.684.009;6.624.002;3.363.937;3.514.772;665.936;842.794;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2016;243.676.610;76.464.838;88.374.898;16.725.449;13.082.838;8.748.566;3.379.183;2.573.084;1.870.641;7.832.543;24.624.570
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2016;66.068.476;28.608.336;15.212.365;5.484.904;1.606.192;1.624.914;1.011.773;538.317;726.022;3.637.932;7.617.722
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2016;46.773.851;2.758.292;22.922.987;7.235.944;7.727.284;1.355.702;477.993;701.115;535.882;1.452.860;1.605.793
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2016;46.182.955;874.375;2.621.538;1.461.791;386.615;1.101.370;566.200;211.308;20.156;73.054;38.866.548
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2016;44.733.902;26.168.657;6.238.538;1.797.449;867.303;310.014;101.415;159.010;32.032;1.398.933;7.660.552
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2016;28.618.906;5.032.881;12.557.124;5.425.023;2.121.923;1.023.691;346.515;315.674;205.775;1.420.038;170.262
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2016;20.252.033;7.811.612;7.827.468;1.782.139;433.423;1.240.830;174.160;180.841;178.861;622.701;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2016;17.906.106;0;12.892.876;1.656.178;1.161.226;834.141;318.852;187.090;172.065;683.678;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2016;16.239.430;413.092;10.147.730;2.175.142;1.748.857;528.227;361.316;143.822;129.426;591.819;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;06/2016;14.119.160;1.616.717;3.046.546;7.402.019;1.234.863;235.222;211.195;37.743;7.011;327.844;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2016;13.187.647;4.820.513;4.087.421;2.100.171;476.940;354.278;164.060;132.150;183.332;868.781;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;06/2016;12.960.748;26.047;5.731.479;4.385.867;1.569.394;190.609;193.001;142.259;88.101;509.648;124.343
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;06/2016;12.950.387;12.543.507;379.034;10.952;3.179;506;7.765;331;331;4.782;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;06/2016;12.782.689;6.089.910;5.430.619;419.365;280.954;187.096;95.679;28.530;54.057;196.479;0
