Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2016;690.524.529;141.012.055;453.444.339;28.517.434;0;12;51.212.568;0;0;620.175;4.074.893;0;16;10.258.786;1.384.252;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2016;656.652.912;370.868.826;60.613.341;18.704.579;287.670;71.876;113.529.399;0;42.280.059;2.152.083;233.600;0;0;3.189.164;1.732.858;42.989.455
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2016;552.920.654;220.512.392;46.195.107;9.651.781;973.366;7.498.365;25.685.023;44.505;725.557;483.487;145.666;0;0;6.202;6.170.492;234.828.712
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2016;446.495.604;196.426.274;54.263.368;28.878.664;28.327;16.252.524;41.937.029;117.065;444.641;3.530.965;85.960;0;10.499;246.858;7.096.994;97.176.435
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2016;362.389.719;94.604.343;1.585;230.274.236;7.586.834;14.270.952;0;11.256.577;0;14.965;4.380.228;0;0;0;0;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2016;246.201.540;147.861.797;45.706.342;5.649.549;12.509;216.880;18.743.248;880.756;0;142.629;675.375;0;3.416;11.448;1.891.739;24.405.852
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2016;46.657.773;37.136.261;11.474;1.077.557;64.713;1.734.416;4.563.851;90.002;0;0;89.622;0;0;0;259.656;1.630.222
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2016;46.598.419;20.169.246;529.420;1.920.632;0;1.540.451;13.449.214;275.096;0;114.037;2.025;0;9.817;0;35.701;8.552.781
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2016;44.310.178;464.585;48.312;2.271.339;0;0;3.977.760;0;0;107.561;302.760;0;0;119.136;0;37.018.724
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2016;28.914.399;17.103.066;5.550.438;284.360;0;1.082.752;4.307.265;0;0;44.701;0;0;0;131.700;233.548;176.568
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2016;20.545.842;13.278.364;1.143.977;446.171;0;799;5.537.759;47.327;0;0;0;0;0;0;91.445;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2016;18.443.812;15.034.173;597.863;0;0;0;1.897.146;0;0;458.388;54.566;0;0;166.269;235.407;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2016;15.292.670;12.523.020;0;932.540;0;0;1.830.927;0;0;0;0;0;0;0;6.183;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2016;14.975.066;13.026.687;86.541;181.037;0;0;1.660.520;0;0;0;7.355;0;0;12.926;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2016;14.777.412;13.561.302;0;88.509;0;983.814;139.731;0;0;0;0;0;0;0;4.056;0
