Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2015;693.020.198;378.883.534;54.160.756;20.429.874;1.441.411;304.295;116.856.341;0;43.619.942;1.907.896;206.426;0;701;3.246.283;1.936.150;70.026.590
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2015;659.318.979;152.280.627;420.286.812;27.581.544;0;277;36.323.699;0;0;565.686;3.083.084;0;38;17.717.707;1.479.505;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2015;558.032.367;243.797.754;41.981.640;10.243.894;2.001.356;9.398.339;27.686.175;44.318;351.076;471.137;185.764;0;6.038;14.472;7.027.000;214.823.404
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2015;434.416.244;177.673.303;40.654.827;30.456.855;5.074;11.433.091;33.344.554;0;523.069;3.300.048;0;0;14.850;0;6.480.022;130.530.550
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2015;383.632.101;114.643.373;8.833;226.922.408;10.160.846;20.621.002;0;8.045.408;0;2.255;3.227.976;0;0;0;0;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2015;261.195.237;144.998.318;45.647.322;3.057.797;31.850;332.075;21.722.151;228.266;0;157.651;776.877;0;13.219;14.897;1.807.413;42.407.400
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2015;74.304.360;1.961.508;148.387;2.061.212;0;0;5.719.759;0;0;127.277;828.058;0;0;83.102;6;63.375.051
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2015;71.099.571;31.048.028;7.298.755;570.108;72.798;7.410.423;9.565.060;0;0;97.263;90.184;0;0;2.845.892;1.171.517;10.929.543
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2015;54.810.228;22.265.495;371.046;1.282.534;0;1.373.842;14.766.092;152.773;0;183.452;5.465;0;9.797;0;30.470;14.369.261
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2015;52.075.378;39.856.425;11.256;1.007.332;61.926;3.216.326;4.530.567;20.128;0;0;77.507;0;0;21.332;363.722;2.908.857
