Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2017;699.964.220;138.579.377;473.749.166;29.680.715;0;29;43.567.954;0;0;571.979;4.316.231;0;0;9.434.501;64.267;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2017;629.921.968;367.810.027;61.898.020;19.147.886;146.209;28.200;102.668.223;0;35.747.368;2.129.658;252.109;0;0;4.178.205;102.001;35.814.062
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2017;528.753.763;216.893.445;46.117.021;10.270.892;919.095;6.613.683;27.343.747;153.168;795.411;460.584;94.144;0;0;5.483;426.670;218.660.421
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2017;413.067.340;194.701.064;56.194.788;25.148.497;15.124;12.456.611;39.596.360;187.467;299.859;3.515.895;0;0;23.408;0;484.171;80.444.096
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2017;330.650.455;60.513.036;29.813;225.341.279;6.788.174;12.108.195;2.823.841;13.030.469;0;16.914;9.998.732;0;0;2;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2017;255.681.597;159.522.843;43.888.501;7.591.342;3.820;187.874;19.797.701;1.061.447;0;147.428;564.888;0;3.482;10.083;115.561;22.786.627
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2017;51.918.371;24.726.252;442.182;3.015.035;0;1.267.817;13.571.909;339.284;0;91.900;401;0;9.427;0;736;8.453.428
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2017;46.306.851;37.341.831;11.273;1.116.033;59.370;1.612.249;4.371.701;137.839;0;0;98.298;0;0;0;12.293;1.545.964
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2017;29.940.345;19.460.226;5.482.251;291.786;0;1.020.134;3.489.251;0;0;44.311;0;0;0;0;18.248;134.139
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2017;19.426.361;13.120.250;1.138.979;467.718;0;0;4.637.743;55.506;0;0;0;0;0;0;6.165;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2017;19.208.637;16.293.276;508.573;0;0;0;1.723.519;0;0;364.284;105.657;0;0;206.878;6.449;0
