Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;09/2012;9.190.713;211.185.921;95.983.633;378.974.394;-18.179.466;360.794.928;0;16.922;0;0;16.922;128.756.633;94.199.508;41.168.748;941.297.006;0;941.297.006
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2012;6.379.632;241.880.474;185.235.714;144.347.961;-15.894.862;128.453.100;12.137;1.017.770;830.880;-23.658;1.837.129;48.918.294;64.296.495;134.222.954;811.223.792;830.880;810.392.913
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2012;8.939.038;169.013.285;199.323.459;185.266.436;-14.931.259;170.335.177;12.747;3.275.387;2.600.215;-77.090;5.811.259;45.756.935;58.236.995;120.675.413;778.091.560;2.600.215;775.491.344
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;09/2012;5.311.357;95.582.611;125.519.366;324.498.805;-18.576.000;305.922.805;0;0;0;0;0;40.816.940;92.251.208;8.071.526;673.475.813;0;673.475.813
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;09/2012;1.419;8.086.092;78.211.226;232.191.319;-1.946.815;230.244.504;0;0;0;0;0;11.190.178;224.472.611;90.099.548;642.305.577;0;642.305.577
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;09/2012;3.869.842;66.173.565;92.836.023;133.145.498;-12.157.257;120.988.240;1.304;379.601;299.080;-9.118;670.867;83.899.922;40.388.280;61.003.718;469.830.458;299.080;469.531.378
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;;n1;2;19;SAO PAULO;SP;09/2012;4.343;157.935.343;203.839;0;0;0;183.648;11.215.439;8.186.111;-373.522;19.211.676;1.137.906;17.599;4.531.263;183.041.969;8.186.111;174.855.858
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2012;240.332;13.347.380;67.460.988;48.528.614;-373.680;48.154.934;73.980;2.866.163;1.736.004;-84.516;4.591.631;15.315.061;3.329.573;13.333.565;165.773.463;1.736.004;164.037.459
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;09/2012;1.980.543;20.162.731;20.964.595;38.857.709;-3.084.639;35.773.070;21.899;2.984.275;1.627.630;-68.730;4.565.074;31.729.075;15.601.189;7.324.393;138.100.670;1.627.630;136.473.040
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2012;298.155;10.842.508;2.207.599;40.978.877;-6.377.475;34.601.403;223.955;7.989.380;5.100.351;-290.286;13.023.401;28.243.918;792.585;47.715.263;137.724.832;5.100.351;132.624.481
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;09/2012;8.399;53.126.526;44.226.960;17.584.085;-751.580;16.832.505;0;0;0;0;0;2.989.052;2.064.920;6.544.863;125.793.225;0;125.793.225
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2012;14.457;32.299.984;0;0;0;0;0;0;0;0;0;1.289.623;3.346;57.319.299;90.926.709;0;90.926.709
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;09/2012;156.074;7.024.464;37.594.328;27.056.023;-941.023;26.115.000;34.819;1.111.282;954.923;-16.908;2.084.116;8.380.694;1.951.790;4.879.502;88.185.968;954.923;87.231.045
