Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;;b1;3;8;SAO PAULO;SP;12/2006;655.518;3.568.336;10.142.793;4.602.142;-169.043;4.433.100;0;0;0;0;0;4.993.208;1.056.352;1.320.152;26.169.459;0;26.169.459
BANCO FINASA S.A.;57561615;BRADESCO;10045;;b1;2;8;OSASCO;SP;12/2006;80;195.550;16.680;17.111.505;-931.597;16.179.907;11.529;2.024.304;695.040;-54.093;2.676.781;695.328;750.853;2.083.247;22.598.425;695.040;21.903.385
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;12/2006;86;18.622.555;73.364;0;0;0;0;0;0;0;0;119.146;4.569;14;18.819.735;0;18.819.735
BANCO ITAUBANK S.A.;60394079;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2006;117.054;3.934.569;3.404.013;6.148.837;-509.538;5.639.299;0;0;0;0;0;1.527.903;1.208.926;1.641.604;17.473.368;0;17.473.368
BANCO UBS PACTUAL S.A.;30306294;UBS PACTUAL;49944;;b1;3;8;RIO DE JANEIRO;RJ;12/2006;8.340;4.552.157;8.882.005;544.727;-10.455;534.273;0;0;0;0;0;1.630.745;49.271;579.243;16.236.033;0;16.236.033
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;;b1;1;8;PORTO ALEGRE;RS;12/2006;266.200;2.553.624;4.511.536;6.016.345;-814.189;5.202.156;144;63.988;27.907;-3.387;88.651;592.197;2.127.850;472.498;15.814.711;27.907;15.786.805
BANCO SUDAMERIS BRASIL S.A.;60942638;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;12/2006;161.732;2.908.488;763.685;6.189.859;-497.895;5.691.964;0;0;0;0;0;1.680.555;1.118.151;2.491.518;14.816.093;0;14.816.093
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;UNIBANCO;10100;;n1;2;19;SAO PAULO;SP;12/2006;2.643;10.355.030;46.043;0;0;0;9.251;2.731.958;893.856;-35.091;3.599.974;509.647;9.769;16.303;14.539.408;893.856;13.645.552
SAFRA LEASING S/A ARRENDAMENTO MERCANTIL;62063177;SAFRA;10083;;n1;2;19;SAO PAULO;SP;12/2006;1.859;4.731.544;321.646;0;0;0;56.561;7.602.440;3.376.290;-232.142;10.803.149;251.493;2.691;70.405;16.182.787;3.376.290;12.806.497
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;;b1;1;8;FORTALEZA;CE;12/2006;48.147;977.037;6.653.426;3.874.596;-296.600;3.577.997;0;0;0;0;0;829.681;207.392;183.744;12.477.424;0;12.477.424
BANCO BBM S/A;15114366;BBM;30207;;b1;2;8;SALVADOR;BA;12/2006;7.038;105.816;6.556.595;1.658.009;-26.753;1.631.256;138;62.000;0;-621;61.517;3.021.763;46.973;634.098;12.065.058;0;12.065.058
