Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;03/2011;12.883.946;5.795;5.540.928;-306.668;195.124;1.518.050;19.837.175;-10.484.166;-734.855;-4.444;0;-2.390.812;-13.614.277;6.222.898;1.963.940;1.057.376;-3.004.935;-2.556.372;-765.332;729.791;2.546.158;-1.780.214;-1.809.588;4.413.310;11.173;4.424.483;-1.118.108;-374.012;2.932.363;-723.921
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2011;8.850.159;176.209;8.181.118;194.912;0;1.972.050;19.374.449;-13.816.142;-273.621;-142.577;-130.588;-3.173.722;-17.536.650;1.837.799;964.400;761.912;-1.157.560;-2.533.879;-396.816;2.135.411;1.163.935;-1.564.052;-626.649;1.211.150;99.066;1.310.216;511.241;-492.306;1.329.152;0
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2011;7.795.883;597.776;7.282.532;807.339;36.493;1.375.942;17.895.965;-11.812.241;-466.972;-509.508;0;-1.817.282;-14.606.004;3.289.961;1.115.975;657.082;-1.862.805;-2.267.541;-424.162;1.991.406;1.001.234;-877.592;-666.404;2.623.558;-15.425;2.608.133;93.906;0;2.702.039;-766.998
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;03/2011;7.447.298;8.579;3.750.029;591.622;549.423;871.255;13.218.205;-5.851.048;-210.163;-45.602;0;-2.371.590;-8.478.403;4.739.803;1.486.902;455.723;-1.291.645;-2.535.960;-611.549;367.336;779.137;-2.085.065;-3.435.121;1.304.681;63.240;1.367.921;-59.150;-295.432;1.013.340;-600.000
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;03/2011;6.202.307;0;4.093.148;-29.855;875;1.581.524;11.847.999;-5.521.804;-1.169.180;0;0;-1.577.468;-8.268.452;3.579.547;2.508.122;280.530;-2.797.953;-1.504.218;-386.123;74.258;1.271.492;-2.434.235;-2.988.127;591.419;-63.892;527.527;339.140;-54.221;812.446;-216.885
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;03/2011;6.260.947;0;1.341.327;-290.658;10.818;0;7.322.434;-306.738;-5.015.588;0;0;346.281;-4.976.046;2.346.388;24.069;0;-145.468;-75.406;-69.366;1.207.431;413.281;-978.493;376.049;2.722.437;-2.636;2.719.801;-520.338;-10.533;2.188.930;0
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;03/2011;2.298.344;444.662;883.988;-25.569;146.910;549.589;4.297.923;-2.119.278;-68.458;-318.960;0;-452.841;-2.959.537;1.338.386;412.766;160.690;-556.959;-956.578;-141.113;223.937;277.554;-257.273;-836.975;501.411;-8.912;492.499;-89.615;-73.192;329.691;0
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2011;988.689;334.903;2.216.713;466.339;0;86.929;4.093.572;-2.593.271;-197.857;-258.452;-59.379;40.041;-3.068.919;1.024.654;207.974;1.134;-140.336;-221.415;-68.472;142.261;698.054;-399.994;219.206;1.243.860;51.174;1.295.034;-313.943;-485.580;495.511;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;03/2011;2.686.260;971.774;124.240;-7.267;0;0;3.775.007;-1.040.662;-130.411;-748.988;-99;-632.824;-2.552.983;1.222.024;1.086.222;121.140;-19.408;-1.328.580;-154.378;255.383;305.415;-797.493;-531.698;690.325;54.816;745.141;-170.792;-477;573.872;0
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;03/2011;58.594;1.180.750;1.983.883;0;0;0;3.223.227;-1.452.095;0;-929.856;0;-110.020;-2.491.971;731.256;3.053;0;0;-30.822;-123;244.424;11.587;-17.165;210.954;942.210;17.388;959.599;-286.064;0;673.535;0
