Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;DEUTSCHE;51183;;b1;3;8;SAO PAULO;SP;03/2013;31.589.023;2.092.694;30.074.712;8.116.556;1.514.311;15.683;2;0
BANCO BRADESCO CARTÕES S.A.;59438325;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2013;30.665.645;10.211.105;26.133.244;17.980.647;4.532.401;19.617;2;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;;n1;3;14;SAO PAULO;SP;03/2013;29.867.544;27.098.545;28.750.049;27.699.339;1.117.495;-463;97;0
BV LEASING - ARRENDAMENTO MERCANTIL S.A.;1858774;VOTORANTIM;51011;;n1;2;19;SAO PAULO;SP;03/2013;29.860.032;1.686.909;28.522.928;24.951.890;1.337.104;15.288;1;0
BANCO BMG S.A.;61186680;BMG;30290;;b1;2;8;BELO HORIZONTE;MG;03/2013;25.641.253;17.021.682;22.406.485;9.214.401;3.234.768;121.296;16;0
BANCO VOLKSWAGEN S.A.;59109165;;;;b2;3;8;SAO PAULO;SP;03/2013;25.369.399;21.963.662;23.276.152;18.026.228;2.093.248;47.698;1;0
BB-LEASING S/A ARRENDAMENTO MERCANTIL;31546476;BB;49906;;n1;1;19;BRASILIA;DF;03/2013;25.274.954;643.618;21.691.325;20.131.855;3.583.629;32.954;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;;;;b1;2;11;PORTO ALEGRE;RS;03/2013;21.314.406;9.203.927;20.669.535;20.275.249;644.871;8.592;5;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;;b1;3;8;SAO PAULO;SP;03/2013;19.219.582;1.589.960;17.899.977;12.358.428;1.319.605;30.020;4;0
BANCO PANAMERICANO S.A.;59285411;PANAMERICANO;31323;;b1;2;8;SAO PAULO;SP;03/2013;19.078.901;10.161.669;16.512.239;11.562.063;2.566.662;15.297;1;0
BANCO ALVORADA S.A.;33870163;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2013;16.969.623;170.351;783.304;0;16.186.319;354.915;2;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;;b1;2;3;BRASILIA;DF;03/2013;16.751.646;5.608.944;16.216.850;15.329.343;534.796;13.803;4;0
BANCO INDUSTRIAL E COMERCIAL S.A.;7450604;BIC;32119;;b1;2;8;SAO PAULO;SP;03/2013;16.363.533;10.780.713;14.432.553;12.074.650;1.930.980;2.853;36;0
SAFRA LEASING S.A. ARRENDAMENTO MERCANTIL;62063177;SAFRA;10083;;n1;2;19;SAO PAULO;SP;03/2013;15.250.578;303.579;14.498.817;12.887.323;751.761;7.712;1;0
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;;b1;2;8;BELO HORIZONTE;MG;03/2013;13.537.534;7.974.426;12.702.875;9.747.394;834.658;8.693;182;4
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;;b2;2;13;SAO PAULO;SP;03/2013;13.239.951;3.879.790;12.083.770;11.796.483;1.156.181;14.851;9;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;;b1;3;8;SAO PAULO;SP;03/2013;13.164.288;7.508.269;11.407.754;9.071.521;1.756.534;60.057;6;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;;b1;3;8;SAO PAULO;SP;03/2013;13.088.701;6.638.435;12.002.464;9.472.404;1.086.237;30.746;16;0
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;;b1;1;8;VITORIA;ES;03/2013;12.927.087;3.854.790;12.174.677;11.312.742;752.410;30.567;135;27
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;;b1;2;8;SAO PAULO;SP;03/2013;12.911.124;8.857.043;12.526.465;12.000.221;384.659;68.526;1;0
BANCO DAYCOVAL S.A.;62232889;;;;b1;2;8;SAO PAULO;SP;03/2013;12.851.531;7.331.548;10.404.338;9.134.659;2.447.192;65.714;35;0
