Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;06/2007;322.235.579;132.001.990;299.930.160;251.842.711;22.305.419;2.477.168;4.064;1.246
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2007;258.595.821;76.001.079;231.081.297;195.536.242;27.514.524;4.006.623;3.027;1.090
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2007;243.153.192;38.282.782;230.210.119;185.727.212;12.943.073;1.506.189;2.503;737
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;06/2007;237.518.141;51.338.560;226.993.538;200.151.635;10.524.604;1.715.566;2.031;459
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;06/2007;188.745.288;67.041.480;165.135.787;53.866.597;23.609.501;4.474.513;4;0
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;06/2007;157.080.393;43.422.190;147.005.354;89.251.587;10.075.039;1.029.307;847;827
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;06/2007;123.761.617;35.575.362;112.963.726;95.233.517;10.797.892;1.421.560;953;291
BANCO SANTANDER BANESPA S.A.;90400888;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;06/2007;113.093.951;36.017.407;103.096.620;75.163.052;9.997.331;957.947;1.070;690
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2007;72.137.314;14.202.002;66.626.095;57.488.818;5.511.218;373.677;8;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;06/2007;71.486.713;21.156.351;67.760.377;58.108.272;3.726.337;425.100;103;14
