Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2016;690.524.529;343.661.314;82.011.881;107.837.891;28.253.135;127.088.058;1.672.250;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2016;656.652.912;311.195.075;79.022.391;76.357.394;29.089.915;116.094.468;1.904.213;42.989.455
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2016;552.920.654;199.294.878;19.597.699;38.811.619;9.985.407;42.430.583;7.971.756;234.828.712
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2016;446.495.604;197.322.621;28.115.397;46.823.612;15.677.582;54.162.063;7.217.893;97.176.435
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2016;362.389.719;221.884.908;35.064.226;43.340.489;6.316.570;27.584.279;28.199.248;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2016;246.201.540;145.441.374;14.045.309;22.007.300;5.583.845;32.746.891;1.970.969;24.405.852
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2016;46.657.773;23.377.523;3.614.306;7.305.036;1.598.000;8.862.542;270.145;1.630.222
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2016;46.598.419;25.237.651;2.687.111;3.150.151;886.795;6.044.126;39.805;8.552.781
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2016;44.310.178;3.980.846;2.792.048;298.540;32.554;187.466;0;37.018.724
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2016;28.914.399;3.312.126;461.981;928.533;333.283;23.460.553;241.356;176.568
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2016;20.545.842;14.730.696;793.955;1.208.414;446.196;3.202.343;164.238;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2016;18.443.812;8.449.537;2.240.594;3.590.352;1.330.282;2.594.886;238.161;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2016;15.292.670;6.917.159;1.396.583;2.831.120;976.914;3.160.504;10.390;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2016;14.975.066;5.540.895;6.457.616;1.189.896;39.509;1.747.150;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2016;14.777.412;58.938;3.415.739;4.061;55.131;11.236.345;7.198;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2016;13.010.381;397.832;311.227;17.919;4.193;12.277.609;1.601;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2016;12.992.825;2.236.175;647.659;9.826.921;127.255;102.259;52.557;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;09/2016;12.958.285;6.620.668;1.286.567;2.424.339;631.273;1.804.963;67.513;122.962
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2016;11.645.803;6.326.410;753.993;1.574.526;441.591;2.076.310;472.973;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2016;11.217.962;5.640.424;741.723;637.628;123.624;1.899.699;261;2.174.603
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2016;10.974.673;6.444.112;911.106;160.650;661.729;2.663.132;133.944;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2016;9.503.794;449.660;8.891.751;73.974;57.246;20.354;10.805;4
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2016;8.898.505;3.779.798;958.548;1.824.496;706.154;1.618.439;11.070;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2016;8.589.333;4.502.853;999.521;1.272.772;635.424;994.923;183.840;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2016;8.541.097;4.854.483;616.529;1.141.562;225.148;1.703.322;53;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;09/2016;7.172.161;2.965.211;140.300;103.803;0;227.169;0;3.735.678
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;09/2016;7.071.757;4.384.573;876.573;542.086;163.225;1.075.124;30.176;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2016;7.014.400;5.323.505;315.516;746.965;97.242;388.074;143.098;0
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;09/2016;6.704.787;2.459.272;514.164;954.863;111.238;979.565;26.087;1.659.598
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;09/2016;6.525.042;1.497.249;1.756.404;500.691;219.340;2.549.036;2.321;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;09/2016;6.316.126;1.024.286;2.952.249;526.386;288.909;1.518.432;5.865;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;09/2016;5.810.207;5.581.887;64.378;114.937;5.381;43.435;188;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;09/2016;5.046.681;3.005.335;394.503;496.798;144.320;409.821;595.904;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;09/2016;4.572.107;3.500.192;222.038;337.210;52.798;290.887;168.982;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;09/2016;4.483.258;1.286.337;937.835;331.822;122.407;1.803.126;1.731;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;09/2016;4.478.045;2.756.426;850.107;420.162;113.420;326.311;11.618;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;09/2016;3.975.994;1.664.037;510.943;462.181;36.184;322.771;67.595;912.284
PARANÁ BANCO;30.881;b1;C;2;;199;CURITIBA;PR;09/2016;3.869.962;892.263;133.103;98.790;25.375;2.638.840;81.590;0
