Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;03/2001;145.021.287;50.396.462;136.919.555;108.314.060;8.101.732;136.730;8.101.732;7,90%;45,79%;3.025;1.504
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2001;129.801.445;55.296.608;126.825.243;76.733.167;2.976.203;-94.617;2.976.203;4,93%;155,21%;1.697;269
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2001;103.586.045;82.332.709;91.972.779;70.095.137;11.613.267;100.628;11.613.267;12,25%;103,06%;5;0
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;03/2001;88.537.618;41.077.356;79.797.066;65.402.817;8.740.552;420.365;8.740.552;13,33%;52,03%;2.609;476
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2001;70.839.571;23.902.165;62.932.659;49.027.864;7.906.912;602.879;7.906.912;14,11%;82,07%;2.051;878
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;03/2001;57.499.682;14.366.445;53.126.586;32.520.925;4.373.097;205.227;4.373.097;12,73%;42,78%;1.007;885
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2001;51.297.989;20.781.202;45.445.895;38.692.124;5.852.094;217.706;5.852.094;14,91%;66,21%;949;587
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2001;30.015.408;12.245.741;25.164.063;13.718.890;4.851.345;118.615;4.851.345;20,59%;46,91%;688;553
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2001;26.322.434;7.353.256;24.789.055;20.192.892;1.533.378;72.253;1.533.378;13,14%;43,30%;82;9
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;03/2001;26.156.013;6.994.663;24.685.248;16.149.544;1.470.766;273.373;1.470.766;11,06%;24,38%;94;10
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2001;24.385.704;7.555.749;22.856.077;15.699.630;1.529.627;86.785;1.621.463;12,10%;62,52%;997;450
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2001;22.289.197;9.260.908;20.017.544;11.719.171;2.271.654;255.666;2.271.654;12,04%;7,08%;86;4
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;03/2001;19.725.008;2.375.454;18.586.630;16.748.823;1.138.379;23.876;1.138.379;25,86%;25,90%;496;272
SUDAMERIS;31330;b1;;C;3;SAO PAULO;SP;03/2001;16.502.041;7.221.303;15.639.319;11.958.716;862.722;20.941;1.288.673;12,77%;60,81%;283;73
BBA-CREDITANSTALT;50012;b1;;C;2;SAO PAULO;SP;03/2001;15.261.675;5.219.997;14.198.632;10.363.381;1.063.044;67.371;1.063.044;11,03%;34,23%;11;0
BILBAO VIZCAYA;50452;b1;;C;3;SALVADOR;BA;03/2001;11.163.149;3.388.610;10.417.850;7.843.291;745.299;9.473;745.299;13,86%;68,33%;439;33
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2001;9.138.485;1.017.305;8.453.208;6.792.715;685.277;35.538;685.277;14,04%;1,46%;7;0
MERCANTIL SP;20145;b1;;C;2;SAO PAULO;SP;03/2001;9.040.029;4.024.796;7.885.732;7.027.820;1.154.296;14.373;1.154.296;14,57%;54,54%;229;73
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2001;8.946.678;6.539.023;7.936.427;7.224.100;1.010.251;12.617;1.010.251;7,03%;15,65%;174;4
LLOYDS;20121;b1;;C;3;SAO PAULO;SP;03/2001;8.609.644;2.109.465;7.998.286;3.633.513;611.358;31.996;611.358;15,08%;14,31%;13;0
CHASE;20107;b1;;C;3;SAO PAULO;SP;03/2001;8.064.044;126.011;6.936.141;4.499.520;1.127.903;15.764;1.127.903;26,16%;8,28%;16;1
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;03/2001;8.053.543;2.796.859;7.498.168;6.593.751;555.375;10.515;555.375;18,44%;26,14%;365;206
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;03/2001;7.098.811;608.416;6.653.613;2.101.582;445.198;-8.856;594.425;25,07%;15,01%;6;0
CSFB GARANTIA;30771;b1;;C;3;SAO PAULO;SP;03/2001;5.273.047;569.333;4.943.933;2.785.153;329.114;1.255;442.959;14,48%;13,61%;8;0
BANCO SANTOS S.A.;58257619;b1;;I;2;SAO PAULO;SP;03/2001;4.999.188;1.161.058;4.751.687;4.631.057;247.501;-13.761;247.501;11,28%;69,84%;4;1
ALFA;51293;b1;;C;2;SAO PAULO;SP;03/2001;4.202.435;2.533.513;3.380.767;2.648.714;821.667;22.543;821.667;23,80%;19,80%;34;0
FIAT;30692;b2;;I;3;SAO PAULO;SP;03/2001;4.088.130;2.944.476;3.344.319;2.372.925;743.811;22.929;743.811;16,75%;33,43%;17;0
PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;03/2001;4.061.672;61.104;3.541.064;2.325.659;520.608;14.598;520.608;30,95%;10,29%;6;0
BANCOCIDADE;30104;b2;;C;2;SAO PAULO;SP;03/2001;3.380.628;713.417;3.165.816;2.768.718;214.812;4.191;214.812;13,70%;13,29%;27;3
MULTI BANCO S.A.;92791813;b1;;I;3;SAO PAULO;SP;03/2001;3.227.978;112.865;2.798.903;622.236;429.075;19.294;429.075;24,14%;0,94%;1;0
RURAL;31244;b1;;C;2;RIO DE JANEIRO;RJ;03/2001;3.040.707;1.895.586;2.608.225;2.107.061;432.481;21.662;432.481;15,91%;29,21%;47;26
FORD;51176;b2;;C;3;SAO PAULO;SP;03/2001;2.905.501;1.871.399;2.745.373;1.636.393;160.129;-9.898;160.129;5,62%;0,11%;9;0
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;03/2001;2.847.057;2.231.266;2.548.955;1.857.980;298.102;15.425;298.102;10,71%;0,33%;11;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;03/2001;2.843.834;1.407.727;2.453.770;2.153.246;390.063;6.099;390.063;14,52%;39,78%;208;7
GM;30795;b2;;C;3;SAO PAULO;SP;03/2001;2.842.985;2.011.784;2.612.557;2.030.370;230.429;6.255;230.429;9,33%;24,60%;3;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;03/2001;2.817.274;1.381.427;2.503.662;2.017.842;313.612;11.829;313.612;13,16%;52,20%;5;0
DRESDNER;51059;b1;;C;3;SAO PAULO;SP;03/2001;2.804.331;1.074.991;2.574.210;1.556.811;230.121;14.185;230.121;13,45%;11,64%;7;0
EUROPEU;32078;b1;;C;3;SAO PAULO;SP;03/2001;2.560.093;287.339;2.386.113;1.655.197;173.980;-1.635;173.980;20,49%;2,81%;4;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;03/2001;2.384.627;287.152;2.104.007;1.427.262;280.620;17.432;280.620;12,55%;21,72%;82;7
BNL;30513;b1;;C;3;SAO PAULO;SP;03/2001;2.284.694;1.122.625;2.115.179;1.738.645;169.514;8.987;169.514;10,82%;23,10%;10;0
LIBERAL;50146;b2;;C;3;RIO DE JANEIRO;RJ;03/2001;2.243.347;94;2.034.040;1.862.974;209.307;8.866;209.307;73,34%;19,70%;5;0
BANESTES;30159;b1;;C;1;VITORIA;ES;03/2001;2.171.315;802.026;2.032.753;1.769.177;138.562;184;138.562;16,17%;44,72%;96;58
BBM;30207;b1;;C;2;SALVADOR;BA;03/2001;2.094.166;377.114;1.637.164;1.092.084;457.002;34.785;457.002;34,88%;41,51%;9;0
BIC;32119;b1;;C;2;SAO PAULO;SP;03/2001;2.084.296;1.410.103;1.813.625;1.650.114;270.671;4.706;270.671;13,67%;14,18%;39;5
BARCLAYS GALI;51217;b1;;C;3;SAO PAULO;SP;03/2001;1.940.236;520.067;1.759.464;1.458.152;180.772;-20.541;180.772;14,75%;19,66%;2;0
