Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;03/2007;32.233.067;38.942.074;1.162.717;54.836.600;21.855.634;149.030.092;63.518.081;0;0;0;0;0;0;26.942.145;239.490.318;2.170.559;45.338.336;286.999.213;107.236;21.638.457;308.744.906
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2007;19.926.587;27.608.759;38.309.142;32.234.418;613.671;118.692.577;47.654.205;0;0;0;1.239.466;862.772;2.102.238;22.934.655;191.383.675;813.083;32.695.348;224.892.106;96.102;26.028.655;251.016.862
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2007;14.377.353;22.513.716;74.712.794;12.785.459;1.168.298;125.557.619;50.670.242;0;0;0;991.801;309.223;1.301.024;3.648.574;181.177.459;1.555.402;44.901.861;227.634.721;9.472;12.266.568;239.910.762
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;03/2007;8.325.527;63.374.782;0;43.501.007;9.119.645;124.320.961;38.825.014;0;0;0;0;7.506.993;7.506.993;17.849.091;188.502.059;5.663;21.190.042;209.697.764;0;9.811.751;219.509.515
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;03/2007;584.772;0;0;0;26.014.533;26.599.305;0;0;0;0;0;0;0;28.794.174;55.393.479;0;109.641.291;165.034.770;0;20.696.945;185.731.715
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;03/2007;5.946.248;7.327.603;12.326.660;29.421.035;108.118;55.129.664;11.706.986;0;0;0;6.282.703;749.731;7.032.434;6.265.967;80.135.052;2.703.758;38.957.724;121.796.535;19.016;10.307.674;132.123.226
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;03/2007;3.445.991;7.022.910;13.754.600;21.431.299;71.204;45.726.004;21.267.274;0;0;0;7.598.112;1.286.860;8.884.972;8.310.000;84.188.249;710.463;14.674.291;99.573.003;9.878;10.286.090;109.868.971
BANCO SANTANDER BANESPA S.A.;90400888;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;03/2007;4.057.653;5.140.228;3.771.189;20.840.589;247.794;34.057.453;19.361.221;0;0;0;4.427.626;164.066;4.591.693;6.369.210;64.379.577;2.503.595;21.072.545;87.955.717;39.414;8.673.509;96.668.640
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;03/2007;61.536;0;14.075.442;15.689.442;4.579;29.830.999;18.131.554;0;0;0;733.769;0;733.769;3.241.501;51.937.823;3.933.988;3.893.247;59.765.058;7.588;5.417.288;65.189.934
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;03/2007;2.075.736;595.793;6.317.146;7.510.056;16.316;16.515.048;25.254.937;0;0;0;658.797;43.979;702.776;7.466.018;49.938.779;4.375.012;7.149.512;61.463.303;18.417;3.617.945;65.099.665
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;03/2007;4.892.804;1.762.928;2.101.964;33.215.211;93.869;42.066.777;2.518.763;0;0;0;0;0;0;3.036.796;47.622.336;585.447;11.722.568;59.930.351;40.946;4.190.301;64.161.599
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2007;43.193;0;29.012.017;979.465;96;30.034.771;8.656.684;0;0;0;3.779.067;0;3.779.067;5.836.019;48.306.541;1.578.089;5.503.856;55.388.486;13.816;5.412.732;60.815.035
BANCO NOSSA CAIXA S.A.;43073394;;;;b1;1;8;SAO PAULO;SP;03/2007;2.093.232;9.085.434;0;15.539.421;29.689;26.747.777;7.366.728;0;0;0;0;16.534;16.534;350.351;34.481.390;0;5.750.503;40.231.893;78;2.679.980;42.911.951
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;;n1;2;19;OSASCO;SP;03/2007;0;0;0;0;0;0;0;0;0;0;0;29.237.332;29.237.332;272.827;29.510.159;0;2.370.402;31.880.561;0;2.456.929;34.337.491
