Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BIC;32119;b1;;C;2;SAO PAULO;SP;12/2000;3.166.435;1.231.488;2.899.868;2.786.439;266.567;9.368;266.567;16,52%;0,00%;39;13
RURAL;31244;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;3.105.963;1.870.909;2.693.989;2.270.695;411.975;53.750;411.975;17,20%;0,00%;45;26
FORD;51176;b2;;C;3;SAO PAULO;SP;12/2000;2.878.870;1.851.293;2.887.710;1.662.511;-8.840;-168.374;-8.840;-0,34%;0,00%;10;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;12/2000;2.856.648;1.417.563;2.472.030;2.260.836;384.618;21.363;384.618;15,36%;0,00%;206;9
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;12/2000;2.662.816;1.989.779;2.380.139;1.636.528;282.676;63.505;282.676;12,10%;0,00%;11;0
BBM;30207;b1;;C;2;SALVADOR;BA;12/2000;2.594.388;259.972;2.012.188;1.354.299;582.200;68.296;582.200;38,61%;0,00%;9;0
GM;30795;b2;;C;3;SAO PAULO;SP;12/2000;2.589.897;1.857.878;2.365.723;1.723.778;224.174;26.466;224.174;9,75%;0,00%;3;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;12/2000;2.419.211;431.180;2.094.916;1.751.183;324.295;13.490;324.295;27,69%;0,00%;3;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;12/2000;2.354.061;290.954;2.090.874;1.355.971;263.187;29.105;263.187;12,35%;0,00%;82;7
BMC;30276;b1;;C;2;SAO PAULO;SP;12/2000;2.348.751;803.663;2.162.762;2.055.815;185.989;13.130;185.989;15,52%;0,00%;12;0
DRESDNER;51059;b1;;C;3;SAO PAULO;SP;12/2000;2.295.441;1.020.353;2.059.637;1.284.138;235.804;30.719;235.804;16,32%;0,00%;10;0
EUROPEU;32078;b1;;C;3;SAO PAULO;SP;12/2000;2.113.493;259.306;1.937.877;1.493.755;175.615;14.044;175.615;29,03%;0,00%;4;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;12/2000;2.103.448;1.174.971;1.801.664;1.633.085;301.783;31.772;301.783;14,82%;0,00%;5;0
BANESTES;30159;b1;;C;1;VITORIA;ES;12/2000;2.091.248;801.646;1.952.870;1.716.101;138.378;11.689;138.378;15,42%;0,00%;87;58
PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;1.969.953;37.386;1.460.477;761.129;509.476;35.534;509.476;41,97%;0,00%;6;0
BNL;30513;b1;;C;3;SAO PAULO;SP;12/2000;1.925.951;1.052.898;1.765.424;1.636.032;160.527;17.749;160.527;11,37%;0,00%;10;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2000;1.902.390;385.426;1.498.895;711.782;403.495;9.473;513.499;37,25%;0,00%;5;0
MULTI BANCO S.A.;92791813;b1;;I;3;SAO PAULO;SP;12/2000;1.752.231;169.445;1.342.451;407.691;409.780;27.282;409.780;39,49%;0,00%;1;0
BARCLAYS GALI;51217;b1;;C;3;SAO PAULO;SP;12/2000;1.722.011;528.272;1.520.698;1.417.613;201.313;45.694;201.313;18,38%;0,00%;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;12/2000;1.701.118;1.361.248;1.360.022;1.299.423;341.096;56.939;341.096;27,22%;0,00%;3;0
ING;51073;b1;;C;3;SAO PAULO;SP;12/2000;1.683.574;249.997;1.532.645;579.045;150.929;-9.923;210.221;29,39%;0,00%;3;0
IBM BRASIL LEASING ARRENDAMENTO MERCANTIL S/A;34270520;n1;;I;3;BARUERI;SP;12/2000;1.608.989;908.266;1.336.775;1.102.175;272.214;13.542;272.214;20,79%;0,00%;1;0
BANCO DO ESTADO DE SANTA CATARINA S.A.;83876003;b1;;I;1;FLORIANOPOLIS;SC;12/2000;1.532.632;296.736;890.791;771.311;641.841;-4.251;641.841;158,57%;0,00%;256;250
BANCO DE TOKYO-MITSUBISHI BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;12/2000;1.532.340;501.567;1.247.077;804.218;285.263;35.823;285.263;42,00%;0,00%;6;0
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;12/2000;1.430.102;1.137.196;1.317.068;888.185;113.034;5.520;169.551;12,15%;0,00%;2;0
BRB;31976;b1;;C;1;BRASILIA;DF;12/2000;1.314.959;774.689;1.126.018;1.035.825;188.942;3.688;188.942;18,54%;0,00%;58;47
FIAT LEASING S/A ARRENDAMENTO MERCANTIL;61190658;n1;;I;3;BARUERI;SP;12/2000;1.299.869;408.821;1.039.904;130.149;259.965;40.153;259.965;46,67%;0,00%;1;0
BRASCAN;50885;b1;;C;3;RIO DE JANEIRO;RJ;12/2000;1.291.859;424.613;1.141.133;926.849;150.726;16.197;150.726;17,43%;0,00%;5;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;12/2000;1.261.301;277.349;1.189.563;1.058.399;71.737;5.435;71.737;16,46%;0,00%;1;0
BANCO FININVEST S.A.;33098518;b1;;I;2;RIO DE JANEIRO;RJ;12/2000;1.210.858;788.205;1.047.059;965.193;163.799;10.675;163.799;16,91%;0,00%;1;0
SS;31323;b1;;C;2;SAO PAULO;SP;12/2000;1.193.547;820.301;1.025.761;764.287;167.786;20.214;167.786;13,60%;0,00%;6;0
BANCO DO ESTADO DE GOIAS S.A.;1540541;b1;;I;1;GOIANIA;GO;12/2000;1.148.527;237.720;961.047;873.566;187.480;9.802;187.480;28,86%;0,00%;153;56
LIBERAL;50146;b2;;C;3;RIO DE JANEIRO;RJ;12/2000;1.138.269;103;938.030;891.690;200.240;21.398;200.240;87,30%;0,00%;5;0
AGF BRASEG;51066;b1;;C;3;SAO PAULO;SP;12/2000;974.374;135.948;859.375;822.371;114.998;13.600;114.998;32,18%;0,00%;2;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;12/2000;974.242;368.577;785.336;418.532;188.906;18.208;188.906;24,30%;0,00%;6;0
INTER AMEX;51145;b1;;C;2;SAO PAULO;SP;12/2000;972.268;453.166;821.966;758.702;150.302;9.199;150.302;17,12%;0,00%;6;0
BANCO DE DESENVOLVIMENTO DO ESTADO DA BAHIA S.A.;15163587;b4;;I;1;SALVADOR;BA;12/2000;966.289;768.814;868.075;484.563;98.214;3.612;98.214;13,82%;0,00%;0;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;12/2000;935.998;573.991;183.314;158.077;752.684;10.658;752.684;172,68%;0,00%;1;0
BESC S/A - CREDITO IMOBILIARIO;83725150;n1;;I;1;FLORIANOPOLIS;SC;12/2000;878.049;245.080;1.044.234;1.030.117;-166.186;-11.641;-166.186;-105,94%;0,00%;4;0
STOCK;50201;b1;;C;2;RIO DE JANEIRO;RJ;12/2000;860.828;80.437;810.405;707.853;50.423;13.207;50.423;26,89%;0,00%;4;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;38486817;b4;;I;1;BELO HORIZONTE;MG;12/2000;792.396;448.692;667.347;542.354;125.049;4.096;125.049;21,77%;0,00%;1;0
BEC;30214;b1;;C;1;FORTALEZA;CE;12/2000;789.494;119.443;663.246;497.206;126.248;21.865;126.248;55,15%;0,00%;72;10
BANCO SUMITOMO BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;12/2000;785.326;217.762;587.172;523.521;198.153;8.868;198.153;79,39%;0,00%;1;0
CACIQUE;51121;b1;;I;2;SAO PAULO;SP;12/2000;764.221;399.367;572.634;540.263;191.587;8.241;191.587;27,94%;0,00%;1;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;12/2000;743.252;421.955;529.036;381.876;214.216;20.755;214.216;36,41%;0,00%;10;0
BANCO COOPERATIVO SICREDI S.A. - BANSICREDI;1181521;b1;;I;2;PORTO ALEGRE;RS;12/2000;687.871;271.227;647.918;615.691;39.953;2.366;41.715;13,06%;0,00%;4;0
BANCO BANQUE NATIONALE DE PARIS BRASIL S.A.;1522368;b1;;I;3;SAO PAULO;SP;12/2000;680.581;246.054;573.349;475.348;107.232;6.024;139.533;22,11%;0,00%;1;0
MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;12/2000;657.632;0;594.284;431.739;63.349;3.386;63.349;35,76%;0,00%;2;0
BANCO ZOGBI S.A.;61535100;b1;;I;2;SAO PAULO;SP;12/2000;655.160;457.815;456.973;374.400;198.187;17.859;198.187;35,72%;0,00%;1;0
ECONOMIA CREDITO IMOBILIARIO S.A.-ECONOMISA;17441197;n1;;I;2;BELO HORIZONTE;MG;12/2000;614.234;90.422;610.747;55.037;3.487;586;1.244;0,15%;0,00%;5;0
BADESC-AGENCIA CATARINENSE DE FOMENTO S.A.;82937293;n1;;I;1;FLORIANOPOLIS;SC;12/2000;595.314;395.986;307.206;243.579;288.108;15.293;0;NI%;0,00%;1;0
BANCO DO ESTADO DO MARANHAO S.A. - BEM;6271464;b1;;I;1;SAO LUIS;MA;12/2000;593.685;68.292;557.225;503.639;36.460;-15.150;36.460;27,87%;0,00%;76;18
SUL AMERICA;50108;b2;;C;2;SAO PAULO;SP;12/2000;585.071;39.396;455.863;444.521;129.207;-14.489;129.207;35,42%;0,00%;5;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;12/2000;545.002;79.240;475.862;330.074;69.140;5.781;69.140;24,12%;0,00%;4;0
