Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;06/2018;6.625.463;0;5.235.227;163.860;139.812;176.095;194.285;140.028;110.023;466.133;0
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;06/2018;6.443.118;401.127;2.299.936;2.153.359;1.150.489;134.312;116.270;23.598;18.077;145.949;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;06/2018;6.253.248;21.525;5.312.560;637.059;225.085;21.251;25.895;1.762;1.091;7.021;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;06/2018;6.133.352;98.028;5.321.779;154.038;107.708;77.669;67.492;57.677;49.090;199.870;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2018;5.750.478;398.873;3.288.066;525.599;200.758;365.586;248.764;202.044;168.072;352.715;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;06/2018;5.484.774;2.042.780;728.041;727.758;880.999;406.466;257.864;25.152;117.399;298.315;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;06/2018;5.289.770;357.962;3.501.389;733.177;602.698;56.863;13.879;5.544;4.014;14.245;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;06/2018;5.252.148;676.890;3.343.258;556.335;329.526;46.545;107.218;28.861;65.561;55.152;42.801
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;06/2018;4.917.784;0;3.163.411;1.135.045;464.637;24.345;16.480;16.469;22.989;74.408;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;06/2018;4.871.617;0;1.897.647;2.018.698;728.477;188.667;12.730;22.268;1.143;1.987;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;06/2018;4.827.295;0;4.487.874;87.720;58.331;35.647;30.563;23.551;23.046;80.562;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;06/2018;4.465.278;158.976;2.611.229;0;365.818;12.386;74.752;13.344;0;138.028;1.090.744
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;06/2018;4.142.895;0;3.881.944;16.883;84.275;18.453;11.575;24.171;13.023;92.572;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;06/2018;4.036.973;2.060.540;902.876;413.723;177.241;147.356;38.332;55.869;45.708;195.328;0
