Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2019;1.574.566.343;576.011.217;1.435.977.958;1.057.857.737;138.588.384;5.040.539;3.190;897
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2019;1.499.800.079;626.064.885;1.404.987.453;1.162.772.287;94.812.626;4.204.817;4.424;1.001
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;09/2019;1.299.710.547;683.186.416;1.251.168.039;1.067.691.730;48.542.507;7.336.912;3.374;747
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2019;1.149.470.844;441.991.865;1.010.067.830;804.718.196;139.403.014;5.889.690;4.596;1.418
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2019;830.952.512;330.344.651;754.486.905;545.892.787;76.465.607;3.758.736;2.739;1.446
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2019;761.698.807;274.507.222;660.779.096;304.719.249;100.919.711;2.702.037;5;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2019;189.906.341;72.818.247;177.100.728;154.703.347;12.805.613;543.475;119;5
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2019;189.322.806;27.174.558;168.555.170;87.176.580;20.767.636;621.135;14;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2019;101.009.212;53.141.829;90.862.553;66.249.964;10.146.659;355.143;97;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;09/2019;89.874.681;0;80.576.729;10.173.877;9.297.953;358.063;0;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2019;86.293.414;11.316.581;76.950.245;44.164.085;9.343.170;393.733;127;22
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;09/2019;79.976.884;34.647.121;72.243.097;61.989.712;7.733.788;291.916;521;137
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;09/2019;63.816.676;0;46.550.548;0;17.266.128;213.601;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;09/2019;60.003.255;10.501.345;54.928.220;16.953.980;5.075.035;349.238;296;2
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;09/2019;59.613.185;2.209.877;54.447.025;34.685.481;5.166.160;149.360;11;0
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;09/2019;55.352.136;8.664.618;53.445.524;44.840.829;1.906.612;33.895;7;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;09/2019;52.403.653;10.449.535;51.138.611;47.612.698;1.265.041;22.058;6;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;09/2019;51.335.638;16.810.843;47.024.990;21.458.428;4.310.649;52.260;7;0
ING;51073;b1;S3;C;3;SAO PAULO;SP;09/2019;49.502.833;3.962.870;48.538.494;11.370.931;964.339;16.348;4;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;09/2019;49.223.730;4.214.236;45.029.841;15.890.043;4.193.889;16.400;10;0
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;09/2019;41.937.454;2.036.044;40.275.337;6.610.008;1.662.117;-10.774;5;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;09/2019;37.078.555;15.191.819;33.122.269;24.115.146;3.956.286;130.521;13;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;09/2019;32.720.780;21.439.958;28.984.080;23.962.159;3.736.700;268.316;47;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;09/2019;32.549.147;22.385.142;29.077.217;22.981.420;3.471.930;92.622;19;0
