Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2018;18.990.259;388.866;9.276.460;1.327.152;0;1.360.626;31.343.365;-13.192.948;-1.352.083;-276.212;-94.604;-3.994.226;-18.910.074;12.433.290;4.802.731;3.026.411;-4.530.296;-4.858.309;-1.368.456;1.402.419;7.022.031;-6.737.348;-1.240.818;11.192.473;113.675;11.306.147;-2.228.492;-3.540.662;5.536.993;-7.434.559
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2018;18.196.909;61.251;9.509.175;-106.911;30.427;703.012;28.393.862;-15.372.325;-2.594.837;-41.044;0;-5.517.832;-23.526.038;4.867.824;3.162.129;2.476.216;-4.912.729;-3.412.664;-995.733;1.397.067;4.956.899;-3.993.669;-1.322.483;3.545.341;-10.337;3.535.003;-393.432;-356.605;2.784.966;-823.473
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2018;16.833.187;369.780;7.810.827;930.572;0;915.561;26.859.927;-10.887.842;-878.143;-296.929;-54.943;-4.593.432;-16.711.289;10.148.638;3.033.561;2.526.586;-4.153.602;-5.253.613;-1.069.216;2.405.571;2.029.616;-3.463.116;-3.944.213;6.204.424;-190.651;6.013.774;-1.531.799;0;4.481.975;-1.787.537
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;03/2018;19.861.700;0;6.950.694;-2.242.045;71.219;1.862.345;26.503.912;-10.727.855;-4.131.411;0;0;-3.737.648;-18.596.915;7.906.997;4.720.948;1.668.530;-5.136.670;-2.405.474;-939.215;379.514;2.207.515;-4.408.293;-3.913.144;3.993.853;-495.887;3.497.966;-206.985;-486.484;2.804.497;-635.126
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2018;11.683.646;463.626;6.499.517;-837.029;631.107;895.228;19.336.094;-7.868.044;-780.470;-377.243;0;-2.918.189;-11.943.946;7.392.148;2.435.083;1.164.128;-1.834.729;-2.188.761;-854.513;236.964;3.153.227;-4.792.308;-2.680.909;4.711.239;11.096;4.722.335;-1.372.175;-454.046;2.896.114;-600.000
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2018;9.938.149;0;3.819.513;-556.155;9.371;0;13.210.878;-585.092;-10.750.646;0;0;463.102;-10.872.636;2.338.242;53.175;0;-308.186;-88.013;-95.177;1.107.221;226.425;-252.547;642.898;2.981.140;142.744;3.123.883;-1.060.311;-3;2.063.569;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2018;1.877.013;196.161;1.850.122;46.704;69.988;64.694;4.104.684;-2.361.804;-184.967;-165.579;0;-194.560;-2.906.910;1.197.774;212.755;96.985;-693.823;-495.426;-98.135;172.543;495.157;-259.917;-569.861;627.913;-585;627.328;-110.020;0;517.308;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2018;2.505.567;47.590;652.971;-135.941;26.461;1.148;3.097.796;-1.441.269;-80.634;-40.107;0;-400.365;-1.962.375;1.135.421;115.336;212.315;-262.899;-300.696;-88.580;79.915;297.437;-623.744;-570.917;564.504;-3.226;561.278;-239.363;-67.328;254.586;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2018;1.609.733;5.975;376.907;-70.339;14.168;190.472;2.126.915;-807.880;-64.965;-4.512;0;44.907;-832.449;1.294.466;38.059;242.973;-471.964;-356.397;-91.903;74.842;146.986;-489.088;-906.494;387.972;-1.849;386.122;-112.595;-29.563;243.964;-84.500
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2018;227.576;0;503.152;803.331;203.766;15.431;1.753.255;-1.069.824;-1.202.505;0;0;-62.663;-2.334.992;-581.737;353.684;2.324;-149.872;-249.633;-26.456;306.094;1.501.624;-237.661;1.500.104;918.368;7.259;925.626;-47.826;-399.896;477.904;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;03/2018;1.447.951;394;38.987;-98.590;1.976;0;1.390.718;-611.166;-5;-389;0;-294.757;-906.317;484.401;27.171;55.168;-99.447;-456.683;-41.392;9.111;234.545;-96.972;-368.499;115.902;-3.148;112.754;-56.203;0;56.551;-22.121
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2018;225.915;15.004;746.141;-37.938;196.166;19.827;1.165.115;-295.498;-236.252;-16.094;0;-15.752;-563.597;601.518;291.744;17.560;-187.391;-262.463;-48.649;0;111.368;-146.609;-224.440;377.079;7.152;384.231;-161.166;-25.584;197.481;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2018;440.949;0;666.858;-14.942;58.506;6.312;1.157.683;-211.277;-488.230;0;0;-102.185;-801.692;355.990;568.183;16.974;-463.460;-310.262;-75.127;0;564.527;-429.697;-128.862;227.129;1.175;228.303;-128.520;-5.519;94.264;-19.372
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;03/2018;725.320;85.867;112.456;-53.381;36.288;0;906.551;-256.625;-28.922;-58.127;0;-161.960;-505.635;400.916;11.839;23.602;-76.336;-119.664;-30.992;11.712;92.277;-42.583;-130.144;270.772;2.517;273.289;-93.187;-14.752;165.350;-48.867
BMG;30290;b1;S3;C;2;SAO PAULO;SP;03/2018;826.711;518;51.222;-8.168;3.992;0;874.275;-362.719;-10.639;-551;0;-130.373;-504.283;369.993;5.812;5.834;-51.609;-228.288;-22.755;1.401;115.949;-137.899;-311.555;58.438;2.661;61.099;-26.411;-3.550;31.138;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;03/2018;701.925;0;188.139;-131.157;71.768;0;830.676;-244.433;-19.818;0;0;-111.935;-376.187;454.488;70.684;30.317;-140.551;-268.803;-32.259;7.176;216.323;-187.316;-304.428;150.060;-1.519;148.541;-68.421;-15.243;64.877;0
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;03/2018;691.355;0;45.787;0;34;0;737.176;-807;-7;0;0;-167.437;-168.251;568.925;221;3.904;-6.950;-300.209;-37.426;0;95.388;-5.476;-250.547;318.378;-59;318.319;-122.583;-739;194.998;-50.429
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;03/2018;192.514;0;400.903;104.673;30.621;0;728.711;-452.554;-225.294;0;0;25.237;-652.612;76.100;198.196;0;-86.102;-72.744;-19.908;14.736;64.749;-28.415;70.512;146.612;39;146.651;-59.425;0;87.225;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2018;358.694;0;300.904;1.152;9.205;23.601;693.555;-439.977;-71.974;0;0;665;-511.286;182.270;13.624;75;-24.811;-126.756;-9.310;6.824;36.793;-37.735;-141.295;40.975;-604;40.370;-9.797;0;30.573;0
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2018;226.612;0;420.303;0;0;9.509;656.424;-511.643;-23.901;0;0;-5.131;-540.675;115.748;165.279;16;-26.899;-37.239;-28.365;10.395;125.946;-201.312;7.821;123.569;427;123.997;-50.360;-2.583;71.053;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;03/2018;599.462;35.877;8.103;-1.882;0;0;641.560;-125.251;-67.607;-23.974;0;-42.456;-259.289;382.271;0;15.128;-556;-53.039;-21.742;14.599;149.566;-150.070;-46.114;336.157;-4.898;331.259;-150.065;0;181.194;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;03/2018;552.615;0;50.246;0;1.002;8.952;612.815;-153.066;-1.317;0;0;-28.687;-183.070;429.745;11.513;43.097;-187.333;-109.014;-26.528;6.353;14.857;-33.151;-280.206;149.539;-3.924;145.615;-59.068;-11.923;74.624;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;03/2018;270.984;0;329.814;-12.481;0;0;588.316;-280.236;-80.602;0;-47.831;-22.463;-431.131;157.185;72.436;5.184;-53.459;-27.747;-13.722;1.012;58.966;-40.309;2.360;159.545;-9.935;149.610;-6.673;-34.389;108.548;-54.189
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;03/2018;533.948;0;32.778;-8.735;2.003;3.995;563.989;-118.268;-226;0;0;-131.549;-250.043;313.946;10.737;53.464;-90.445;-140.560;-26.238;1.611;12.372;-90.612;-269.671;44.275;-2.363;41.912;-21.450;-83;20.380;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;03/2018;191.941;1.321;342.503;0;2.314;8.995;547.075;-333.902;-3.724;-968;0;-50.619;-389.212;157.863;28.140;47.057;-82.395;-64.228;-17.042;5.141;4.592;-27.590;-106.324;51.539;3.948;55.486;-28.517;-3.609;23.361;-12.900
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;03/2018;0;0;526.077;-15.426;0;0;510.651;0;-104.303;0;0;0;-104.303;406.349;1.852.416;0;-98.539;-129.227;-245.833;181.128;123.977;-746.962;936.960;1.343.309;-3.546;1.339.762;-334.263;-9.846;995.653;0
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;03/2018;478.195;0;4.128;0;0;0;482.323;-13.546;0;0;0;-191.864;-205.410;276.912;119.677;108.444;-33.026;-181.267;-45.409;0;10.431;-66.255;-87.405;189.507;2;189.510;-84.696;0;104.814;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2018;15.611;0;528.514;-127.810;61.312;564;478.190;-269.517;-408.053;0;0;-1.343;-678.914;-200.724;140.916;143;-181.540;-46.216;-12.536;0;268.379;-13.519;155.626;-45.097;-17;-45.114;41.270;-5.329;-9.173;0
BANCO GMAC S.A.;59274605;b2;S3;I;3;SAO PAULO;SP;03/2018;434.492;1.657;10.834;0;0;0;446.983;-184.709;0;-1.101;0;-45.681;-231.491;215.492;17.999;23.016;-33.104;-86.010;-15.549;22.338;27.597;-15.318;-59.031;156.461;740;157.201;-58.482;-9.728;88.991;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;03/2018;349.210;0;73.099;-38.296;50.629;0;434.642;-41.727;-201.616;0;0;-216.958;-460.301;-25.659;24.484;1.461;-47.924;-18.725;-9.891;0;7.402;-14.137;-57.329;-82.988;28;-82.960;37.623;-710;-46.048;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;S4;I;2;SAO PAULO;SP;03/2018;416.308;0;8.389;0;0;0;424.697;-15.813;0;0;-5;-149.322;-165.140;259.556;62.051;18.644;-5.020;-142.624;-26.158;0;7.398;-41.628;-127.337;132.219;136;132.355;-57.247;-4.411;70.697;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S4;I;1;BELEM;PA;03/2018;350.873;0;35.661;0;786;1.375;388.695;-74.577;-55;0;0;-25.946;-100.578;288.116;3.163;23.238;-88.882;-81.110;-16.949;0;5.211;-6.073;-161.401;126.715;-913;125.802;-65.789;-8.674;51.339;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;03/2018;14.831;0;258.334;-18.513;133.890;0;388.542;-181.884;-35.522;0;0;-571;-217.977;170.565;179.863;1.507;-145.877;-44.276;-19.070;0;17.808;-120.379;-130.424;40.142;-13;40.129;-26.113;0;14.016;0
AGIBANK;51956;b1;S4;C;2;PORTO ALEGRE;RS;03/2018;359.104;0;6.644;0;3;0;365.751;-18.793;0;0;0;-106.335;-125.128;240.623;2.448;9.773;-11.032;-135.235;-17.113;1.738;69;-1.477;-150.829;89.794;-16;89.778;-38.163;0;51.615;-5.300
BANCO IBM S.A.;34270520;b2;S4;I;3;RIO DE JANEIRO;RJ;03/2018;22.068;321.475;12.681;0;0;0;356.223;-43.765;0;-269.852;0;6.646;-306.972;49.252;0;0;0;-14.993;-2.014;0;6.962;-10.817;-20.862;28.390;0;28.390;-14.270;0;14.120;0
HAITONG;51482;b2;S3;C;3;SAO PAULO;SP;03/2018;8.917;0;279.717;58.278;265;0;347.176;-321.403;-4.275;0;0;-388;-326.066;21.110;4.815;0;-13.177;-6.101;-2.633;2.721;213;-52;-14.215;6.895;77;6.972;-2.212;0;4.761;0
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;03/2018;262.888;46.088;87.137;-57.787;8.575;0;346.901;-151.952;-33.737;-35.627;0;-14.530;-235.846;111.055;17.241;9.844;-49.053;-28.897;-10.327;3.203;28.935;-32.470;-61.523;49.532;-143;49.389;-17.081;-2.259;30.048;0
OMNI;50940;b1;S4;C;2;SAO PAULO;SP;03/2018;349.110;2.952;3.942;-10.560;0;0;345.444;-44.314;0;-2.122;0;-75.700;-122.136;223.307;6.098;11.468;-10.485;-108.963;-9.375;2.040;14.430;-117.602;-212.389;10.918;269;11.187;67;0;11.254;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;03/2018;279.591;0;49.726;0;0;0;329.318;0;-161.301;0;0;-88.877;-250.178;79.139;10.364;0;-39.626;-10.813;-8.231;0;16.631;-35.870;-67.544;11.595;237;11.831;-7.923;0;3.909;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;03/2018;84.546;0;204.628;0;1.224;0;290.398;-51.760;-103.007;0;0;-48.847;-203.614;86.784;172.007;20.499;-121.486;-73.745;-24.223;0;216.031;-253.797;-64.714;22.071;21;22.092;-79.077;0;-56.985;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;S4;I;2;SAO PAULO;SP;03/2018;268.512;0;4.119;0;0;0;272.632;-9.697;0;0;-14;-211.321;-221.032;51.600;23.800;29.247;-4.202;-47.754;-12.042;0;10.877;-43.440;-43.512;8.088;0;8.088;-5.388;-651;2.049;0
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;03/2018;233.251;0;17.862;166;0;0;251.278;-70.478;-169;0;1;-53.842;-124.490;126.788;2.204;669;-11.601;-52.448;-7.446;14.865;2.739;-3.921;-54.940;71.848;-57;71.792;-17.781;0;54.011;-16.009
