Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;670.228.054;312.727.077;76.586.050;73.960.743;28.295.664;116.148.716;2.127.578;60.382.228
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;642.012.132;319.342.477;76.168.233;100.316.611;26.605.916;117.899.829;1.679.066;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2015;526.086.863;211.522.404;21.062.627;41.898.566;11.706.226;48.144.429;7.414.149;184.338.463
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2015;405.537.565;168.542.814;24.874.330;42.590.736;14.239.634;46.292.410;6.686.722;102.310.918
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2015;356.973.376;218.043.023;33.010.749;41.540.289;6.060.891;27.223.587;31.094.837;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2015;253.734.657;145.449.402;14.123.465;21.476.264;5.182.354;32.417.675;1.859.698;33.225.798
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2015;68.522.506;31.850.271;5.527.354;4.500.381;2.006.508;14.348.541;1.202.287;9.087.164
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2015;54.724.712;25.687.300;3.384.743;4.317.776;1.233.497;7.272.849;1.080.453;11.748.094
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2015;52.681.205;25.713.639;3.937.916;7.858.289;1.789.951;10.151.205;588.105;2.642.099
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2015;30.019.808;4.380.114;416.226;1.169.630;361.851;23.264.326;231.593;196.069
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2015;20.313.832;8.939.266;1.943.312;3.871.710;1.225.377;4.317.287;16.879;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2015;18.719.461;7.708.167;2.634.136;863.744;675;499.840;19.425;6.993.474
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2015;18.171.447;8.939.038;2.391.625;3.091.487;1.139.507;2.367.147;242.642;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2015;17.449.790;12.431.983;948.043;963.315;417.795;2.585.211;103.443;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2015;13.854.279;2.487.968;556.287;10.466.855;164.914;133.470;44.785;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;06/2015;13.557.562;5.342.885;5.735.187;1.362.944;28.868;1.087.678;0;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;06/2015;12.935.240;5.389.223;784.780;596.747;174.113;1.793.028;39;4.197.310
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;06/2015;12.820.941;44.659;3.538.703;3.737;42.895;9.181.697;9.251;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;06/2015;11.920.776;471.211;275.920;12.571;2.608;11.156.721;1.745;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;06/2015;11.764.347;5.753.412;1.278.359;2.191.567;582.100;1.782.195;92.746;83.967
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;06/2015;10.721.894;5.932.950;779.086;1.525.373;340.072;2.144.175;238;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;06/2015;10.715.424;4.316.859;1.195.487;2.298.386;824.074;2.072.552;8.066;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;06/2015;10.596.351;6.450.892;816.561;1.056.245;408.616;1.454.964;409.072;0
