Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2014;17.057.089;2.266.714;7.650.305;632.441;218.678;1.555.643;29.380.869;-12.816.292;-990.099;-2.168.581;0;-4.223.342;-20.198.314;9.182.555;3.113.640;1.965.400;-2.668.009;-4.106.518;-1.005.443;604.381;8.277.246;-7.927.814;-1.747.116;7.435.439;165.040;7.600.479;-1.842.804;-1.912.099;3.845.576;-2.597.056
BB;49906;b1;;C;1;BRASILIA;DF;03/2014;18.019.945;137.933;8.387.908;-109.149;431.241;1.419.575;28.287.452;-16.694.169;-914.689;-104.694;0;-4.027.633;-21.741.184;6.546.268;2.987.113;1.482.008;-4.240.982;-4.095.410;-639.989;385.160;4.562.571;-2.873.375;-2.432.904;4.113.364;23.319;4.136.682;-900.296;-361.790;2.874.596;-882.332
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2014;13.696.546;1.493.249;7.000.293;358.298;0;1.082.075;23.630.461;-10.809.798;-502.032;-1.316.657;-141.655;-3.232.279;-16.002.421;7.628.040;2.133.375;1.572.810;-2.714.113;-3.596.293;-773.044;782.880;2.717.887;-2.772.701;-2.649.198;4.978.842;-103.567;4.875.275;-1.424.858;0;3.450.417;-1.212.201
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2014;14.542.028;0;6.093.357;-42.522;149.939;2.040.289;22.783.092;-11.800.965;-2.684.810;0;0;-2.478.216;-16.963.990;5.819.102;3.501.618;752.570;-4.284.210;-2.364.578;-704.817;172.160;2.215.310;-3.099.531;-3.811.475;2.007.626;-67.722;1.939.904;-187.256;-242.373;1.510.275;-348.402
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2014;9.798.178;774.362;4.929.411;322.876;746.650;796.852;17.368.329;-7.824.854;-203.722;-838.154;0;-3.005.193;-11.871.923;5.496.405;1.779.323;700.385;-1.449.631;-3.085.506;-831.630;72.459;2.077.933;-3.478.354;-4.215.021;1.281.384;186.995;1.468.379;-641.212;-273.788;553.378;-5
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2014;8.564.935;0;1.986.098;128.380;38.186;0;10.717.599;-605.832;-6.506.281;0;0;19.791;-7.092.322;3.625.277;52.359;0;-226.242;-107.016;-124.630;297.041;1.269.704;-2.381.528;-1.220.312;2.404.965;-1.871;2.403.093;-847.914;0;1.555.179;0
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2014;2.419.684;288.319;1.091.117;-68.239;273.832;202.513;4.207.225;-2.028.002;-184.409;-253.793;0;-579.487;-3.045.692;1.161.533;241.788;367.678;-768.687;-1.076.831;-153.629;136.938;474.888;-304.399;-1.082.253;79.280;-17.968;61.312;-4.419;-88.017;-31.124;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2014;2.746.021;415.722;941.319;31.805;0;278;4.135.145;-2.117.825;-59.259;-406.264;-10.509;-760.672;-3.354.530;780.615;105.119;139.019;-325.895;-279.435;-93.929;41.238;378.031;-628.494;-664.347;116.268;142.233;258.501;-60.360;-45.885;152.256;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2014;1.463.908;168.835;1.492.435;29.473;9.326;30.803;3.194.780;-2.065.620;-110.129;-172.608;0;-214.288;-2.562.644;632.135;100.870;54.692;-262.840;-185.098;-63.976;1.049;465.562;-206.006;-95.748;536.388;-30.786;505.602;-142.488;0;363.114;-93.117
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;03/2014;285.941;0;1.876.444;43.910;670.742;8.114;2.885.152;-1.823.037;-243.216;0;0;-62.635;-2.128.888;756.264;547.636;18.457;-120.650;-156.621;-31.377;108.952;592.341;-146.604;812.134;1.568.398;-66.950;1.501.448;-420.035;-145.762;935.652;0
