Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2019;12.274.859;9.455;293.882;781.449;844.212;136.961;12.367;0;2.078.326;21.973;190.041;415.762;483.003;53.071;129;0;1.163.980;0;975;0;0;0;0;0;975;0;1.258.842;350.772;103.620;90.503;0;0;1.803.738;53.483;634.370;1.484.802;907.024;218.872;4.120;0;3.302.671;52.511;12.347;57.490;47.011;50.173;164.363;674.331;1.058.226;8.821;97.535;266.912;500.988;285.415;113.688;0;1.273.359;4.206;59.794;63.890;79.408;9.495;5.601;0;222.394;0;0;0;0;0;0;0;0;1.371.190
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2019;10.667.288;365;1.407.320;735.582;391.186;354.165;0;0;2.888.618;0;5.976;16.838;30.713;9.399;133;0;63.059;0;210.567;285.630;0;0;0;0;496.197;6;3.071.905;433.075;16.353;1.650;0;0;3.522.988;0;776.060;1.368.074;553.644;68.560;8.142;0;2.774.480;18.888;260.276;70.469;0;0;0;1;349.634;0;328;983;1.025;0;0;0;2.337;0;90.507;476.843;2.625;0;0;0;569.974;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;06/2019;10.204.995;7.805;36.538;99.612;140.371;27.070;0;0;311.396;5.912;296.940;896.344;2.043.773;948.626;58.521;0;4.250.115;0;0;0;0;0;0;0;0;0;896.741;1.236.194;0;0;0;0;2.132.935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.251;442.243;1.049.304;1.542.636;424.552;39.564;0;3.510.548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;06/2019;10.068.165;0;0;0;0;0;0;0;0;18;184;243;443;266;0;0;1.155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.322;294.975;810.005;1.683.990;1.000.306;1.350.255;52.293;5.213.145;2.508;313.885;717.483;1.456.642;1.147.545;1.215.576;227;4.853.865;0;0;0;0;0;0;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2019;9.142.048;5.491;211.434;450.326;595.690;372.360;42.150;0;1.677.452;0;0;0;0;0;0;0;0;0;7.047;4.379;0;0;0;0;11.426;11.217;34.051;35.401;0;0;0;0;80.669;78.354;1.444.808;2.683.980;1.576.131;669.796;77.453;0;6.530.521;9.616;49.787;98.362;26.729;14.641;13.570;0;212.705;0;1.579;8.067;4.851;1.171;0;0;15.667;867;87.995;120.892;186.354;136.085;81.416;0;613.608;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2019;9.055.393;5.003;39.890;95.181;126.441;25.140;2.495;0;294.150;20.304;421.077;1.105.438;1.461.552;375.677;2.073;0;3.386.120;0;0;0;0;0;0;0;0;4.442;447.857;2.129.879;22.494;187;0;0;2.604.859;0;0;0;0;0;0;0;0;0;60.711;0;0;0;0;0;60.711;21.308;370.624;823.022;1.153.346;337.978;3.275;0;2.709.553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2019;9.055.334;40.604;504.563;1.195.949;1.624.368;373.096;199.813;29.666;3.968.059;457;9.681;24.958;44.464;23.072;29.743;0;132.374;34.022;378.993;277.239;0;0;0;0;690.254;4.869;103.274;16.840;0;0;0;0;124.983;27.304;332.031;559.587;4.453;0;0;0;923.375;38.687;223.737;326.075;313.719;202.250;268.636;98.686;1.471.788;3.861;69.385;139.878;291.438;145.085;95.487;0;745.134;2.934;83.544;173.040;35.899;21.871;21.070;0;338.357;2.170;35.654;72.807;270.133;161.733;3.292;0;545.788;115.221
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2019;6.760.932;0;220.477;271.818;364.667;16.000;333;0;873.295;0;0;0;0;0;0;0;0;0;103.996;146.711;0;0;0;0;250.707;0;676.615;66.200;5.461;2.832;0;0;751.108;0;548.650;2.615.736;192.234;0;0;0;3.356.619;0;23.467;125.459;1.316.010;0;0;0;1.464.936;0;395;786;476;0;0;0;1.657;0;27.596;24.998;10.015;0;0;0;62.609;0;0;0;0;0;0;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;06/2019;6.017.216;1.989;17.281;100.378;100.949;6.172;0;0;226.768;182;5.541;16.292;29.803;5.036;2;0;56.856;0;0;0;0;0;0;0;0;2.582;1.822;3.446;7.643;3.169;621;0;19.283;15.817;664.583;831.131;395.915;88.132;0;0;1.995.578;37.763;48.402;218.887;122.138;31.075;1.754;34.874;494.893;0;0;0;0;0;0;0;0;0;49.028;9.556;2.507;0;0;0;61.092;0;0;0;0;0;0;0;0;3.162.745
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;06/2019;5.827.873;23.509;52.219;126.934;201.887;62.459;71.231;24.023;562.261;14.501;103.463;221.485;226.785;48.500;60.609;0;675.344;1.092;2.974;5.577;32;0;0;0;9.676;548;4.590;552;1;0;0;0;5.690;30.638;200.384;639.076;0;0;0;0;870.097;4.600;13.082;33.024;59.183;20.175;87.232;77.503;294.799;1.138;84.524;197.796;404.900;375.697;1.392.125;524.669;2.980.849;10.269;12.608;16.792;128.551;260.936;0;0;429.156;0;0;0;0;0;0;0;0;0
