Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2015;28.474.724;141.243.695
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2015;23.113.632;142.314.478
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;15.397.836;55.471.376
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;12.589.293;49.292.376
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2015;9.791.114;33.394.026
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2015;4.683.142;20.068.492
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2015;4.225.719;7.237.861
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2015;2.051.524;5.114.964
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;06/2015;1.640.358;5.105.630
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2015;1.610.826;5.558.963
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;06/2015;1.443.768;3.849.661
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;06/2015;1.416.039;6.902.154
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;06/2015;950.955;1.582.822
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;06/2015;907.865;21.791.608
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;891.509;2.226.027
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;06/2015;848.012;1.704.906
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2015;733.323;1.010.098
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;06/2015;713.676;1.512.600
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;06/2015;712.079;2.974.449
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2015;695.679;4.819.608
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;06/2015;621.418;667.931
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2015;605.587;748.655
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;06/2015;490.078;497.458
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2015;467.907;714.313
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;06/2015;392.984;858.849
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;06/2015;385.953;1.553.013
BRB;31.976;b1;C;1;;199;BRASILIA;DF;06/2015;262.595;1.174.789
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;06/2015;249.811;837.155
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;06/2015;248.069;1.149.558
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;06/2015;192.096;393.263
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;06/2015;187.388;590.927
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4.379.829;n1;I;2;;14;CURITIBA;PR;06/2015;172.484;629.473
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;06/2015;168.565;612.967
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;168.562;353.331
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;06/2015;162.551;313.003
BANCO SEMEAR S.A.;795.423;b1;I;2;;8;BELO HORIZONTE;MG;06/2015;159.322;607.631
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;06/2015;150.972;454.399
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7.747.410;n1;I;2;;14;BARUERI;SP;06/2015;150.622;297.809
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;06/2015;126.349;395.058
AGIPLAN FINANCEIRA S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO;13.660.104;n1;I;2;;14;PORTO ALEGRE;RS;06/2015;117.643;312.064
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b2;I;3;;8;GUARULHOS;SP;06/2015;111.671;134.487
VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;5.192.316;n1;I;2;;14;SANTO CRISTO;RS;06/2015;95.587;1.084.115
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;;8;PORTO ALEGRE;RS;06/2015;91.957;140.497
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;06/2015;90.981;270.463
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;06/2015;84.114;177.216
KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;6.040.559;n1;I;2;;14;FLORIANOPOLIS;SC;06/2015;76.612;214.520
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411.939;n1;I;2;;14;JUNDIAI;SP;06/2015;76.381;110.238
BANCO BONSUCESSO S.A.;71.027.866;b1;I;2;;8;BELO HORIZONTE;MG;06/2015;75.346;151.019
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;06/2015;70.050;92.012
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4.814.563;n1;I;2;;14;BARUERI;SP;06/2015;68.836;308.120
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1.800.019;n1;I;2;;14;PORTO ALEGRE;RS;06/2015;66.173;126.544
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;;8;UBERLANDIA;MG;06/2015;64.741;2.149.864
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7.512.441;n1;I;2;;14;DOIS IRMAOS;RS;06/2015;59.081;587.273
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;06/2015;53.482;81.133
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;;9;BRASILIA;DF;06/2015;52.273;83.434
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;06/2015;49.430;185.868
INDUSTRIAL DO BRASIL;50.988;b1;C;2;;199;SAO PAULO;SP;06/2015;46.576;105.371
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36.321.990;n1;I;2;;14;VITORIA;ES;06/2015;44.440;161.164
BANCO TOPÁZIO S.A.;7.679.404;b1;I;2;;8;PORTO ALEGRE;RS;06/2015;42.039;160.043
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;;9;MEDIANEIRA;PR;06/2015;40.115;117.265
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;;9;MARINGA;PR;06/2015;39.835;132.642
BANCO AZTECA DO BRASIL S.A.;9.391.857;b1;I;3;;8;RECIFE;PE;06/2015;39.079;269.904
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2015;38.055;80.440
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS POLICIAIS MILITARES E SERVIDORES DA SECRETARIA DOS NEGÓCIOS DA SEGURANÇA PÚBLICA DO ESTADO DE SÃO PAULO;62.673.470;b3S;I;2;;9;SAO PAULO;SP;06/2015;36.517;86.110
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;06/2015;36.256;78.724
FINSOL SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE S.A.;18.810.553;n1;I;3;;10;RECIFE;PE;06/2015;35.991;64.798
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91.586.982;b3S;I;2;;9;NOVA PETROPOLIS;RS;06/2015;35.832;111.687
