Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2016;27.849.187;160.004.144
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2016;26.857.231;125.399.807
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2016;14.764.257;51.431.324
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2016;11.873.724;45.452.869
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2016;10.065.830;33.742.475
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2016;3.626.711;6.282.904
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2016;2.829.235;7.149.466
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2016;2.127.595;5.182.736
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;09/2016;1.924.322;5.117.941
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2016;1.722.393;7.179.743
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2016;1.663.098;6.069.759
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;09/2016;1.553.079;3.932.255
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;09/2016;1.129.402;19.938.331
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;09/2016;1.096.947;1.812.046
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;09/2016;931.390;1.843.015
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2016;764.916;2.087.784
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;09/2016;741.220;1.855.567
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2016;725.734;4.940.864
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2016;721.581;1.051.182
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2016;569.572;900.916
DACASA FINANCEIRA;51.891;n1;C;2;;197;VITORIA;ES;09/2016;560.978;2.387.816
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2016;530.682;605.759
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2016;496.796;1.127.517
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;09/2016;466.176;2.397.154
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2016;455.581;592.549
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;09/2016;436.553;462.969
PARANÁ BANCO;30.881;b1;C;2;;199;CURITIBA;PR;09/2016;386.020;1.703.625
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2016;268.954;1.114.431
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;09/2016;252.689;418.544
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;09/2016;245.779;813.456
