Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2014;611.908.236;331.706.772;83.722.350;101.703.169;19.049.090;3.358.464;8.095.892;3.218.540;2.435.374;12.675.652;45.942.934
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2014;547.316.314;193.604.599;193.878.199;59.466.705;56.182.839;18.131.532;5.564.029;2.606.361;2.062.745;15.819.304;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2014;465.165.956;150.045.738;110.524.669;26.296.642;14.279.656;6.316.519;3.425.416;2.927.360;2.993.473;11.368.812;136.987.672
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2014;310.086.854;37.258.941;125.398.961;59.799.680;44.351.609;5.836.320;3.152.102;2.731.945;1.893.383;10.017.319;19.646.595
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2014;293.238.497;110.965.903;100.574.144;71.221.403;9.249.429;123.749;636.624;70.231;10.517;386.498;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2014;225.948.622;43.008.348;105.943.778;18.262.865;11.836.687;8.387.115;3.175.617;3.019.557;1.770.126;7.319.039;23.225.490
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2014;64.227.712;27.281.763;18.016.031;5.589.128;1.236.861;688.957;717.212;450.801;419.294;2.226.742;7.600.924
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2014;55.108.454;3.231.253;28.651.596;8.080.632;6.699.819;1.455.253;698.361;698.968;763.219;2.479.541;2.349.810
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2014;54.211.624;33.637.444;8.166.770;1.749.999;1.079.783;347.491;180.244;112.708;50.037;725.050;8.162.096
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2014;27.366.045;4.909.351;11.668.075;5.838.029;2.249.551;1.061.476;277.268;301.797;113.627;790.982;155.891
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2014;21.353.148;403.418;15.310.800;2.683.962;1.492.562;536.427;254.928;157.146;91.673;422.232;0
