Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2017;1.383.587.236;506.018.895;1.243.114.909;966.061.742;140.472.327;10.166.826;3.365;1.041
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2017;1.368.405.138;632.446.322;1.280.032.130;1.065.520.889;88.373.008;6.011.360;4.829;1.282
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;12/2017;1.261.478.797;706.275.523;1.227.070.947;1.055.750.880;34.407.851;8.387.663;3.405;806
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2017;1.054.890.923;370.305.093;943.517.595;780.393.746;111.373.328;6.701.266;4.765;1.440
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2017;861.456.046;306.014.785;798.619.739;477.635.964;62.836.307;4.838.496;4;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2017;674.679.854;272.266.552;612.996.836;474.398.811;61.683.018;5.123.360;2.668;1.217
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2017;153.391.628;14.906.193;134.922.299;61.809.011;18.469.329;1.069.275;11;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2017;149.544.921;59.808.570;139.776.373;126.531.159;9.768.548;1.067.823;111;5
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2017;93.520.040;48.226.370;84.652.490;62.386.672;8.867.550;309.664;88;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;12/2017;88.620.636;0;78.469.770;7.911.225;10.150.866;2.024.085;0;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2017;72.649.403;31.369.133;65.616.821;57.301.280;7.032.582;736.831;538;152
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;12/2017;64.275.532;0;48.663.379;203;15.612.153;537.823;0;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2017;61.908.074;10.885.724;53.690.383;33.737.668;8.217.691;310.104;131;22
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;12/2017;54.046.937;10.958.079;50.504.900;17.091.176;3.542.037;383.704;315;2
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2017;43.673.569;5.773.031;42.114.415;36.983.348;1.559.154;74.161;5;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;12/2017;41.243.917;8.655.746;40.033.449;38.048.528;1.210.469;34.545;5;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;12/2017;39.406.017;15.815.847;35.982.781;19.869.862;3.423.235;307.513;5;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2017;35.945.604;1.095.786;31.300.382;20.993.733;4.645.222;105.179;8;1
CREDIT SUISSE;30771;b1;S2;C;3;SAO PAULO;SP;12/2017;34.204.878;4.138.138;30.903.570;22.079.729;3.301.308;-509.007;6;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2017;28.765.264;12.095.131;25.480.934;21.871.630;3.284.330;214.739;6;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;12/2017;26.028.452;18.367.110;22.472.627;17.738.919;3.555.824;166.143;3;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2017;24.389.260;15.155.435;21.380.232;18.211.025;3.009.028;273.596;39;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2017;22.586.622;16.913.285;20.202.265;17.184.759;2.384.356;113.735;17;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2017;22.584.290;3.945.768;21.190.852;20.475.061;1.393.438;90.456;131;23
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;;I;2;SAO PAULO;SP;12/2017;22.030.615;0;20.238.402;138.365;1.792.213;222.629;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;12/2017;20.720.802;1.210.820;19.267.351;6.514.749;1.453.451;44.926;2;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2017;19.584.081;713.056;17.186.806;13.142.422;2.397.276;174.275;2;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;12/2017;19.402.412;7.116.123;17.613.659;13.302.634;1.788.753;-185.164;10;0
ING;51073;b1;S3;C;3;SAO PAULO;SP;12/2017;17.484.908;2.199.603;16.682.046;4.190.491;802.862;6.499;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;12/2017;17.179.694;13.976.680;14.668.948;13.714.686;2.510.746;54.234;3;0
