Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2015;663.815.559;378.908.135;47.814.640;23.304.768;1.744.600;331.341;106.309.493;0;34.401.786;1.847.260;0;0;1.031;3.196.977;2.025.821;63.929.706
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2015;621.151.936;146.461.725;392.872.086;25.036.842;0;385;36.834.652;0;0;615.011;1.643.199;0;55;16.296.555;1.391.427;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2015;574.664.447;250.670.390;37.548.122;11.098.681;1.869.802;7.856.830;29.212.375;26.521;206.916;471.328;178.416;0;11.191;14.592;7.057.372;228.441.911
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2015;405.978.349;179.925.758;38.643.732;33.943.691;4.890;9.997.294;28.220.638;0;650.901;3.232.125;0;0;18.548;0;6.640.283;104.700.489
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2015;353.057.765;98.783.442;12.557;221.263.201;8.732.761;15.911.368;0;5.883.495;0;2.138;2.468.803;0;0;0;0;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2015;257.968.170;148.921.224;42.590.216;3.485.439;60.282;307.510;19.245.074;61.998;0;180.975;790.766;0;16.451;14.992;1.781.834;40.511.408
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2015;67.511.223;30.098.719;7.065.998;511.813;82.435;7.204.592;7.633.501;0;0;95.887;85.247;0;0;2.744.197;1.216.913;10.771.922
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2015;55.983.379;24.638.020;334.398;1.601.893;0;1.534.503;14.841.174;26.096;0;215.843;1.917;0;5.520;0;24.766;12.759.249
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2015;55.585.696;41.810.477;165.218;1.258.812;49.189;3.100.572;4.995.976;10.143;0;0;71.472;0;0;0;397.347;3.726.489
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2015;29.820.160;16.896.736;4.721.257;390.900;0;1.564.063;5.650.438;0;0;39.177;0;0;0;98.826;224.856;233.906
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2015;21.243.745;17.430.126;0;1.172.386;0;0;2.629.565;0;0;0;0;0;0;0;11.668;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2015;18.452.767;2.422.550;105.270;1.660.794;0;0;6.015.221;0;0;437.561;851.672;0;5.500;42.531;9;6.911.659
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2015;17.889.473;13.799.654;854.481;0;0;0;2.136.956;0;0;444.609;0;0;0;416.810;236.963;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2015;17.457.986;13.594.099;912.673;203.855;0;26.703;2.623.847;0;0;0;0;0;0;0;96.810;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;03/2015;13.765.315;12.009.507;0;80.881;0;1.356.752;310.802;0;0;0;0;0;0;0;7.372;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2015;13.743.280;7.151.851;41.975;1.322.749;0;2.130.533;952.461;0;17;1.960.094;0;0;138.349;0;45.250;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;03/2015;13.253.473;11.684.598;305;105.472;0;0;1.440.567;0;0;0;20.181;0;0;2.349;1;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2015;12.804.609;3.433.771;772;251.704;0;21.101;4.206.981;19.221;0;7.881;24.555;0;0;437.330;62;4.401.233
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;03/2015;11.566.643;8.298.369;5.338;2.375.911;0;0;0;0;0;448.850;1.453;0;662;435.592;468;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;03/2015;11.554.411;11.546.549;0;0;0;0;0;0;0;0;0;0;0;0;7.861;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;03/2015;11.397.208;6.809.020;0;16.949;0;14.491;2.377.355;1.181.974;123.568;0;0;0;1.200;766.138;92.985;13.529
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;03/2015;10.755.031;9.672.978;0;1.082.031;0;0;0;0;0;0;0;0;0;0;22;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;03/2015;9.430.148;6.439.017;0;18.237;0;2.135.676;438.404;0;0;0;0;0;0;6.765;392.049;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;03/2015;9.350.369;8.670.845;34.383;389.417;0;0;163.800;0;0;0;0;0;0;0;91.924;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;03/2015;9.256.382;7.737.849;797.390;102.739;0;598.046;0;0;0;9.668;0;0;0;0;10.690;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;03/2015;9.032.218;1.920.004;94.498;0;0;0;5.042.039;0;1.222.758;22.962;0;0;0;0;28.720;701.237
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;03/2015;8.779.662;6.627.258;75.898;0;0;241.317;1.594.198;0;0;0;0;0;0;0;240.991;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;03/2015;7.835.063;5.860.645;0;0;0;34.065;1.661.027;0;0;0;0;0;0;82.123;197.203;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;03/2015;7.654.246;5.602.119;0;248.751;0;9.098;1.692.407;0;0;0;0;0;0;62.577;39.293;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;03/2015;6.824.157;653.031;11.614;0;3.576;0;1.491.178;0;0;0;773.806;0;0;0;0;3.890.953
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;03/2015;6.704.466;6.691.616;0;12.849;0;0;0;0;0;0;0;0;0;0;0;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;03/2015;6.248.433;1.568.930;4.673;155.437;0;10.281;2.363.174;43.704;0;20.133;341.886;0;0;464.149;287;1.275.778
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;03/2015;5.912.400;5.159.924;1.120;52.056;699.300;0;0;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;03/2015;5.275.499;2.336.164;14.157;1.378.278;0;102;169.879;285.862;36.439;186.148;537.627;0;15.083;315.742;17;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;03/2015;4.912.566;4.770.774;0;76.583;0;58.847;6.361;0;0;0;0;0;0;0;1;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;03/2015;4.377.011;1.776.598;0;1.952;0;751.581;1.252.357;0;0;0;0;0;0;0;20.606;573.918
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;03/2015;4.301.120;2.847.535;238.022;24.427;0;4.452;843.901;0;0;9.992;0;0;0;303.329;29.462;0
