Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2014;26.917.963;145.217.498
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2014;21.952.457;139.468.244
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2014;14.696.419;59.033.288
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2014;12.321.436;51.689.851
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2014;10.055.718;34.484.474
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2014;4.510.321;20.364.516
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2014;4.508.025;7.547.704
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;06/2014;2.986.620;7.112.505
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2014;1.879.670;4.829.479
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2014;1.553.913;5.369.709
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;06/2014;1.365.499;4.645.724
PERNAMBUCANAS;40.699;n1;C;2;;197;SAO PAULO;SP;06/2014;1.243.640;9.115.559
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;06/2014;1.131.387;5.729.599
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;06/2014;1.002.313;2.134.295
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;06/2014;763.648;3.054.429
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;06/2014;747.316;1.506.116
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2014;679.253;4.706.225
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2014;661.927;920.726
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;06/2014;637.826;1.141.282
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2014;597.245;752.155
