Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2010;931.652;11.971;299.935;1.544;0;51.523;1.296.626;-390.726;-142.574;-9.496;-12.717;-9.337;-564.850;731.775;29.273;121.512;-244.145;-169.888;-49.731;-434;67.713;-163.434;-409.133;322.642;564;323.206;-106.093;-11.094;206.019;-51.556
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2010;20.491;0;235.419;712.757;171.901;0;1.140.568;-1.025.652;-12.143;0;0;2.317;-1.035.478;105.091;36.117;25;-54.551;-11.532;-7.470;11;8.394;-46.394;-75.399;29.691;-54;29.638;-21.147;0;8.491;0
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2010;77.184;0;863.103;132.464;27.289;0;1.100.039;-660.529;-40.011;0;0;2.670;-697.870;402.169;161.815;1.888;-44.812;-56.767;-39.697;-206.673;353.413;-43.067;126.100;528.269;-483;527.786;-151.796;-140.769;235.222;-15.440
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;09/2010;951.163;25.884;103.062;-159.296;100.820;0;1.021.632;-184.303;-2.686;-23.878;0;-156.912;-367.779;653.853;3.253;10.733;-19.237;-334.697;-5.160;-102;6.717;-56.196;-394.690;259.164;14;259.177;-108.409;-4.188;146.580;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;09/2010;595.069;193.422;134.952;-12.871;16;0;910.589;-266.175;-8;-135.042;0;-237.328;-638.554;272.035;6.170;45.438;-14.309;-401.277;-23.592;13.591;23.332;-11.362;-362.007;-89.973;-55.373;-145.346;63.743;0;-81.603;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2010;513.058;264.728;3.505;26.076;0;0;807.367;-217.935;-146.881;-214.031;0;-54.715;-633.562;173.805;0;33.739;1;-37.518;-8.598;4.387;60.990;-77.290;-24.291;149.515;2.207;151.722;-23.166;0;128.556;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2010;368.231;0;240.122;-6.102;7.663;3.776;613.691;-163.534;-111.528;0;0;-90.978;-366.040;247.651;280.403;3.338;-253.068;-154.912;-40.999;0;254.163;-215.094;-126.169;121.481;535;122.016;-50.521;0;71.496;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2010;72.541;0;494.686;25.337;11.354;0;603.918;-497.041;-10.485;0;0;5.892;-501.634;102.284;224.122;0;-140.218;-35.855;-22.428;-16.604;38.985;-45.414;2.588;104.872;1;104.871;-67.324;0;37.547;0
BIC;32119;b1;;C;2;SAO PAULO;SP;09/2010;491.289;48.574;85.749;-102.663;0;4;522.952;-235.023;-11.063;-35.402;-41.871;-75.824;-399.184;123.768;4.180;12.311;-39.750;-37.026;-21.073;155;150.306;-41.964;27.139;150.907;-132;150.775;-45.270;-4.775;100.730;-26.000
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2010;177.229;192.043;155.954;-40.703;631;0;485.154;-203.478;-22.035;-164.305;0;8.855;-380.963;104.190;7.809;3.616;-26.814;-27.342;-4.937;3.006;19.152;-30.258;-55.770;48.420;145;48.566;-9.298;-2.676;36.591;0
